finding,n_pos,n,auroc,auprc
Cerebral infarction,1006,27266,0.5637455162399555,0.04380025045986966
Cerebral hemorrhage,544,27266,0.6601123784874326,0.03133993529498533
Metastatic malignant neoplasm to brain,721,27266,0.7386729780560005,0.056710704408997475
Intracranial meningioma,470,27266,0.5912101838000591,0.026130537149369356
Demyelinating disease of central nervous system,776,27266,0.566624465369153,0.045633316803794705
Herniation of nucleus pulposus,289,27266,0.7454923475117148,0.029150044228902567
Spinal cord compression,161,27266,0.7297560327275685,0.019299163150111962
Lacunar infarct,537,27266,0.5462790782412034,0.02197569468581226
Silent micro-hemorrhage of brain,411,27266,0.64200919509613,0.022677654508062167
Cavernous hemangioma,174,27266,0.5471471410315808,0.008021133280967787
Subdural intracranial hemorrhage,88,27266,0.5966498638604754,0.004849907300896237
Gliosis,9510,27266,0.5327941841137097,0.37178651186547107
Cerebral atrophy,4126,27266,0.5511681566104192,0.18294363266050898
Encephalomalacia,670,27266,0.5400051460998512,0.028268698582039117
Arachnoid cyst,968,27266,0.5692248931351973,0.04156639839637723
Empty sella syndrome,1160,27266,0.5653597765872294,0.04929095387962532
Intracranial aneurysm,127,27266,0.6161806831148944,0.006728421087041952
Chiari malformation,133,27266,0.5032366324723466,0.005627783651902526
Schwannoma,84,27266,0.6573603505120686,0.0048663743299760115
Cyst of pineal gland,447,27266,0.565193521605146,0.019673869940253018
Hemangioma of vertebral column,56,27266,0.7308503307607497,0.009215324091713047
Rathke's pouch cyst,96,27266,0.5741835741013374,0.0047920751676845934
Cerebral edema,1098,27266,0.6584608093479208,0.06112229858510916
Spinal stenosis,93,27266,0.6484247290063785,0.0072807052275091905
Mastoiditis,788,27266,0.5641561014354219,0.036739869077266576
Chronic mastoiditis,577,27266,0.61144391658641,0.029914466637014994
Ventriculomegaly,2935,27266,0.5365424413173876,0.11946376739999819
Cerebellar degeneration,765,27266,0.5442710633930942,0.03971036554608904
Mega cisterna magna,384,27266,0.5597125961764996,0.016096282332498175
Structure of cave of septum pellucidum,370,27266,0.5797436974452145,0.01678656050853157
Hyperostosis of skull,146,27266,0.5357674667636482,0.006546374306286618
Watershed infarct,61,27266,0.6139475325473559,0.003253489766559673
Choroid plexus cyst,102,27266,0.633418365137249,0.006326493894793647
Foraminal Spinal Stenosis,107,27266,0.7633921458713364,0.014076714969533909
Lipoma of brain,60,27266,0.5819157538778211,0.0032698526853263314
Glioma,148,27266,0.6154972363026053,0.00776027496118302
Pituitary adenoma,107,27266,0.516869848827242,0.003955651021241489
