finding,n_pos,n,auroc,auprc
Cerebral infarction,1006,27266,0.5445278254312662,0.04201180949816907
Cerebral hemorrhage,544,27266,0.6288995256717311,0.027705474289470625
Metastatic malignant neoplasm to brain,721,27266,0.6855347564873613,0.04649279917080939
Intracranial meningioma,470,27266,0.5533532315080371,0.02384702609505201
Demyelinating disease of central nervous system,776,27266,0.6083881828583437,0.047025007012592615
Herniation of nucleus pulposus,289,27266,0.6763491853178019,0.020491050816503154
Spinal cord compression,161,27266,0.6901994887606399,0.013917718493281939
Lacunar infarct,537,27266,0.5250915231456527,0.02147348038942122
Silent micro-hemorrhage of brain,411,27266,0.6413359843187778,0.022744592466674547
Cavernous hemangioma,174,27266,0.563591746131954,0.007948790894845507
Subdural intracranial hemorrhage,88,27266,0.5891686708500861,0.005103569207970818
Gliosis,9510,27266,0.5390755785458637,0.37910062140910894
Cerebral atrophy,4126,27266,0.539375164178004,0.17209270129243429
Encephalomalacia,670,27266,0.5356267803709682,0.028679232942778833
Arachnoid cyst,968,27266,0.5112497949440268,0.03647027812460591
Empty sella syndrome,1160,27266,0.5399647194329747,0.04597568671204208
Intracranial aneurysm,127,27266,0.5325433108583892,0.005164194985744007
Chiari malformation,133,27266,0.534923208954831,0.005619489096474873
Schwannoma,84,27266,0.5620491151357165,0.003476966349505863
Cyst of pineal gland,447,27266,0.5683844794997837,0.019828921402917345
Hemangioma of vertebral column,56,27266,0.6931961069984776,0.005492784149903571
Rathke's pouch cyst,96,27266,0.6019964958287326,0.004556219369583496
Cerebral edema,1098,27266,0.6172161044037157,0.05628121567521672
Spinal stenosis,93,27266,0.567179865845643,0.0051974113535036715
Mastoiditis,788,27266,0.5904388395614709,0.04105373232277623
Chronic mastoiditis,577,27266,0.5887751417200227,0.026814008919961822
Ventriculomegaly,2935,27266,0.523637556339852,0.11798580089489745
Cerebellar degeneration,765,27266,0.5936214023740133,0.043019161411879545
Mega cisterna magna,384,27266,0.5499833473606874,0.01584705172400925
Structure of cave of septum pellucidum,370,27266,0.558045705580655,0.016353814786661456
Hyperostosis of skull,146,27266,0.5714023416979835,0.007283359267442923
Watershed infarct,61,27266,0.5779292620389815,0.0025769335315104606
Choroid plexus cyst,102,27266,0.6424787997955773,0.0064591703165968965
Foraminal Spinal Stenosis,107,27266,0.7065500051100942,0.008959875660729845
Lipoma of brain,60,27266,0.4994529393026048,0.002510303962973804
Glioma,148,27266,0.5785919594644426,0.0071348579803946
Pituitary adenoma,107,27266,0.6000509977071677,0.005380620888292338
