finding,n_pos,n,auroc,auprc
Cerebral infarction,1006,27266,0.5739463637065649,0.04993222835298454
Cerebral hemorrhage,544,27266,0.6816750807332138,0.0366272862491184
Metastatic malignant neoplasm to brain,721,27266,0.7270856883699701,0.05415184907598043
Intracranial meningioma,470,27266,0.5714013761977811,0.023458908903601798
Demyelinating disease of central nervous system,776,27266,0.6296062412192113,0.0548016443286323
Herniation of nucleus pulposus,289,27266,0.6999648425359909,0.021373752089209812
Spinal cord compression,161,27266,0.7026423581631589,0.01395169788182432
Lacunar infarct,537,27266,0.5397831591002401,0.024012763467982638
Silent micro-hemorrhage of brain,411,27266,0.675469732242316,0.025244230115635813
Cavernous hemangioma,174,27266,0.6124882477925365,0.008933763689054892
Subdural intracranial hemorrhage,88,27266,0.6527068601609591,0.0056436511949476765
Gliosis,9510,27266,0.5434534266226917,0.38056943013136957
Cerebral atrophy,4126,27266,0.5596262198399508,0.18290026269985812
Encephalomalacia,670,27266,0.530295909159272,0.02849511231537099
Arachnoid cyst,968,27266,0.5304179912811143,0.03952865703409763
Empty sella syndrome,1160,27266,0.5674522569788423,0.05078403145960509
Intracranial aneurysm,127,27266,0.5744876261114769,0.005628513583482916
Chiari malformation,133,27266,0.5441826657825044,0.006196140892785722
Schwannoma,84,27266,0.5772397087007859,0.003873507982448698
Cyst of pineal gland,447,27266,0.5859749336278923,0.021572808038057233
Hemangioma of vertebral column,56,27266,0.7327971596576889,0.006531985519384852
Rathke's pouch cyst,96,27266,0.6209774874248558,0.004944516174615788
Cerebral edema,1098,27266,0.6592944482589449,0.06353046697147671
Spinal stenosis,93,27266,0.592668679259021,0.005100855704120413
Mastoiditis,788,27266,0.6115913488949546,0.044964419800879465
Chronic mastoiditis,577,27266,0.621217609368272,0.030300254119651336
Ventriculomegaly,2935,27266,0.5433325955901911,0.12147351695951866
Cerebellar degeneration,765,27266,0.6077389606459541,0.04580954956923723
Mega cisterna magna,384,27266,0.6082860394501897,0.021823987386719642
Structure of cave of septum pellucidum,370,27266,0.5725460532662346,0.01639572123969964
Hyperostosis of skull,146,27266,0.5980349890895866,0.008808757678767178
Watershed infarct,61,27266,0.6556232129460291,0.004163566245209214
Choroid plexus cyst,102,27266,0.6821627745487829,0.007421953944616671
Foraminal Spinal Stenosis,107,27266,0.7578412415911422,0.01039172738265563
Lipoma of brain,60,27266,0.5208563062069641,0.002743459375618329
Glioma,148,27266,0.6285213969777729,0.008269309176095412
Pituitary adenoma,107,27266,0.6105079364751638,0.005347000035652923
