finding,subset,k,delta_mean,delta_lcb,certified
Cerebral infarction,T2cor,1,-0.029395835463652303,-0.0591066917633322,False
Cerebral infarction,FLAIRax,1,-0.002870301813587743,-0.0244511966719303,False
Cerebral infarction,T2ax,1,-0.03207800975569773,-0.06313158219364257,False
Cerebral infarction,T1ax,1,-0.03277216327347224,-0.05939559581915972,False
Cerebral infarction,FLAIRax+T2cor,2,0.0027093879356388296,-0.017195529596361805,False
Cerebral infarction,T2ax+T2cor,2,-0.0145941174958641,-0.043232397881666024,False
Cerebral infarction,T2ax+FLAIRax,2,0.004391972606942737,-0.01313830187115835,False
Cerebral infarction,T1ax+T2cor,2,-0.018786189951305474,-0.04138710601908333,False
Cerebral infarction,T1ax+FLAIRax,2,-0.01582795279107808,-0.03861167179849618,False
Cerebral infarction,T1ax+T2ax,2,-0.025544553652445113,-0.047545967036571934,False
Cerebral infarction,T2ax+FLAIRax+T2cor,3,0.007227639922469917,-0.006667543108423507,True
Cerebral infarction,T1ax+FLAIRax+T2cor,3,-0.004787472840243517,-0.018368284748083812,False
Cerebral infarction,T1ax+T2ax+T2cor,3,-0.011386124598376575,-0.02560852947870404,False
Cerebral infarction,T1ax+T2ax+FLAIRax,3,-0.00901075649092508,-0.025680149247997913,False
Cerebral infarction,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,True
Cerebral hemorrhage,T2cor,1,-0.0010447654758534224,-0.08144321180578505,False
Cerebral hemorrhage,FLAIRax,1,-0.01658550452803554,-0.0796248271816779,False
Cerebral hemorrhage,T2ax,1,-0.002472199972861451,-0.0631395763260539,False
Cerebral hemorrhage,T1ax,1,-0.02249243727440922,-0.1070752823956579,False
Cerebral hemorrhage,FLAIRax+T2cor,2,0.023576337740480444,-0.0285946323894021,False
Cerebral hemorrhage,T2ax+T2cor,2,0.0062425633567451564,-0.0473906127115131,False
Cerebral hemorrhage,T2ax+FLAIRax,2,-0.005596447328124069,-0.048589966061948216,False
Cerebral hemorrhage,T1ax+T2cor,2,-0.005719778417508498,-0.05589899442522311,False
Cerebral hemorrhage,T1ax+FLAIRax,2,-0.027212430731789895,-0.11293696901582102,False
Cerebral hemorrhage,T1ax+T2ax,2,-0.02820799473469612,-0.08081243839761518,False
Cerebral hemorrhage,T2ax+FLAIRax+T2cor,3,0.0039502727076787736,-0.0377492210029442,False
Cerebral hemorrhage,T1ax+FLAIRax+T2cor,3,0.013977660372887852,-0.0171270606733976,False
Cerebral hemorrhage,T1ax+T2ax+T2cor,3,-0.007674460283795993,-0.037514322665371566,False
Cerebral hemorrhage,T1ax+T2ax+FLAIRax,3,-0.027905427942266123,-0.0776233186721154,False
Cerebral hemorrhage,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,True
Metastatic malignant neoplasm to brain,T2cor,1,-0.054243938147538244,-0.17858665810169919,False
Metastatic malignant neoplasm to brain,FLAIRax,1,0.05394402339379025,-0.021431351229134366,False
Metastatic malignant neoplasm to brain,T2ax,1,-0.034211694826400185,-0.11858579690973668,False
Metastatic malignant neoplasm to brain,T1ax,1,-0.06437972656663705,-0.1767634599275842,False
Metastatic malignant neoplasm to brain,FLAIRax+T2cor,2,-0.0013956461724356276,-0.06793077945634214,False
Metastatic malignant neoplasm to brain,T2ax+T2cor,2,-0.007708090484724899,-0.09603210132008018,False
Metastatic malignant neoplasm to brain,T2ax+FLAIRax,2,0.02285939513492461,-0.04180479757140729,False
Metastatic malignant neoplasm to brain,T1ax+T2cor,2,-0.06783669656928203,-0.13594936454077441,False
Metastatic malignant neoplasm to brain,T1ax+FLAIRax,2,0.03365875715595655,-0.04043441476786385,False
Metastatic malignant neoplasm to brain,T1ax+T2ax,2,-0.05415299540855188,-0.13127573738447734,False
Metastatic malignant neoplasm to brain,T2ax+FLAIRax+T2cor,3,0.0028026366850683036,-0.04755930730744463,False
Metastatic malignant neoplasm to brain,T1ax+FLAIRax+T2cor,3,-0.001535241241542395,-0.04527840174651657,False
Metastatic malignant neoplasm to brain,T1ax+T2ax+T2cor,3,-0.026512988224060077,-0.08202040243301369,False
Metastatic malignant neoplasm to brain,T1ax+T2ax+FLAIRax,3,0.016004780454592842,-0.02049228338237913,False
Metastatic malignant neoplasm to brain,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,True
Intracranial meningioma,T2cor,1,-0.042088772635089325,-0.13651290313193978,False
Intracranial meningioma,FLAIRax,1,-0.06711984141617208,-0.1317238237482839,False
Intracranial meningioma,T2ax,1,-0.07753494784900376,-0.1404515927003258,False
Intracranial meningioma,T1ax,1,-0.030106926920096866,-0.08851542938212492,False
Intracranial meningioma,FLAIRax+T2cor,2,-0.030830792620772613,-0.08610647292349033,False
Intracranial meningioma,T2ax+T2cor,2,-0.03893682884366971,-0.10620024090481225,False
Intracranial meningioma,T2ax+FLAIRax,2,-0.048019944826692564,-0.09638531876886298,False
Intracranial meningioma,T1ax+T2cor,2,0.0029691130545659115,-0.05008068642266442,False
Intracranial meningioma,T1ax+FLAIRax,2,-0.013238482187804648,-0.06362579253092221,False
