finding,subset,k,delta_mean,delta_lcb,certified
Cerebral infarction,SWIax,1,-0.04765920069261972,-0.09222996155251798,False
Cerebral infarction,FLAIRsag,1,-0.028823566755713462,-0.06796751469090735,False
Cerebral infarction,FLAIRax,1,-0.009555097475758022,-0.04183121602522388,False
Cerebral infarction,T2ax,1,-6.597988067451599e-05,-0.03442476480087893,False
Cerebral infarction,T1ax,1,-0.04542860954174866,-0.08273342038190643,False
Cerebral infarction,FLAIRsag+SWIax,2,-0.017840666352299323,-0.05083323295283132,False
Cerebral infarction,FLAIRax+SWIax,2,-0.01575317708902988,-0.04489600236848448,False
Cerebral infarction,FLAIRax+FLAIRsag,2,-0.008849873902872547,-0.030081273490742487,False
Cerebral infarction,T2ax+SWIax,2,-0.010923073693876233,-0.04016275582640702,False
Cerebral infarction,T2ax+FLAIRsag,2,1.4130939528569919e-06,-0.026944433205546677,False
Cerebral infarction,T2ax+FLAIRax,2,0.00917215938114369,-0.016668130832691055,False
Cerebral infarction,T1ax+SWIax,2,-0.03272617896354005,-0.06210358288137502,False
Cerebral infarction,T1ax+FLAIRsag,2,-0.024082944747418285,-0.04741720982143279,False
Cerebral infarction,T1ax+FLAIRax,2,-0.03216494013046163,-0.05614660858737988,False
Cerebral infarction,T1ax+T2ax,2,-0.009320462669479283,-0.03471519473250969,False
Cerebral infarction,FLAIRax+FLAIRsag+SWIax,3,-0.000510927201160706,-0.021703023281163598,False
Cerebral infarction,T2ax+FLAIRsag+SWIax,3,-0.006433605224513337,-0.032984374806524525,False
Cerebral infarction,T2ax+FLAIRax+SWIax,3,0.006934194680996153,-0.014361973921839546,False
Cerebral infarction,T2ax+FLAIRax+FLAIRsag,3,0.0008489150315202096,-0.019019298431232453,False
Cerebral infarction,T1ax+FLAIRsag+SWIax,3,-0.01581150869974274,-0.03615690142197482,False
Cerebral infarction,T1ax+FLAIRax+SWIax,3,-0.021426784249938394,-0.0417568557247134,False
Cerebral infarction,T1ax+FLAIRax+FLAIRsag,3,-0.024710796144126624,-0.043264330082614634,False
Cerebral infarction,T1ax+T2ax+SWIax,3,-0.02173300035159793,-0.04710255658970433,False
Cerebral infarction,T1ax+T2ax+FLAIRsag,3,-0.008071902831255286,-0.027224243710440413,False
Cerebral infarction,T1ax+T2ax+FLAIRax,3,-0.006947202385803724,-0.028759753822206913,False
Cerebral infarction,T2ax+FLAIRax+FLAIRsag+SWIax,4,0.0063806538610741235,-0.011054124179720036,False
Cerebral infarction,T1ax+FLAIRax+FLAIRsag+SWIax,4,-0.007723243449218773,-0.018708554536116636,False
Cerebral infarction,T1ax+T2ax+FLAIRsag+SWIax,4,-0.007149321420980517,-0.019881235097666348,False
Cerebral infarction,T1ax+T2ax+FLAIRax+SWIax,4,-0.00822690847227071,-0.02604259270776632,False
Cerebral infarction,T1ax+T2ax+FLAIRax+FLAIRsag,4,-0.010892678140303418,-0.023171657200827023,False
Cerebral infarction,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,True
Cerebral hemorrhage,SWIax,1,-0.011897853477242476,-0.05024933653414072,False
Cerebral hemorrhage,FLAIRsag,1,-0.02555202734254554,-0.0630291024151689,False
Cerebral hemorrhage,FLAIRax,1,-0.01830770197956518,-0.0533473935328666,False
Cerebral hemorrhage,T2ax,1,-0.04201130177450134,-0.0815207030382189,False
Cerebral hemorrhage,T1ax,1,-0.024206413463684604,-0.0744066453814249,False
Cerebral hemorrhage,FLAIRsag+SWIax,2,-0.004968644640152438,-0.04511231538557441,False
Cerebral hemorrhage,FLAIRax+SWIax,2,0.00036912187665712247,-0.025814051096083312,False
Cerebral hemorrhage,FLAIRax+FLAIRsag,2,-0.024142698545337824,-0.052072268969670196,False
Cerebral hemorrhage,T2ax+SWIax,2,0.0022641836919618267,-0.025073034684548502,False
Cerebral hemorrhage,T2ax+FLAIRsag,2,-0.013122801297598267,-0.041448924226128496,False
Cerebral hemorrhage,T2ax+FLAIRax,2,-0.01833131522223153,-0.050960192978039304,False
Cerebral hemorrhage,T1ax+SWIax,2,-0.008099081687049748,-0.041438773611528805,False
Cerebral hemorrhage,T1ax+FLAIRsag,2,-0.01066592005324607,-0.04409425445667889,False
Cerebral hemorrhage,T1ax+FLAIRax,2,-0.012140346834909634,-0.04724036622362716,False
Cerebral hemorrhage,T1ax+T2ax,2,-0.019383289406123026,-0.049591925346295265,False
Cerebral hemorrhage,FLAIRax+FLAIRsag+SWIax,3,0.0028202962629891716,-0.02909387214197836,False
Cerebral hemorrhage,T2ax+FLAIRsag+SWIax,3,-0.0028156521377206535,-0.023221280956389187,False
Cerebral hemorrhage,T2ax+FLAIRax+SWIax,3,-0.006623648467098494,-0.024902519715599994,False
Cerebral hemorrhage,T2ax+FLAIRax+FLAIRsag,3,-0.009904175101423364,-0.03257081540131964,False
Cerebral hemorrhage,T1ax+FLAIRsag+SWIax,3,-0.0015475267674044965,-0.025468445476036192,False
Cerebral hemorrhage,T1ax+FLAIRax+SWIax,3,-0.0016612193201550093,-0.022792232232800677,False
Cerebral hemorrhage,T1ax+FLAIRax+FLAIRsag,3,-0.012036028921377397,-0.038065731082814344,False
Cerebral hemorrhage,T1ax+T2ax+SWIax,3,-0.007368689447131098,-0.03068621616046669,False
Cerebral hemorrhage,T1ax+T2ax+FLAIRsag,3,-0.002708904398165344,-0.02805508264450844,False
Cerebral hemorrhage,T1ax+T2ax+FLAIRax,3,-0.016984150649164087,-0.03938344568549858,False
Cerebral hemorrhage,T2ax+FLAIRax+FLAIRsag+SWIax,4,0.002055004269678422,-0.012798676218114195,False
Cerebral hemorrhage,T1ax+FLAIRax+FLAIRsag+SWIax,4,0.009551277880820058,-0.01159729268580502,False
Cerebral hemorrhage,T1ax+T2ax+FLAIRsag+SWIax,4,-0.00022269530623535066,-0.015282641291833522,False
Cerebral hemorrhage,T1ax+T2ax+FLAIRax+SWIax,4,-0.01144595530293138,-0.02799636570661958,False
Cerebral hemorrhage,T1ax+T2ax+FLAIRax+FLAIRsag,4,-0.007776867125322294,-0.021386119877851273,False
Cerebral hemorrhage,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,True
Metastatic malignant neoplasm to brain,SWIax,1,-0.03414611348170487,-0.053863666789871034,False
Metastatic malignant neoplasm to brain,FLAIRsag,1,-0.006637742807561764,-0.029754265756081137,False
Metastatic malignant neoplasm to brain,FLAIRax,1,-0.010133818099274156,-0.03595648876758216,False
Metastatic malignant neoplasm to brain,T2ax,1,-0.044090338404632536,-0.06719723114003513,False
Metastatic malignant neoplasm to brain,T1ax,1,-0.04676623077830801,-0.07261580732542705,False
Metastatic malignant neoplasm to brain,FLAIRsag+SWIax,2,-0.0005903724395570112,-0.01639307396776159,False
Metastatic malignant neoplasm to brain,FLAIRax+SWIax,2,-0.017480881052838713,-0.037501106545357786,False
Metastatic malignant neoplasm to brain,FLAIRax+FLAIRsag,2,-0.0006805012274649002,-0.020454276063101455,False
Metastatic malignant neoplasm to brain,T2ax+SWIax,2,-0.01594971766584033,-0.03375584100223971,False
Metastatic malignant neoplasm to brain,T2ax+FLAIRsag,2,-0.005462893933758448,-0.02289022750558879,False
Metastatic malignant neoplasm to brain,T2ax+FLAIRax,2,-0.02620118681594133,-0.044592766982435715,False
Metastatic malignant neoplasm to brain,T1ax+SWIax,2,-0.025125045931198412,-0.043414967997968464,False
Metastatic malignant neoplasm to brain,T1ax+FLAIRsag,2,-0.021915612811323842,-0.03905322828854258,False
Metastatic malignant neoplasm to brain,T1ax+FLAIRax,2,-0.028661669880953797,-0.05295482620652332,False
Metastatic malignant neoplasm to brain,T1ax+T2ax,2,-0.03147136774407604,-0.05124133717501908,False
Metastatic malignant neoplasm to brain,FLAIRax+FLAIRsag+SWIax,3,0.002705828726437412,-0.011195447969287028,False
Metastatic malignant neoplasm to brain,T2ax+FLAIRsag+SWIax,3,0.004467308457582766,-0.01019453608185947,False
Metastatic malignant neoplasm to brain,T2ax+FLAIRax+SWIax,3,-0.010624936782527915,-0.025939954310476413,False
Metastatic malignant neoplasm to brain,T2ax+FLAIRax+FLAIRsag,3,-0.003066769189736921,-0.020773715068460298,False
Metastatic malignant neoplasm to brain,T1ax+FLAIRsag+SWIax,3,-0.004954838039268329,-0.020856980948045025,False
Metastatic malignant neoplasm to brain,T1ax+FLAIRax+SWIax,3,-0.021343648383573104,-0.039184704763200795,False
Metastatic malignant neoplasm to brain,T1ax+FLAIRax+FLAIRsag,3,-0.009671799826802328,-0.02265755083618626,False
Metastatic malignant neoplasm to brain,T1ax+T2ax+SWIax,3,-0.018687861054115924,-0.03318683413853011,False
Metastatic malignant neoplasm to brain,T1ax+T2ax+FLAIRsag,3,-0.011019610510414746,-0.024801761205561962,False
Metastatic malignant neoplasm to brain,T1ax+T2ax+FLAIRax,3,-0.024612837952749787,-0.03941364714801722,False
Metastatic malignant neoplasm to brain,T2ax+FLAIRax+FLAIRsag+SWIax,4,0.00453662735625123,-0.005504864261799406,True
Metastatic malignant neoplasm to brain,T1ax+FLAIRax+FLAIRsag+SWIax,4,-0.0006258607253436452,-0.012495735520125301,False
Metastatic malignant neoplasm to brain,T1ax+T2ax+FLAIRsag+SWIax,4,-0.002638129542222304,-0.010977325354037289,False
Metastatic malignant neoplasm to brain,T1ax+T2ax+FLAIRax+SWIax,4,-0.01876136180895351,-0.030520537939145238,False
Metastatic malignant neoplasm to brain,T1ax+T2ax+FLAIRax+FLAIRsag,4,-0.004608795091855628,-0.0157925799213232,False
Metastatic malignant neoplasm to brain,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,True
Intracranial meningioma,SWIax,1,-0.05352858075298684,-0.11779011900708204,False
Intracranial meningioma,FLAIRsag,1,-0.02912080833289136,-0.08479471599116865,False
Intracranial meningioma,FLAIRax,1,-0.0030180299632638873,-0.06004602377713142,False
Intracranial meningioma,T2ax,1,-0.0626619466122273,-0.13176719303508827,False
Intracranial meningioma,T1ax,1,-0.0301446425929294,-0.08514090584904858,False
Intracranial meningioma,FLAIRsag+SWIax,2,-0.0221270343141712,-0.0667444791792718,False
Intracranial meningioma,FLAIRax+SWIax,2,-0.02992281909121524,-0.07979891688403748,False
Intracranial meningioma,FLAIRax+FLAIRsag,2,-0.0005697297806466653,-0.05460231441584499,False
