seqset,n_sequences,split,vendor,n,frac,n_cohort
k4,4,train,Siemens,8533,0.6874798582017403,12412
k4,4,train,GE,3621,0.2917338059941992,12412
k4,4,train,Philips,258,0.020786335804060585,12412
k4,4,test,Siemens,1100,0.7447528774542993,1477
k4,4,test,GE,361,0.24441435341909276,1477
k4,4,test,Philips,16,0.010832769126607989,1477
k5,5,train,Philips,5944,0.6328116682636006,9393
k5,5,train,Siemens,3449,0.3671883317363994,9393
k5,5,test,Siemens,523,0.6067285382830626,862
k5,5,test,Philips,338,0.39211136890951276,862
k5,5,test,GE,1,0.001160092807424594,862
