shift,held_out,method,seed,axis,n_test,macro_full,macro_avg_subset,macro_worst_subset,budget,macro_auroc,macro_auprc,worst_finding
vendor,GE,uniform,0,availability,4187,0.7019638169305037,0.6959562275238966,0.6761105921765127,,,,
vendor,GE,uniform,0,budget,4187,,,,1.0,0.6901722236271732,0.12094439697559163,0.44360383109261103
vendor,GE,uniform,0,budget,4187,,,,2.0,0.6901759939590685,0.1250461211117854,0.4466616032589933
vendor,GE,uniform,0,budget,4187,,,,3.0,0.6986324565947837,0.13338707335221656,0.454547696313905
vendor,GE,uniform,0,budget,4187,,,,4.0,0.7019638169305037,0.13572997375013335,0.4640662451544175
vendor,GE,patient,0,availability,4187,0.7007698444905545,0.6950113449062896,0.6780296829858203,,,,
vendor,GE,patient,0,budget,4187,,,,1.0,0.6929220989030559,0.12337730060462149,0.46928418539963107
vendor,GE,patient,0,budget,4187,,,,2.0,0.6957108382280895,0.12906975988805622,0.4683224667343979
vendor,GE,patient,0,budget,4187,,,,3.0,0.699110320405715,0.13198137167403434,0.4532900642132155
vendor,GE,patient,0,budget,4187,,,,4.0,0.7012065874676464,0.13770545793707684,0.4519732494254347
vendor,GE,finding,0,availability,4187,0.7046337576232939,0.6991554249025043,0.6823560416538997,,,,
vendor,GE,finding,0,budget,4187,,,,1.0,0.6855957936743441,0.13138616127642425,0.44327832631360903
vendor,GE,finding,0,budget,4187,,,,2.0,0.6966139602978859,0.12937513628943684,0.4531371756048964
vendor,GE,finding,0,budget,4187,,,,3.0,0.7032894251932011,0.13252271416425881,0.44997090184551347
vendor,GE,finding,0,budget,4187,,,,4.0,0.704675397832634,0.1324652795786455,0.4546364703445419
vendor,GE,label_id,0,availability,4187,0.6956801049950482,0.6901855952108576,0.6697626990928773,,,,
vendor,GE,label_id,0,budget,4187,,,,1.0,0.6795506333433331,0.12625878845493038,0.45476469949990633
vendor,GE,label_id,0,budget,4187,,,,2.0,0.6893453390861016,0.12642938893744096,0.45225929907970924
vendor,GE,label_id,0,budget,4187,,,,3.0,0.6920495868389436,0.12714201753603482,0.4492113906945089
vendor,GE,label_id,0,budget,4187,,,,4.0,0.6979666193023403,0.13273642231116,0.4524121876880284
vendor,GE,queryseq,0,availability,4187,0.7017980979417279,0.6962318546042994,0.6818953739274988,,,,
vendor,GE,queryseq,0,budget,4187,,,,1.0,0.6872965613248208,0.13411637978348592,0.4451672404099387
vendor,GE,queryseq,0,budget,4187,,,,2.0,0.6981303972142606,0.138698439988415,0.44844694765291326
vendor,GE,queryseq,0,budget,4187,,,,3.0,0.6979017200165808,0.13958381511790538,0.4546068790009963
vendor,GE,queryseq,0,budget,4187,,,,4.0,0.7063154470618688,0.14210119077442004,0.4623844704629072
vendor,GE,uniform,1,availability,4187,0.709090150014987,0.704180402264485,0.6901518506209825,,,,
vendor,GE,uniform,1,budget,4187,,,,1.0,0.6938762791005861,0.12199688596386758,0.4553861177143647
vendor,GE,uniform,1,budget,4187,,,,2.0,0.6981851588006072,0.12741625464907702,0.44846667521527706
vendor,GE,uniform,1,budget,4187,,,,3.0,0.7064068102987717,0.13531824858046576,0.4479143034690919
vendor,GE,uniform,1,budget,4187,,,,4.0,0.7090901934305632,0.13884450365255377,0.4549915664670895
vendor,GE,patient,1,availability,4187,0.7068641289832533,0.7008350680895992,0.685612061653013,,,,
vendor,GE,patient,1,budget,4187,,,,1.0,0.6953442202498802,0.12840933933364473,0.475555762254674
vendor,GE,patient,1,budget,4187,,,,2.0,0.7036298169896988,0.13577752960678813,0.4794833351416933
vendor,GE,patient,1,budget,4187,,,,3.0,0.7059448735644933,0.1399358738004499,0.4693976188832227
vendor,GE,patient,1,budget,4187,,,,4.0,0.705675216876906,0.14137469245526227,0.4548090865152247
vendor,GE,finding,1,availability,4187,0.7121124589955564,0.7067518017516633,0.6926020083451265,,,,
vendor,GE,finding,1,budget,4187,,,,1.0,0.695992939182114,0.13672892059167663,0.4491817993509632
vendor,GE,finding,1,budget,4187,,,,2.0,0.7051232211439417,0.13767816112943534,0.44750495655004385
vendor,GE,finding,1,budget,4187,,,,3.0,0.7149717926028006,0.14251907589391064,0.44404276935520465
vendor,GE,finding,1,budget,4187,,,,4.0,0.7121611911735501,0.14262886785487414,0.4488069756660518
vendor,GE,label_id,1,availability,4187,0.703740843880959,0.6981002571336237,0.6837903456790131,,,,
vendor,GE,label_id,1,budget,4187,,,,1.0,0.6906873560088067,0.12582057186380632,0.43756833490063035
vendor,GE,label_id,1,budget,4187,,,,2.0,0.7009180238506821,0.13018063606408736,0.460628717412533
vendor,GE,label_id,1,budget,4187,,,,3.0,0.703467853347504,0.13257354616183437,0.45283633027884906
vendor,GE,label_id,1,budget,4187,,,,4.0,0.7045462122414411,0.13236674373209392,0.4574131247472406
