shift,held_out,method,seed,axis,n_test,macro_full,macro_avg_subset,macro_worst_subset,budget,macro_auroc,macro_auprc,worst_finding
vendor,Siemens,uniform,0,availability,4334,0.7311911932439854,0.7156279690616513,0.632839536004395,,,,
vendor,Siemens,uniform,0,budget,4334,,,,1.0,0.6898572907735895,0.11667541212714044,0.46909457279138744
vendor,Siemens,uniform,0,budget,4334,,,,2.0,0.7111049976221677,0.12443884093276102,0.5044492824078967
vendor,Siemens,uniform,0,budget,4334,,,,3.0,0.7267684820667971,0.13268807362384422,0.5028710729710497
vendor,Siemens,uniform,0,budget,4334,,,,4.0,0.722648582352535,0.13603091644083135,0.5314972557474302
vendor,Siemens,uniform,0,budget,4334,,,,5.0,0.7311912114151857,0.13932729092087545,0.5370139431985514
vendor,Siemens,patient,0,availability,4334,0.73262411566414,0.7163603603168767,0.6325635214761798,,,,
vendor,Siemens,patient,0,budget,4334,,,,1.0,0.7171591226034767,0.12865367775534187,0.5147710539479895
vendor,Siemens,patient,0,budget,4334,,,,2.0,0.7089743737900343,0.11609967135740884,0.53317410327408
vendor,Siemens,patient,0,budget,4334,,,,3.0,0.7319582309180761,0.13190373040504985,0.5359077874771899
vendor,Siemens,patient,0,budget,4334,,,,4.0,0.7341325027029987,0.1368551557081116,0.5431509744071378
vendor,Siemens,patient,0,budget,4334,,,,5.0,0.7303535745763259,0.13931748419233625,0.5362671119471863
vendor,Siemens,finding,0,availability,4334,0.7309684748483675,0.7152542696663845,0.6311265420083723,,,,
vendor,Siemens,finding,0,budget,4334,,,,1.0,0.7183932542530819,0.13485594033813192,0.5362530207915002
vendor,Siemens,finding,0,budget,4334,,,,2.0,0.72193868944023,0.13725212517428137,0.530086874853252
vendor,Siemens,finding,0,budget,4334,,,,3.0,0.7271064849247679,0.14144719872677358,0.5192379503004938
vendor,Siemens,finding,0,budget,4334,,,,4.0,0.7333072824455973,0.14102464951972268,0.5387649683024185
vendor,Siemens,finding,0,budget,4334,,,,5.0,0.7307221552957417,0.1392368932092784,0.537183037066785
vendor,Siemens,label_id,0,availability,4334,0.7309705043471667,0.7153436110347131,0.632518683766725,,,,
vendor,Siemens,label_id,0,budget,4334,,,,1.0,0.7163914840464916,0.13382442470017286,0.5024906117675241
vendor,Siemens,label_id,0,budget,4334,,,,2.0,0.7178562852790341,0.12690612078022653,0.5370118181106676
vendor,Siemens,label_id,0,budget,4334,,,,3.0,0.7218236252416429,0.1319825818971193,0.5295577991703843
vendor,Siemens,label_id,0,budget,4334,,,,4.0,0.7238503987037685,0.13468428754627923,0.5300176844003861
vendor,Siemens,label_id,0,budget,4334,,,,5.0,0.7305133827374328,0.1393433199900073,0.5363727956148323
vendor,Siemens,queryseq,0,availability,4334,0.7296110343528613,0.714001344580391,0.629974603726084,,,,
vendor,Siemens,queryseq,0,budget,4334,,,,1.0,0.7041064794499511,0.11439972560576932,0.5241592864238761
vendor,Siemens,queryseq,0,budget,4334,,,,2.0,0.7119568650080602,0.12389048740089306,0.5266005791464987
vendor,Siemens,queryseq,0,budget,4334,,,,3.0,0.7158527945920603,0.1255671885018745,0.525360557446119
vendor,Siemens,queryseq,0,budget,4334,,,,4.0,0.7250130366269362,0.13415197439246407,0.525353511868276
vendor,Siemens,queryseq,0,budget,4334,,,,5.0,0.7293517261158685,0.13848529813561963,0.5360538467558895
vendor,Siemens,uniform,1,availability,4334,0.7303628473973574,0.7151162810756365,0.6385926236181946,,,,
vendor,Siemens,uniform,1,budget,4334,,,,1.0,0.6872210722843762,0.11551271619679128,0.46631861512121914
vendor,Siemens,uniform,1,budget,4334,,,,2.0,0.7106103898919172,0.12384663391921197,0.5084863985119739
vendor,Siemens,uniform,1,budget,4334,,,,3.0,0.7256928049068667,0.13239359236237996,0.5090570903172623
vendor,Siemens,uniform,1,budget,4334,,,,4.0,0.7220823883255698,0.1371926528521759,0.5318847625287988
vendor,Siemens,uniform,1,budget,4334,,,,5.0,0.7303628292261571,0.1396937633341438,0.5430445331454958
vendor,Siemens,patient,1,availability,4334,0.733218149083408,0.7171791151398201,0.638849861126493,,,,
vendor,Siemens,patient,1,budget,4334,,,,1.0,0.6957523823826841,0.11500803420405631,0.5213163957641986
vendor,Siemens,patient,1,budget,4334,,,,2.0,0.725905721913226,0.13239509561641516,0.5410228769912564
vendor,Siemens,patient,1,budget,4334,,,,3.0,0.7361438265563667,0.13870538872365895,0.5377044098271719
