finding,n_pos,auroc,auprc,method,seed,shift,held_out,axis,subset,k
Cerebral infarction,129,0.8679419731719523,0.2067815381287594,uniform,0,vendor,GE,availability,T2cor,1
Cerebral hemorrhage,27,0.789823717948718,0.02526334544934886,uniform,0,vendor,GE,availability,T2cor,1
Intracranial meningioma,75,0.7211284046692608,0.040963523719835096,uniform,0,vendor,GE,availability,T2cor,1
Demyelinating disease of central nervous system,109,0.4739798696068859,0.023439810841648513,uniform,0,vendor,GE,availability,T2cor,1
Lacunar infarct,61,0.8947577537089866,0.13201487804511697,uniform,0,vendor,GE,availability,T2cor,1
Gliosis,1237,0.7152471123412301,0.5228976676973026,uniform,0,vendor,GE,availability,T2cor,1
Cerebral atrophy,550,0.9052805758992176,0.6511651347720339,uniform,0,vendor,GE,availability,T2cor,1
Encephalomalacia,62,0.7507096774193548,0.08714164063927787,uniform,0,vendor,GE,availability,T2cor,1
Arachnoid cyst,165,0.5915977276494432,0.06366166342668902,uniform,0,vendor,GE,availability,T2cor,1
Empty sella syndrome,88,0.6667784825567212,0.041045365160773,uniform,0,vendor,GE,availability,T2cor,1
Cyst of pineal gland,175,0.6193220338983051,0.056453213113386226,uniform,0,vendor,GE,availability,T2cor,1
Rathke's pouch cyst,38,0.5258496023138105,0.011737096156971724,uniform,0,vendor,GE,availability,T2cor,1
Cerebral edema,74,0.7864253750468192,0.12308527499235265,uniform,0,vendor,GE,availability,T2cor,1
Mastoiditis,66,0.5056326428566176,0.032339546899434676,uniform,0,vendor,GE,availability,T2cor,1
Chronic mastoiditis,123,0.7506141572242494,0.08110619525229601,uniform,0,vendor,GE,availability,T2cor,1
Ventriculomegaly,345,0.8754573780262395,0.4285734839050972,uniform,0,vendor,GE,availability,T2cor,1
Cerebellar degeneration,34,0.7273197263494852,0.15959281820058524,uniform,0,vendor,GE,availability,T2cor,1
Mega cisterna magna,49,0.5366094238565412,0.012103593184057303,uniform,0,vendor,GE,availability,T2cor,1
Structure of cave of septum pellucidum,129,0.5868797781012528,0.039236524729101684,uniform,0,vendor,GE,availability,T2cor,1
Hyperostosis of skull,40,0.7881179165661923,0.032050992733169366,uniform,0,vendor,GE,availability,T2cor,1
Choroid plexus cyst,41,0.47758638946736787,0.009285838333505797,uniform,0,vendor,GE,availability,T2cor,1
Pituitary adenoma,52,0.49868849409357263,0.012471369390498728,uniform,0,vendor,GE,availability,T2cor,1
Cerebral infarction,129,0.8793177224813842,0.205973745789148,uniform,0,vendor,GE,availability,FLAIRax,1
Cerebral hemorrhage,27,0.8214387464387464,0.10479802777789744,uniform,0,vendor,GE,availability,FLAIRax,1
Intracranial meningioma,75,0.7103145265888456,0.03464310362546525,uniform,0,vendor,GE,availability,FLAIRax,1
Demyelinating disease of central nervous system,109,0.6723254338563156,0.0670741981090061,uniform,0,vendor,GE,availability,FLAIRax,1
Lacunar infarct,61,0.8990607344071582,0.14026349783333786,uniform,0,vendor,GE,availability,FLAIRax,1
Gliosis,1237,0.7036175547730295,0.5229994852223628,uniform,0,vendor,GE,availability,FLAIRax,1
Cerebral atrophy,550,0.908298547754143,0.706135771418797,uniform,0,vendor,GE,availability,FLAIRax,1
Encephalomalacia,62,0.7830615835777126,0.07311789577328803,uniform,0,vendor,GE,availability,FLAIRax,1
Arachnoid cyst,165,0.5322529120142248,0.04290136243951287,uniform,0,vendor,GE,availability,FLAIRax,1
Empty sella syndrome,88,0.6857548404267116,0.0482734684652616,uniform,0,vendor,GE,availability,FLAIRax,1
Cyst of pineal gland,175,0.5903062241845891,0.055436536735531644,uniform,0,vendor,GE,availability,FLAIRax,1
Rathke's pouch cyst,38,0.6318009412540753,0.017656500630219042,uniform,0,vendor,GE,availability,FLAIRax,1
Cerebral edema,74,0.8375355662007742,0.2237069517693252,uniform,0,vendor,GE,availability,FLAIRax,1
Mastoiditis,66,0.6245652349753296,0.02549337578934997,uniform,0,vendor,GE,availability,FLAIRax,1
Chronic mastoiditis,123,0.6712178317649318,0.07069172345210525,uniform,0,vendor,GE,availability,FLAIRax,1
Ventriculomegaly,345,0.8759741680435158,0.4403994910691106,uniform,0,vendor,GE,availability,FLAIRax,1
Cerebellar degeneration,34,0.6477174544269911,0.054248606330962956,uniform,0,vendor,GE,availability,FLAIRax,1
Mega cisterna magna,49,0.47725905248517964,0.012080601829460195,uniform,0,vendor,GE,availability,FLAIRax,1
Structure of cave of septum pellucidum,129,0.6161109646559003,0.046460152990086205,uniform,0,vendor,GE,availability,FLAIRax,1
Hyperostosis of skull,40,0.7475584760067518,0.05652323050348188,uniform,0,vendor,GE,availability,FLAIRax,1
Choroid plexus cyst,41,0.5255668113844669,0.0115742834111679,uniform,0,vendor,GE,availability,FLAIRax,1
Pituitary adenoma,52,0.5795646916565901,0.01838435081647017,uniform,0,vendor,GE,availability,FLAIRax,1
Cerebral infarction,129,0.8549176475981982,0.19043364696583157,uniform,0,vendor,GE,availability,T2ax,1
Cerebral hemorrhage,27,0.7893874643874643,0.03850006485253828,uniform,0,vendor,GE,availability,T2ax,1
Intracranial meningioma,75,0.697769130998703,0.036628980271562334,uniform,0,vendor,GE,availability,T2ax,1
Demyelinating disease of central nervous system,109,0.5884540452011464,0.030783133876531216,uniform,0,vendor,GE,availability,T2ax,1
Lacunar infarct,61,0.8893184364644835,0.14957881929538736,uniform,0,vendor,GE,availability,T2ax,1
Gliosis,1237,0.6844991299343682,0.5000902279516078,uniform,0,vendor,GE,availability,T2ax,1
Cerebral atrophy,550,0.8557572424825656,0.5810937529409519,uniform,0,vendor,GE,availability,T2ax,1
Encephalomalacia,62,0.7302482893450635,0.05511719082455077,uniform,0,vendor,GE,availability,T2ax,1
Arachnoid cyst,165,0.5748926359567831,0.06049848691123202,uniform,0,vendor,GE,availability,T2ax,1
Empty sella syndrome,88,0.6649265896338353,0.0440360473462034,uniform,0,vendor,GE,availability,T2ax,1
Cyst of pineal gland,175,0.5845420880216494,0.05222613689870732,uniform,0,vendor,GE,availability,T2ax,1
Rathke's pouch cyst,38,0.5844464741028276,0.020232272760635044,uniform,0,vendor,GE,availability,T2ax,1
Cerebral edema,74,0.7720839000926529,0.1516865491568237,uniform,0,vendor,GE,availability,T2ax,1
Mastoiditis,66,0.5258358886119138,0.018629429990410083,uniform,0,vendor,GE,availability,T2ax,1
