finding,n_pos,auroc,auprc,method,seed,shift,held_out,axis,subset,k
Cerebral infarction,83,0.7764891605943889,0.06649096712304782,uniform,0,vendor,Siemens,availability,SWIax,1
Cerebral hemorrhage,29,0.8238936280988426,0.046428203600061564,uniform,0,vendor,Siemens,availability,SWIax,1
Intracranial meningioma,38,0.7851857296873468,0.03293651647125432,uniform,0,vendor,Siemens,availability,SWIax,1
Demyelinating disease of central nervous system,81,0.6145117607614667,0.02849715804171954,uniform,0,vendor,Siemens,availability,SWIax,1
Lacunar infarct,34,0.7574350205198359,0.02074710906756477,uniform,0,vendor,Siemens,availability,SWIax,1
Silent micro-hemorrhage of brain,28,0.7982549266803796,0.04489292728781492,uniform,0,vendor,Siemens,availability,SWIax,1
Cavernous hemangioma,33,0.5376480452044274,0.008596683532781396,uniform,0,vendor,Siemens,availability,SWIax,1
Gliosis,1343,0.7113056717932402,0.5201375437537815,uniform,0,vendor,Siemens,availability,SWIax,1
Cerebral atrophy,685,0.8243482365931672,0.4238197725437397,uniform,0,vendor,Siemens,availability,SWIax,1
Encephalomalacia,52,0.7921576905112636,0.09286078410625354,uniform,0,vendor,Siemens,availability,SWIax,1
Arachnoid cyst,327,0.5774481812790919,0.09754948453849763,uniform,0,vendor,Siemens,availability,SWIax,1
Empty sella syndrome,227,0.6404934521376955,0.081482653360203,uniform,0,vendor,Siemens,availability,SWIax,1
Chiari malformation,42,0.5695701859494964,0.012540453139511222,uniform,0,vendor,Siemens,availability,SWIax,1
Cyst of pineal gland,57,0.5854694018187859,0.01859838038362227,uniform,0,vendor,Siemens,availability,SWIax,1
Cerebral edema,53,0.816437704116037,0.12099903518471687,uniform,0,vendor,Siemens,availability,SWIax,1
Mastoiditis,115,0.6277646670857507,0.047458914233115566,uniform,0,vendor,Siemens,availability,SWIax,1
Chronic mastoiditis,175,0.6051015010476419,0.06266147828850838,uniform,0,vendor,Siemens,availability,SWIax,1
Ventriculomegaly,189,0.7144593154243333,0.12242900452829106,uniform,0,vendor,Siemens,availability,SWIax,1
Cerebellar degeneration,189,0.7820003701788986,0.12906382813651535,uniform,0,vendor,Siemens,availability,SWIax,1
Mega cisterna magna,83,0.612573086984494,0.033285470679703055,uniform,0,vendor,Siemens,availability,SWIax,1
Structure of cave of septum pellucidum,75,0.541344603584566,0.03767682950295972,uniform,0,vendor,Siemens,availability,SWIax,1
Cerebral infarction,83,0.7118126705835339,0.08832419674595396,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Cerebral hemorrhage,29,0.6879971164243662,0.07639870329239215,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Intracranial meningioma,38,0.6865934039008135,0.06508531078297188,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Demyelinating disease of central nervous system,81,0.49449190549590266,0.017885610571423814,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Lacunar infarct,34,0.6799247606019151,0.02139937814398403,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Silent micro-hemorrhage of brain,28,0.6940067016123682,0.0438416982489646,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Cavernous hemangioma,33,0.6392241409679215,0.01765897208198028,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Gliosis,1343,0.6249956123022828,0.4669521416363922,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Cerebral atrophy,685,0.7395926891279083,0.44393105756343926,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Encephalomalacia,52,0.6812866022347573,0.046976514778619326,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Arachnoid cyst,327,0.5639274999637485,0.1006467099956613,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Empty sella syndrome,227,0.6040927223210828,0.07755831237021107,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Chiari malformation,42,0.5929636533084809,0.013871715054967003,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Cyst of pineal gland,57,0.564529162513485,0.01972801590709014,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Cerebral edema,53,0.7067692700964772,0.07309878506388763,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Mastoiditis,115,0.5608334965013346,0.03230181248560304,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Chronic mastoiditis,175,0.577784494899186,0.06362447048107325,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Ventriculomegaly,189,0.7247605006350483,0.17208499821865547,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Cerebellar degeneration,189,0.6880183302378718,0.15763535211093863,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Mega cisterna magna,83,0.5637511230525489,0.024197352603149758,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Structure of cave of septum pellucidum,75,0.5022743993112624,0.020720983177368653,uniform,0,vendor,Siemens,availability,FLAIRsag,1
Cerebral infarction,83,0.8443768014896567,0.13301749760871687,uniform,0,vendor,Siemens,availability,FLAIRax,1
Cerebral hemorrhage,29,0.8330890303976931,0.10153726961295322,uniform,0,vendor,Siemens,availability,FLAIRax,1
Intracranial meningioma,38,0.840782122905028,0.04911230004444228,uniform,0,vendor,Siemens,availability,FLAIRax,1
Demyelinating disease of central nervous system,81,0.6157222352848968,0.025073524541522237,uniform,0,vendor,Siemens,availability,FLAIRax,1
Lacunar infarct,34,0.8279343365253078,0.03346955445600332,uniform,0,vendor,Siemens,availability,FLAIRax,1
Silent micro-hemorrhage of brain,28,0.8569769756485967,0.046794588995064314,uniform,0,vendor,Siemens,availability,FLAIRax,1
Cavernous hemangioma,33,0.5017015070491007,0.007741692736835574,uniform,0,vendor,Siemens,availability,FLAIRax,1
Gliosis,1343,0.755827671647357,0.6079274636223058,uniform,0,vendor,Siemens,availability,FLAIRax,1
Cerebral atrophy,685,0.9375135273537597,0.7638729539992167,uniform,0,vendor,Siemens,availability,FLAIRax,1
Encephalomalacia,52,0.8395789171127798,0.09282273442874217,uniform,0,vendor,Siemens,availability,FLAIRax,1
Arachnoid cyst,327,0.5858127481799817,0.0997976939001926,uniform,0,vendor,Siemens,availability,FLAIRax,1
Empty sella syndrome,227,0.6284800099539949,0.08285861566686453,uniform,0,vendor,Siemens,availability,FLAIRax,1
Chiari malformation,42,0.6964535348156038,0.021653286639708655,uniform,0,vendor,Siemens,availability,FLAIRax,1
Cyst of pineal gland,57,0.615885048135888,0.019439231005911536,uniform,0,vendor,Siemens,availability,FLAIRax,1
Cerebral edema,53,0.8930905757339364,0.2086240496553003,uniform,0,vendor,Siemens,availability,FLAIRax,1
Mastoiditis,115,0.5773117470655523,0.03409537045962571,uniform,0,vendor,Siemens,availability,FLAIRax,1
Chronic mastoiditis,175,0.6576883179335692,0.06890360707380841,uniform,0,vendor,Siemens,availability,FLAIRax,1
Ventriculomegaly,189,0.8077877981376171,0.2145691782679094,uniform,0,vendor,Siemens,availability,FLAIRax,1
Cerebellar degeneration,189,0.8546664879596121,0.2395421572495562,uniform,0,vendor,Siemens,availability,FLAIRax,1
Mega cisterna magna,83,0.587524409564865,0.030655575302091724,uniform,0,vendor,Siemens,availability,FLAIRax,1
Structure of cave of septum pellucidum,75,0.5532347186350474,0.025772291302385262,uniform,0,vendor,Siemens,availability,FLAIRax,1
Cerebral infarction,83,0.8503512993399144,0.11817287107072391,uniform,0,vendor,Siemens,availability,T2ax,1
Cerebral hemorrhage,29,0.7369538227401978,0.025269466413890287,uniform,0,vendor,Siemens,availability,T2ax,1
Intracranial meningioma,38,0.8011675487601686,0.04295050997275869,uniform,0,vendor,Siemens,availability,T2ax,1
Demyelinating disease of central nervous system,81,0.6111125625194126,0.02385485130663781,uniform,0,vendor,Siemens,availability,T2ax,1
Lacunar infarct,34,0.8524760601915184,0.04753568359578607,uniform,0,vendor,Siemens,availability,T2ax,1
Silent micro-hemorrhage of brain,28,0.8801091500232234,0.06696117393308815,uniform,0,vendor,Siemens,availability,T2ax,1
Cavernous hemangioma,33,0.5336038835225071,0.008767882839119044,uniform,0,vendor,Siemens,availability,T2ax,1
Gliosis,1343,0.7577094649548048,0.6087218200349267,uniform,0,vendor,Siemens,availability,T2ax,1
Cerebral atrophy,685,0.9095702652261494,0.7106581590100116,uniform,0,vendor,Siemens,availability,T2ax,1
Encephalomalacia,52,0.7848956274925448,0.07363643301730352,uniform,0,vendor,Siemens,availability,T2ax,1
Arachnoid cyst,327,0.5751700579032565,0.09759785647695551,uniform,0,vendor,Siemens,availability,T2ax,1
Empty sella syndrome,227,0.6224604173169478,0.07713046210625338,uniform,0,vendor,Siemens,availability,T2ax,1
Chiari malformation,42,0.6739726179381352,0.016950402027971427,uniform,0,vendor,Siemens,availability,T2ax,1
Cyst of pineal gland,57,0.6800306822703238,0.02341723048960448,uniform,0,vendor,Siemens,availability,T2ax,1
Cerebral edema,53,0.7690805798327847,0.058375810953231196,uniform,0,vendor,Siemens,availability,T2ax,1
Mastoiditis,115,0.6184012283974154,0.03882735539091224,uniform,0,vendor,Siemens,availability,T2ax,1
Chronic mastoiditis,175,0.6850424209116203,0.0731565043258323,uniform,0,vendor,Siemens,availability,T2ax,1
Ventriculomegaly,189,0.7817284801603257,0.17030717907303364,uniform,0,vendor,Siemens,availability,T2ax,1
Cerebellar degeneration,189,0.8230838455205163,0.22021301004333818,uniform,0,vendor,Siemens,availability,T2ax,1
Mega cisterna magna,83,0.5600723288354547,0.03335132011905389,uniform,0,vendor,Siemens,availability,T2ax,1
Structure of cave of septum pellucidum,75,0.495321280425765,0.021659323538024185,uniform,0,vendor,Siemens,availability,T2ax,1
Cerebral infarction,83,0.8265241629892895,0.1062665402589743,uniform,0,vendor,Siemens,availability,T1ax,1
Cerebral hemorrhage,29,0.7358404421482638,0.038545485694076086,uniform,0,vendor,Siemens,availability,T1ax,1
Intracranial meningioma,38,0.7005231304518279,0.02088489586848155,uniform,0,vendor,Siemens,availability,T1ax,1
Demyelinating disease of central nervous system,81,0.5513493742978813,0.020517732960904218,uniform,0,vendor,Siemens,availability,T1ax,1
Lacunar infarct,34,0.8216142270861834,0.035359138379620916,uniform,0,vendor,Siemens,availability,T1ax,1
Silent micro-hemorrhage of brain,28,0.8346742087452723,0.037730112189791054,uniform,0,vendor,Siemens,availability,T1ax,1
Cavernous hemangioma,33,0.46909457279138744,0.007446114695781753,uniform,0,vendor,Siemens,availability,T1ax,1
Gliosis,1343,0.7502068130427519,0.599540443440841,uniform,0,vendor,Siemens,availability,T1ax,1
Cerebral atrophy,685,0.9057439994559052,0.7092668006860906,uniform,0,vendor,Siemens,availability,T1ax,1
Encephalomalacia,52,0.7686154924011067,0.051386314587072,uniform,0,vendor,Siemens,availability,T1ax,1
Arachnoid cyst,327,0.5733567174875162,0.09414303334385177,uniform,0,vendor,Siemens,availability,T1ax,1
Empty sella syndrome,227,0.6271681849726854,0.08515911829791217,uniform,0,vendor,Siemens,availability,T1ax,1
Chiari malformation,42,0.6704999334309679,0.017799624659919733,uniform,0,vendor,Siemens,availability,T1ax,1
Cyst of pineal gland,57,0.6044120120267936,0.019662561096490203,uniform,0,vendor,Siemens,availability,T1ax,1
Cerebral edema,53,0.748123564852155,0.06293714862559832,uniform,0,vendor,Siemens,availability,T1ax,1
Mastoiditis,115,0.5913290806599545,0.03812628999321975,uniform,0,vendor,Siemens,availability,T1ax,1
Chronic mastoiditis,175,0.6697695187716828,0.06997946058155137,uniform,0,vendor,Siemens,availability,T1ax,1
Ventriculomegaly,189,0.7740951359769211,0.19031197965464347,uniform,0,vendor,Siemens,availability,T1ax,1
Cerebellar degeneration,189,0.8239327040292058,0.19709616816585257,uniform,0,vendor,Siemens,availability,T1ax,1
Mega cisterna magna,83,0.4985503056686874,0.024512465512924464,uniform,0,vendor,Siemens,availability,T1ax,1
Structure of cave of septum pellucidum,75,0.5415794004852469,0.02351113280991797,uniform,0,vendor,Siemens,availability,T1ax,1
Cerebral infarction,83,0.7885146797493432,0.11627269835778088,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Cerebral hemorrhage,29,0.8078176939404863,0.10888893193970076,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Intracranial meningioma,38,0.7921689699108106,0.04766516023281563,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Demyelinating disease of central nervous system,81,0.5760842745716168,0.022407670142222252,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Lacunar infarct,34,0.7699316005471956,0.026774774547397757,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Silent micro-hemorrhage of brain,28,0.8079507000199058,0.054571535042860234,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Cavernous hemangioma,33,0.5995575377114554,0.011101672671575316,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Gliosis,1343,0.7013137949465174,0.5410614853363561,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Cerebral atrophy,685,0.845042637418911,0.5368038166748508,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Encephalomalacia,52,0.7843881363848668,0.10979084293937387,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Arachnoid cyst,327,0.5878290972449589,0.10452972957852251,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Empty sella syndrome,227,0.6422118034214711,0.09008689949935744,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Chiari malformation,42,0.5990436249056939,0.01275357936909043,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Cyst of pineal gland,57,0.6166972258797566,0.02155710659314713,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Cerebral edema,53,0.8014174082056299,0.1498527453990894,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Mastoiditis,115,0.6144439749786164,0.04709082952518172,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Chronic mastoiditis,175,0.6227128774087177,0.07149697882229199,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Ventriculomegaly,189,0.7685718115151167,0.19766058854206764,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Cerebellar degeneration,189,0.788871656422923,0.18470362704877824,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Mega cisterna magna,83,0.6130293935091105,0.02975451403318969,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Structure of cave of septum pellucidum,75,0.5365297018079361,0.02154876322664575,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Cerebral infarction,83,0.8398023994354271,0.13715582491986847,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Cerebral hemorrhage,29,0.8507909808162121,0.09398716766023772,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Intracranial meningioma,38,0.8407024894638832,0.07590018813652799,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Demyelinating disease of central nervous system,81,0.6283785156737584,0.029670547334014523,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Lacunar infarct,34,0.8252530779753762,0.03126292597145389,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Silent micro-hemorrhage of brain,28,0.8543643421139937,0.060832381080123184,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Cavernous hemangioma,33,0.5258114744280752,0.008359484028456628,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Gliosis,1343,0.7598833980223121,0.6124984724128819,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Cerebral atrophy,685,0.9261283463322617,0.7040525845591311,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Encephalomalacia,52,0.8489607659971975,0.1283902476176908,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Arachnoid cyst,327,0.5939788855740986,0.1012201641102039,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Empty sella syndrome,227,0.6509086774594574,0.08926671520771085,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Chiari malformation,42,0.6383859228686815,0.0159362791242105,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Cyst of pineal gland,57,0.6150236474984515,0.019658678080855828,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Cerebral edema,53,0.8799610389038006,0.2297592401198028,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Mastoiditis,115,0.6145346620361305,0.04059349800517778,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Chronic mastoiditis,175,0.6428495860955585,0.0768735508630763,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Ventriculomegaly,189,0.7900511229823652,0.19684740222083863,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Cerebellar degeneration,189,0.8529955770004021,0.24593478717208767,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Mega cisterna magna,83,0.6110171100775721,0.034304307653663026,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Structure of cave of septum pellucidum,75,0.5612679032636769,0.03947260354182892,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Cerebral infarction,83,0.8157967083577783,0.13907533693199006,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Cerebral hemorrhage,29,0.7845969001561937,0.12578776155794227,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Intracranial meningioma,38,0.8037770753699892,0.05680252355306857,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Demyelinating disease of central nervous system,81,0.5600258931240982,0.02089339842904578,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Lacunar infarct,34,0.7991586867305062,0.03172681535000191,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
