subset,k,finding,n_pos,auroc_mean,auroc_sd_seed,ci_lo,ci_hi
T2cor,1,Cerebral infarction,339,0.8141270398585595,0.002085729501490045,0.7939294723931595,0.8414043220261376
T2cor,1,Cerebral hemorrhage,92,0.7259879952475061,0.024322794143853476,0.7066398225918218,0.818258648825806
T2cor,1,Metastatic malignant neoplasm to brain,50,0.7359841988890686,0.021903737121852934,0.6405200190677185,0.7966161283158448
T2cor,1,Intracranial meningioma,148,0.6703892921786757,0.012220137162234735,0.642782743025804,0.73169709357754
T2cor,1,Demyelinating disease of central nervous system,294,0.7752400432032855,0.0031497799359182506,0.7460390321602779,0.8036636996425581
T2cor,1,Herniation of nucleus pulposus,29,0.5304714193819668,0.01495964967439706,0.3987324291907612,0.6302841218430578
T2cor,1,Spinal cord compression,22,0.5918464304057525,0.010459445734234431,0.4484888104140541,0.7462050046466842
T2cor,1,Lacunar infarct,189,0.8264633520435423,0.007754566719192898,0.7955643297355629,0.8604053820328094
T2cor,1,Silent micro-hemorrhage of brain,78,0.8314164237830526,0.02029452321695661,0.817554314145054,0.8924129964157884
T2cor,1,Cavernous hemangioma,67,0.5799513973268531,0.018122321542339122,0.4700237745180409,0.6313881670644922
T2cor,1,Subdural intracranial hemorrhage,26,0.792524231245368,0.01698252039885604,0.6937073819061024,0.9012725885312922
T2cor,1,Gliosis,3854,0.7940471590638746,0.002785607537083235,0.7845680242196871,0.8017321675331252
T2cor,1,Cerebral atrophy,2012,0.9461749773793139,0.0008208434554168906,0.9397103496946314,0.9503221901841703
T2cor,1,Encephalomalacia,248,0.7853202690470381,0.004040689939315948,0.7538858562237477,0.822082675853472
T2cor,1,Arachnoid cyst,572,0.6764865553928053,0.003918517251238287,0.6503329513292911,0.6965908686112201
T2cor,1,Empty sella syndrome,670,0.7595530904496425,0.0008870997673763803,0.7409429989626284,0.7770657094320714
T2cor,1,Intracranial aneurysm,32,0.4775663031771675,0.02726832863843937,0.3594568885282155,0.5321376721714787
T2cor,1,Chiari malformation,62,0.8061821427016672,0.006676959730334452,0.7320390071105041,0.8493459828493435
T2cor,1,Cyst of pineal gland,244,0.7147676158552577,0.012421390127874262,0.670836196362383,0.7299109562596486
T2cor,1,Rathke's pouch cyst,47,0.6489315816491871,0.023987787201962412,0.5695650691851859,0.7035936548775702
T2cor,1,Cerebral edema,187,0.8250087303930681,0.0019313524757584243,0.794517335360902,0.8624220804213889
T2cor,1,Spinal stenosis,26,0.7443613964484301,0.02048305916751421,0.6499412765268102,0.8727654789393839
T2cor,1,Mastoiditis,281,0.7037737889643436,0.010661916893516152,0.6609780179404721,0.7240453043702841
T2cor,1,Chronic mastoiditis,360,0.7467054415434351,0.0052930057977430426,0.7340216661506219,0.7769601439896259
T2cor,1,Ventriculomegaly,1204,0.9108430054707007,0.002422180283367067,0.8992892586056658,0.9170312368375184
T2cor,1,Cerebellar degeneration,318,0.847550711252422,0.003536069314654575,0.8320786700036903,0.8773173798435091
T2cor,1,Mega cisterna magna,225,0.8037159815103525,0.007029969463803372,0.7708993616960914,0.8315735725272237
T2cor,1,Structure of cave of septum pellucidum,238,0.6726023085429341,0.013485484766917598,0.6165027883325455,0.6896314107267743
T2cor,1,Hyperostosis of skull,55,0.8939187946471266,0.006681402862525869,0.8647251215081173,0.9353340041604636
T2cor,1,Choroid plexus cyst,57,0.542682485249952,0.013274950942340817,0.4522102709330632,0.5993055465267504
T2cor,1,Lipoma of brain,34,0.5438602327342311,0.00721980457758234,0.44158273566333195,0.6240218035494892
T2cor,1,Glioma,35,0.8544827771942581,0.018020827514212186,0.7458314773395855,0.901134556513353
T2cor,1,Pituitary adenoma,57,0.6610037842481558,0.017337984750375384,0.593844085656279,0.7251410025090935
FLAIRax,1,Cerebral infarction,339,0.8435882631722248,0.007034342580008209,0.8132816931869075,0.8572468968069097
FLAIRax,1,Cerebral hemorrhage,92,0.7210062582345191,0.009487609859617175,0.6632520649152329,0.7886596172617147
FLAIRax,1,Metastatic malignant neoplasm to brain,50,0.8367982527099175,0.01348553618821293,0.7704008853986122,0.8863038350143472
FLAIRax,1,Intracranial meningioma,148,0.6667597759207348,0.011513454308709162,0.6166189086065917,0.7060472726075622
FLAIRax,1,Demyelinating disease of central nervous system,294,0.8179457649814615,0.0033288539615692943,0.7981757503353959,0.8494109705297012
FLAIRax,1,Herniation of nucleus pulposus,29,0.6876307061683565,0.01719067719917376,0.5513601879570197,0.7722300796511963
FLAIRax,1,Spinal cord compression,22,0.5240730550052585,0.03276393474551591,0.346535968007902,0.6297383308238714
FLAIRax,1,Lacunar infarct,189,0.852912679005564,0.004916547321038468,0.8184333685117433,0.8765844975645442
FLAIRax,1,Silent micro-hemorrhage of brain,78,0.823780488649955,0.014800664356541725,0.7998435674741173,0.8784226536624977
FLAIRax,1,Cavernous hemangioma,67,0.5325337669691236,0.00928364947951516,0.4625772877201389,0.5976857176472078
FLAIRax,1,Subdural intracranial hemorrhage,26,0.8315654150467648,0.03417409039112958,0.7068890766570909,0.9242921846438504
FLAIRax,1,Gliosis,3854,0.8027698823526749,0.0008221418418540288,0.7927839025972069,0.809618081795407
FLAIRax,1,Cerebral atrophy,2012,0.9459507538104704,0.0012517364302346643,0.9411015984162133,0.951840605124096
FLAIRax,1,Encephalomalacia,248,0.8106671303122558,0.004919750528692277,0.7786191690466795,0.8418584197750921
