subset,k,finding,n_pos,auroc_mean,auroc_sd_seed,ci_lo,ci_hi
SWIax,1,Cerebral infarction,424,0.7657395739763309,0.002196603342606871,0.7398968625264138,0.7887618100114077
SWIax,1,Cerebral hemorrhage,294,0.824475117372296,0.0033088760209350754,0.7940130188085538,0.8479239560892424
SWIax,1,Metastatic malignant neoplasm to brain,373,0.8716570663147528,0.0036551588357223923,0.8555949568345953,0.8912532739963952
SWIax,1,Intracranial meningioma,181,0.7139142714803096,0.008229119616933962,0.6692463024821352,0.7435029872921222
SWIax,1,Demyelinating disease of central nervous system,250,0.7742208611323781,0.0030299631542993516,0.7392034922740444,0.8000840158694075
SWIax,1,Herniation of nucleus pulposus,138,0.6943883316760493,0.003924494682933272,0.6509588187245644,0.7312624180178162
SWIax,1,Spinal cord compression,74,0.5992424176510452,0.010182981387653944,0.5305601444639664,0.6475189302592156
SWIax,1,Lacunar infarct,213,0.7785224905472535,0.010237389455727636,0.7585987825312691,0.8239668299977114
SWIax,1,Silent micro-hemorrhage of brain,195,0.788973448334179,0.005461989970822295,0.7477585636298413,0.8149074981575398
SWIax,1,Cavernous hemangioma,78,0.638374141514238,0.006055805666844285,0.5767106129728772,0.7100711734363391
SWIax,1,Subdural intracranial hemorrhage,44,0.8357784984295841,0.010546542907863983,0.7877896368869293,0.8995510671583479
SWIax,1,Gliosis,3534,0.7652948741118349,0.0012181789829999443,0.7529000372342046,0.7746370586803217
SWIax,1,Cerebral atrophy,1310,0.9037962689261759,0.0010067418722245667,0.8951080571970562,0.9136359228793941
SWIax,1,Encephalomalacia,236,0.7292735976120271,0.005396945673500514,0.7003502764980224,0.7709575224153027
SWIax,1,Arachnoid cyst,389,0.6716528824473708,0.010134067363830827,0.652604639176959,0.7090484833872998
SWIax,1,Empty sella syndrome,351,0.6348045934420631,0.003542684100578285,0.6076147687199949,0.6662670962903147
SWIax,1,Intracranial aneurysm,61,0.6072688370001335,0.006766356323010595,0.5163250776075268,0.678604903008971
SWIax,1,Chiari malformation,56,0.6688899641467382,0.02426716384618629,0.6073302977943907,0.7500065947584836
