subset,k,finding,n_pos,auroc_mean,auroc_sd_seed,ci_lo,ci_hi
FLAIRsag,1,Cerebral infarction,424,0.7946720832973954,0.0023054533619577427,0.7676461134135114,0.8133210296550054
FLAIRsag,1,Cerebral hemorrhage,294,0.8045719185208612,0.005576763775363297,0.7743961731241096,0.8240993048646273
FLAIRsag,1,Metastatic malignant neoplasm to brain,373,0.8944221856305816,0.0037526903923902986,0.8735613504831509,0.9081105645282918
FLAIRsag,1,Intracranial meningioma,181,0.716060263296573,0.005973386150382362,0.6656746562980099,0.7454882796112008
FLAIRsag,1,Demyelinating disease of central nervous system,250,0.7682642458711583,0.006797561567488691,0.7427695352935465,0.8087801203215963
FLAIRsag,1,Herniation of nucleus pulposus,138,0.7427039046657115,0.008731963280156399,0.706375484525888,0.7789517433563617
FLAIRsag,1,Spinal cord compression,74,0.6229646590468567,0.018443395130235768,0.5897789283238217,0.6985919788277976
FLAIRsag,1,Lacunar infarct,213,0.8134662002516185,0.0008451296497305227,0.7865805133311355,0.8421756969431
FLAIRsag,1,Silent micro-hemorrhage of brain,195,0.7324114495347372,0.007504273251577524,0.7054479731953297,0.775166578997453
FLAIRsag,1,Cavernous hemangioma,78,0.557050249803873,0.00917721764028944,0.4740782410519727,0.6187945999120198
FLAIRsag,1,Subdural intracranial hemorrhage,44,0.8939782896890609,0.007787990422269348,0.844589961114631,0.9423982480824877
FLAIRsag,1,Gliosis,3534,0.7726001148346903,0.0020105771777157357,0.7643590711524005,0.7839475703634821
FLAIRsag,1,Cerebral atrophy,1310,0.9189544921817819,0.0005792681559072345,0.9115788420195853,0.9266803665958391
FLAIRsag,1,Encephalomalacia,236,0.7758684196400641,0.008434186239144069,0.7523861005331614,0.8150474449850948
FLAIRsag,1,Arachnoid cyst,389,0.675846629337737,0.0023067735774653063,0.6444253337892197,0.6987146430220949
FLAIRsag,1,Empty sella syndrome,351,0.6800256080466948,0.0036780652854270578,0.6542898790315055,0.7081656542459825
FLAIRsag,1,Intracranial aneurysm,61,0.6343584797828261,0.010352246204194851,0.5416115414836783,0.7180440531003399
FLAIRsag,1,Chiari malformation,56,0.6470490547080994,0.007439113168143343,0.5719451054215781,0.7187338563473838
FLAIRsag,1,Schwannoma,38,0.722649488499442,0.03272118751933828,0.6305086073131825,0.7501744814863267
FLAIRsag,1,Cyst of pineal gland,103,0.6409374662528173,0.012475503165728121,0.5689756362396182,0.6797277410583954
FLAIRsag,1,Hemangioma of vertebral column,31,0.5345896130088921,0.020557408766971826,0.40321042249376904,0.6152124403731352
FLAIRsag,1,Cerebral edema,533,0.8881927121493823,0.004729368510856888,0.8694539169573561,0.8994465953393657
FLAIRsag,1,Spinal stenosis,43,0.6218094764332794,0.012250250996920384,0.5312397355279886,0.7148553366739053
FLAIRsag,1,Mastoiditis,265,0.6848488168273444,0.002039358901204291,0.6542766520840402,0.7190455530730103
FLAIRsag,1,Chronic mastoiditis,211,0.733155965222155,0.0111487378078213,0.6808220439152035,0.7511279078602089
FLAIRsag,1,Ventriculomegaly,889,0.8934940429012695,0.0017860114501808324,0.8827804341786007,0.9068594246724265
FLAIRsag,1,Cerebellar degeneration,351,0.7984478574502906,0.0007837922304380266,0.7727357825957979,0.8180642154889111
FLAIRsag,1,Mega cisterna magna,104,0.7030798421623592,0.007574233522525999,0.6710120845174002,0.7510918089028971
FLAIRsag,1,Structure of cave of septum pellucidum,99,0.6379409908568505,0.007147161127022694,0.5705391744336565,0.6784353708288655
FLAIRsag,1,Hyperostosis of skull,34,0.7820808951852992,0.017397970153803812,0.7595494203268582,0.8684096576279363
FLAIRsag,1,Watershed infarct,36,0.8393156836434597,0.004814330337729576,0.7677925110965214,0.8857277454690036
FLAIRsag,1,Foraminal Spinal Stenosis,60,0.7350313106420469,0.0036993243750078294,0.6869148580586003,0.7887131467781808
FLAIRsag,1,Lipoma of brain,22,0.5653313090352894,0.018978859480400744,0.4159542227315176,0.7206874984206431
FLAIRsag,1,Glioma,66,0.7601316044545379,0.010356532056653966,0.7028961537893007,0.8185363466135548
FLAIRsag,1,Pituitary adenoma,25,0.6137781098775975,0.016011240171258313,0.4819937234463096,0.713033545245902
FLAIRax,1,Cerebral infarction,424,0.809733614245013,0.002780708675081877,0.7879082080184038,0.8318690093047897
FLAIRax,1,Cerebral hemorrhage,294,0.8267839978428269,0.00292553394000736,0.7955284839658772,0.8531698528795362
FLAIRax,1,Metastatic malignant neoplasm to brain,373,0.8880128856735802,0.001869820349213861,0.8721375951739554,0.9012691265699995
FLAIRax,1,Intracranial meningioma,181,0.7275146158145872,0.008343298057842034,0.6842609473410709,0.7580960910848287
FLAIRax,1,Demyelinating disease of central nervous system,250,0.8267298844288892,0.0011530915673978108,0.7963032048300834,0.8540183625067769
FLAIRax,1,Herniation of nucleus pulposus,138,0.6946965604177923,0.004201013472866329,0.6592673378498102,0.7338889676728104
FLAIRax,1,Spinal cord compression,74,0.5781248036318324,0.01249647420506046,0.4951142024039074,0.6207850168725276
FLAIRax,1,Lacunar infarct,213,0.8077940409340575,0.00755403448444983,0.7798457826660729,0.8421566749132321
FLAIRax,1,Silent micro-hemorrhage of brain,195,0.7103171815500583,0.012282123301771714,0.6712270567188856,0.7436008570440225
FLAIRax,1,Cavernous hemangioma,78,0.47897724926710433,0.01664448151935965,0.3892385447052603,0.5358450954504169
FLAIRax,1,Subdural intracranial hemorrhage,44,0.8058717185762859,0.01368866388703962,0.7169082484981648,0.8678260943307777
FLAIRax,1,Gliosis,3534,0.7812082894766624,0.0007785684657096994,0.7694612521107698,0.7882825861114259
FLAIRax,1,Cerebral atrophy,1310,0.9197237849424184,0.0005855237255750225,0.9136554275619523,0.9276038913130519
FLAIRax,1,Encephalomalacia,236,0.7631911063068667,0.007748199586560595,0.7244304802417766,0.7955580853750962
FLAIRax,1,Arachnoid cyst,389,0.7240125496922819,0.0043222003676608,0.7004712781299534,0.749463235990597
FLAIRax,1,Empty sella syndrome,351,0.6943576383965678,0.009881084965354978,0.6783818328599047,0.7351112356250348
FLAIRax,1,Intracranial aneurysm,61,0.652681940511408,0.01468858269770748,0.55742433719995,0.7157252224655021
FLAIRax,1,Chiari malformation,56,0.75899742193118,0.020582504100289827,0.6888841510352972,0.8300107566119488
FLAIRax,1,Schwannoma,38,0.7692776168105994,0.013399552656910422,0.6918178279852378,0.7936280474273343
FLAIRax,1,Cyst of pineal gland,103,0.6201624393421606,0.0174606057782196,0.5487551075897369,0.6429610605878718
FLAIRax,1,Hemangioma of vertebral column,31,0.5299736064116435,0.012032786233150463,0.43512887892318153,0.6087619288312424
