finding,gain_vs_global,gain_vs_fixed,n_pos
Cavernous hemangioma,0.07168201274481467,0.05645338141312369,78
Spinal stenosis,0.039051942129917507,0.02623637192720644,43
Silent micro-hemorrhage of brain,0.027637000239739917,0.017313221194499778,195
Subdural intracranial hemorrhage,0.02082705329041834,0.0040058570516374,44
Mastoiditis,0.02038202999685808,0.010086457317039535,265
Chiari malformation,0.018696417733849374,0.028295962810528485,56
Mega cisterna magna,0.015105577040392393,0.010200064316492341,104
Pituitary adenoma,0.014072018218047192,-0.02190649017933392,25
Intracranial aneurysm,0.013585078898859035,0.015449806646851213,61
Metastatic malignant neoplasm to brain,0.013139107018659724,0.0029102243252507134,373
Watershed infarct,0.013014122918472629,0.02353160042590415,36
Foraminal Spinal Stenosis,0.011336714406466886,0.013225769967975013,60
Herniation of nucleus pulposus,0.009120673770804019,-0.0028323898558554697,138
Spinal cord compression,0.005102430469959211,0.00738924351972962,74
Chronic mastoiditis,0.004516271446676212,0.0033310071941703434,211
Hyperostosis of skull,0.0037386682421659914,-0.0034762596137931645,34
Structure of cave of septum pellucidum,0.002581767752845835,0.004059858320671757,99
Gliosis,0.0025455382524347168,-0.000867433997823334,3534
Cerebral hemorrhage,0.0020212283176815524,-0.008083604911356734,294
Cerebral atrophy,-1.2513304239606763e-05,-0.0006265781322847644,1310
Cerebral edema,-0.00040890398485504686,-0.0024819758963347724,533
Glioma,-0.0005176672915495247,-0.006950333180632318,66
Ventriculomegaly,-0.0011541801630392905,-0.004489737465789438,889
Encephalomalacia,-0.0029170206609249183,-0.006935588161074609,236
Demyelinating disease of central nervous system,-0.004207882168507797,-0.0002876517554412465,250
Arachnoid cyst,-0.004295910377069371,-0.005470148086140547,389
Cerebral infarction,-0.004583178186780297,-0.007196389590700607,424
Lipoma of brain,-0.0058772551035917164,0.02319858493159103,22
Empty sella syndrome,-0.008236701870116344,-0.011654591541047385,351
Intracranial meningioma,-0.01722291126395307,-0.020191454976254002,181
Cerebellar degeneration,-0.01753618704145869,-0.017234965329044782,351
Lacunar infarct,-0.018244653103808035,-0.022917582960849076,213
Hemangioma of vertebral column,-0.02695005892041265,-0.030250406011030646,31
Schwannoma,-0.028656689827186905,-0.02011027033109229,38
Cyst of pineal gland,-0.03467642765823298,-0.03991451294324203,103
