metric,value
n_findings,33
n_distinct_best_subsets,14
global_best_subset,T1ax+T2ax+FLAIRax
mean_gain_perfinding_over_global,0.009627755420021256
n_findings_improved,19
macro_full4,0.7661340382736663
macro_global_fixed_nested,0.7725273115763845
macro_perfinding_nested,0.7821550669964058
macro_perfinding_oracle,0.7923971142585541
selection_bias_oracle_minus_nested,0.01024204726214828
macro_best_k1,0.7766619549361615
macro_best_k2,0.7760928616248126
macro_best_k3,0.7776457606961823
macro_best_k4,0.7661340382736662
oracle_k1,0.782166623335684
oracle_k2,0.7859861861695224
oracle_k3,0.7829877528265757
oracle_k4,0.7661340382736663
k2_minus_full,0.009958823351146284
loo_degradation_sd,"{'T1ax': 0.01966885875172552, 'T2ax': 0.01812493104974831, 'FLAIRax': 0.021320844959805563, 'T2cor': 0.019144676570558555}"
synergy_abs_mean,0.013165338787526982
synergy_frac_gt_005,0.6515151515151515
synergy_frac_gt_01,0.46464646464646464
synergy_frac_positive,0.41245791245791247
synergy_seed_sd,0.006754613913614474
synergy_sign_flips_with_context,0.5
shapley_range_mean,0.048065894968323114
