metric,value
n_findings,35
n_distinct_best_subsets,21
global_best_subset,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax
mean_gain_perfinding_over_global,0.0037902146275238247
macro_fixed_full_oof,0.7436321771022092
gain_perfinding_over_fixed,0.00033740132695847525
n_findings_improved,17
macro_full4,0.7436321771022092
macro_global_fixed_nested,0.7401793638016438
macro_perfinding_nested,0.7439695784291677
macro_perfinding_oracle,0.7784349497855327
selection_bias_oracle_minus_nested,0.03446537135636507
macro_best_k1,0.7422918306053461
macro_best_k2,0.742147055675376
macro_best_k3,0.7450917374358282
macro_best_k4,0.745140495734301
oracle_k1,0.7664964775270086
oracle_k2,0.7701549770949212
oracle_k3,0.7682759980332321
oracle_k4,0.7587049493921195
k2_minus_full,-0.0014851214268332136
loo_degradation_sd,"{'T1ax': 0.013806497655771634, 'T2ax': 0.016991525596596866, 'FLAIRax': 0.013140971233310816, 'FLAIRsag': 0.01475528844804117, 'SWIax': 0.017263407004052763}"
synergy_abs_mean,0.012575559433949921
synergy_frac_gt_005,0.6457142857142857
synergy_frac_gt_01,0.4273469387755102
synergy_frac_positive,0.42489795918367346
synergy_seed_sd,0.005905909002112402
synergy_sign_flips_with_context,0.7285714285714285
shapley_range_mean,0.04426166289666265
