metric,value
n_findings,35
n_distinct_best_subsets,12
global_best_subset,T1ax+T2ax+FLAIRax+FLAIRsag
mean_gain_perfinding_over_global,0.020559890675455827
n_findings_improved,27
macro_full4,0.7432189959049219
macro_global_fixed_nested,0.7398995208193798
macro_perfinding_nested,0.7604594114948356
macro_perfinding_oracle,0.7714129447458585
selection_bias_oracle_minus_nested,0.010953533251022884
macro_best_k1,0.7546431500236391
macro_best_k2,0.7511104782129312
macro_best_k3,0.7474596786058206
macro_best_k4,0.7432189959049218
oracle_k1,0.7625724597125081
oracle_k2,0.7623272668713009
oracle_k3,0.7559173306826183
oracle_k4,0.7432189959049219
k2_minus_full,0.00789148230800929
loo_degradation_sd,"{'T1ax': 0.014950676549959598, 'T2ax': 0.019896688904225898, 'FLAIRax': 0.01037394852166033, 'FLAIRsag': 0.013985836890794549}"
synergy_abs_mean,0.01382159023619125
synergy_frac_gt_005,0.6666666666666666
synergy_frac_gt_01,0.45555555555555555
synergy_frac_positive,0.4301587301587302
synergy_seed_sd,0.006397172747056121
synergy_sign_flips_with_context,0.48095238095238096
shapley_range_mean,0.03902991208429213
