target_kind,seed,target,k,subset,n_pos,auroc
presence,0,ET,1,T2f,1314,0.7331852400345551
presence,0,SNFH,1,T2f,1322,0.9565444206792216
presence,0,NETC,1,T2f,1228,0.8780289187256692
presence,0,ET,1,T2w,1314,0.8385165987905714
presence,0,SNFH,1,T2w,1322,0.9519536752047576
presence,0,NETC,1,T2w,1228,0.8466605757262784
presence,0,ET,1,T1c,1314,0.7958369328232341
presence,0,SNFH,1,T1c,1322,0.9492148781887423
presence,0,NETC,1,T1c,1228,0.8245676756441831
presence,0,ET,1,T1n,1314,0.7673289728084248
presence,0,SNFH,1,T1n,1322,0.9353904742031405
presence,0,NETC,1,T1n,1228,0.8694089139588463
presence,0,ET,2,T2w+T2f,1314,0.8094532889053436
presence,0,SNFH,2,T2w+T2f,1322,0.9551098127184516
presence,0,NETC,2,T2w+T2f,1228,0.8795582744101058
presence,0,ET,2,T1c+T2f,1314,0.7627421942490435
presence,0,SNFH,2,T1c+T2f,1322,0.9573791016745787
presence,0,NETC,2,T1c+T2f,1228,0.8738976722014777
presence,0,ET,2,T1c+T2w,1314,0.8592907976469619
presence,0,SNFH,2,T1c+T2w,1322,0.9581616151077259
presence,0,NETC,2,T1c+T2w,1228,0.8502886576097031
presence,0,ET,2,T1n+T2f,1314,0.7040396560944505
presence,0,SNFH,2,T1n+T2f,1322,0.9577442746100474
presence,0,NETC,2,T1n+T2f,1228,0.8841529620507931
presence,0,ET,2,T1n+T2w,1314,0.8232753301246452
presence,0,SNFH,2,T1n+T2w,1322,0.9461369920183631
presence,0,NETC,2,T1n+T2w,1228,0.8763605307062842
presence,0,ET,2,T1n+T1c,1314,0.7995598338064092
presence,0,SNFH,2,T1n+T1c,1322,0.9532578642600031
presence,0,NETC,2,T1n+T1c,1228,0.8534599189640104
presence,0,ET,3,T1c+T2w+T2f,1314,0.8290345139660208
presence,0,SNFH,3,T1c+T2w+T2f,1322,0.9552402316239763
presence,0,NETC,3,T1c+T2w+T2f,1228,0.8746193162257355
presence,0,ET,3,T1n+T2w+T2f,1314,0.7808219178082193
presence,0,SNFH,3,T1n+T2w+T2f,1322,0.9595440555062862
presence,0,NETC,3,T1n+T2w+T2f,1228,0.8790815921188526
presence,0,ET,3,T1n+T1c+T2f,1314,0.758751902587519
presence,0,SNFH,3,T1n+T1c+T2f,1322,0.9568313422713757
presence,0,NETC,3,T1n+T1c+T2f,1228,0.8789160774343899
presence,0,ET,3,T1n+T1c+T2w,1314,0.8398741206960385
presence,0,SNFH,3,T1n+T1c+T2w,1322,0.962152433616777
presence,0,NETC,3,T1n+T1c+T2w,1228,0.8672770848229655
presence,0,ET,4,T1n+T1c+T2w+T2f,1314,0.8090213501172405
