target_kind,target,modality,shapley
presence,ET,T1n,0.04973352347781578
presence,ET,T1c,0.09297196740119117
presence,ET,T2w,0.12154049026195146
presence,ET,T2f,0.040339426184175
presence,SNFH,T1n,0.10965694031451251
presence,SNFH,T1c,0.11620686756974516
presence,SNFH,T2w,0.11485630734809091
presence,SNFH,T2f,0.11643292700598774
presence,NETC,T1n,0.09091795179623893
presence,NETC,T1c,0.08744471809538946
presence,NETC,T2w,0.08912745072076124
presence,NETC,T2f,0.1101658383576235
burden,ET,T1n,0.07187919590559974
burden,ET,T1c,0.13977999757468437
burden,ET,T2w,0.08777621447192648
burden,ET,T2f,0.07617146884029491
burden,SNFH,T1n,0.07575068986261203
burden,SNFH,T1c,0.08717951528170506
burden,SNFH,T2w,0.10539809882875573
burden,SNFH,T2f,0.1168693023924168
burden,NETC,T1n,0.0680802353873966
burden,NETC,T1c,0.10702846788772781
burden,NETC,T2w,0.08089390180470815
burden,NETC,T2f,0.06293192749608433
burden_perfold,ET,T1n,0.07225226154157173
burden_perfold,ET,T1c,0.13997822929445317
burden_perfold,ET,T2w,0.08804091219420931
burden_perfold,ET,T2f,0.07497090512242138
burden_perfold,SNFH,T1n,0.07402848514934562
burden_perfold,SNFH,T1c,0.08649391939618521
burden_perfold,SNFH,T2w,0.1058816377771588
burden_perfold,SNFH,T2f,0.11441509092296233
burden_perfold,NETC,T1n,0.06778702392015096
burden_perfold,NETC,T1c,0.10658366454071105
burden_perfold,NETC,T2w,0.08177040205432964
burden_perfold,NETC,T2f,0.06421708322997863
