finding,subset,k,n_pos_test,auroc_selected,auroc_full,gain
Cerebral infarction,T2ax+FLAIRax+FLAIRsag,3,26,0.7716691203533309,0.7775579683474421,-0.005888847994111157
Cerebral hemorrhage,T1ax+FLAIRax+FLAIRsag+SWIax,4,20,0.8891330166270783,0.8998218527315914,-0.0106888361045131
Gliosis,T2ax+FLAIRax+FLAIRsag+SWIax,4,284,0.7756835128417564,0.7767678736780544,-0.0010843608362980373
Cerebral atrophy,T2ax+FLAIRax+FLAIRsag,3,102,0.9378740970072239,0.9412667698658411,-0.0033926728586172183
Arachnoid cyst,T1ax+T2ax+FLAIRax+FLAIRsag,4,43,0.7025584234886562,0.7479342363063294,-0.04537581281767322
Empty sella syndrome,T2ax+FLAIRax+FLAIRsag,3,45,0.6116959064327486,0.6390044879640963,-0.02730858153134763
Cyst of pineal gland,T2ax+FLAIRax,2,21,0.6465092576864278,0.6880697582243361,-0.041560500537908385
Cerebral edema,T1ax+FLAIRax+FLAIRsag,3,43,0.930431325780163,0.919442314791152,0.01098901098901095
Mastoiditis,T2ax+FLAIRax,2,22,0.7146103896103896,0.7262445887445887,-0.011634199134199164
Ventriculomegaly,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,64,0.930079104010025,0.930079104010025,0.0
Cerebellar degeneration,T1ax+T2ax+FLAIRax+FLAIRsag,4,39,0.7685141913574477,0.8131289528616381,-0.044614761504190414
Mega cisterna magna,T2ax,1,22,0.7778138528138528,0.8469155844155843,-0.0691017316017315
