a,b,axis,condition,n_seeds,delta,ci_lo,ci_hi,p_sign,seed_sd
queryseq,uniform,avail,T2cor,3,-0.000698848878579719,-0.0070825132885251165,0.005624400635302406,0.49733333333333335,0.003973902131842357
queryseq,uniform,avail,FLAIRax,3,0.0010900401381127715,-0.004849678520726709,0.006840375493030192,0.6713333333333332,0.0019708925235008435
queryseq,uniform,avail,T2ax,3,0.004085172702756848,-0.002058567814074017,0.010504499885096235,0.8873333333333333,0.0014205570840653595
queryseq,uniform,avail,T1ax,3,0.003196012002641673,-0.0040677419088561715,0.01087902912984443,0.7333333333333334,0.002690393416879497
queryseq,uniform,avail,FLAIRax+T2cor,3,0.0007199300208928042,-0.006357590540006147,0.007908488276082953,0.5646666666666667,0.003055577460822259
queryseq,uniform,avail,T2ax+T2cor,3,0.0013559587010183603,-0.004820685770884163,0.00698017501789348,0.6953333333333335,0.001938876428653139
queryseq,uniform,avail,T2ax+FLAIRax,3,0.0033118897196886855,-0.002888385185788357,0.009704531538662986,0.8220000000000001,0.0015023547898822167
queryseq,uniform,avail,T1ax+T2cor,3,-0.00036759229079432793,-0.0075307134918141325,0.006892850495065217,0.5099999999999999,0.0017258573473274495
queryseq,uniform,avail,T1ax+FLAIRax,3,0.0032250009363766975,-0.003605684826063518,0.010165160260811157,0.8046666666666668,0.0009539760235855366
queryseq,uniform,avail,T1ax+T2ax,3,0.0028532329835594425,-0.003578636912821303,0.00950779075195904,0.7253333333333334,0.002180246312154866
queryseq,uniform,avail,T2ax+FLAIRax+T2cor,3,0.002160163992948069,-0.004135256454345276,0.00880713091834266,0.7200000000000001,0.0020635861470731775
queryseq,uniform,avail,T1ax+FLAIRax+T2cor,3,0.0015906722888505145,-0.005249804781202696,0.008697933273671557,0.66,0.0013789992351238638
queryseq,uniform,avail,T1ax+T2ax+T2cor,3,0.0010706850266086676,-0.004946301234855565,0.007376478407716456,0.6306666666666666,0.000864446140984033
queryseq,uniform,avail,T1ax+T2ax+FLAIRax,3,0.0038634283237960997,-0.0027137773205877214,0.010338273310843034,0.8399999999999999,0.00195817142237578
queryseq,uniform,avail,T1ax+T2ax+FLAIRax+T2cor,3,0.0022571464163347343,-0.0040449700282018585,0.008712420401611267,0.7186666666666667,0.0016384624225277893
queryseq,uniform,budget,1,3,0.0028965948777063544,-0.00710209135468822,0.012283600243458296,0.7066666666666666,0.001532131028616376
queryseq,uniform,budget,2,3,0.0027992486391468876,-0.004290597320746193,0.01004117368178161,0.722,0.0023853582219416697
queryseq,uniform,budget,3,3,0.0030028843141064157,-0.003405478158548607,0.00969613215042908,0.7993333333333332,0.0018195783023267401
queryseq,uniform,budget,4,3,0.0014698251292262104,-0.004380455679492092,0.0073877553968209895,0.6980000000000001,0.0007559271342324465
queryseq,patient,avail,T2cor,3,0.0006482122858624742,-0.0038212448023566144,0.005538799805881088,0.632,0.002699647170319799
queryseq,patient,avail,FLAIRax,3,-0.001436558355057296,-0.006839124763088354,0.0036735235409936194,0.3073333333333333,0.0008681257789863599
queryseq,patient,avail,T2ax,3,0.0004424015852191273,-0.004176897956024951,0.005118241890038962,0.5713333333333334,0.0002179536531329761
queryseq,patient,avail,T1ax,3,0.0034276038925229037,-0.0021811399647157863,0.00942714530870955,0.8673333333333334,0.0015321367584713197
queryseq,patient,avail,FLAIRax+T2cor,3,-0.0009069898728446017,-0.006639108101128469,0.004897320985851974,0.40066666666666667,0.0012120528962822985
queryseq,patient,avail,T2ax+T2cor,3,-0.00031956854241928245,-0.004979355944148017,0.004517049739247436,0.4533333333333333,0.0009881360851209638
queryseq,patient,avail,T2ax+FLAIRax,3,-0.0001954743482839146,-0.005471458925222551,0.004855075203920803,0.5066666666666667,0.001051207763922915
queryseq,patient,avail,T1ax+T2cor,3,0.001852933329818919,-0.0038548623031151217,0.007437147684357222,0.7293333333333333,0.0008799247461321792
queryseq,patient,avail,T1ax+FLAIRax,3,0.000977333771627476,-0.004488712975018392,0.006974522346729027,0.622,0.000557076775959859
queryseq,patient,avail,T1ax+T2ax,3,0.0008251055297378066,-0.004083051323904164,0.006048148016580904,0.6286666666666667,0.0004458663628896779
queryseq,patient,avail,T2ax+FLAIRax+T2cor,3,-0.00029006364928564236,-0.005409292147106508,0.005170073179577358,0.47266666666666673,0.0009086561047775597
queryseq,patient,avail,T1ax+FLAIRax+T2cor,3,0.001206241020407834,-0.004479706439802893,0.007093407704619456,0.68,0.0008271885991353682
queryseq,patient,avail,T1ax+T2ax+T2cor,3,0.0003221320377289045,-0.004671262329161562,0.005408388079539827,0.5473333333333333,5.042057131099007e-05
queryseq,patient,avail,T1ax+T2ax+FLAIRax,3,0.0008268908758040008,-0.004168643066916483,0.005992700902528577,0.6353333333333334,0.0014012785954258197
queryseq,patient,avail,T1ax+T2ax+FLAIRax+T2cor,3,0.0005177044816276013,-0.004695902191584167,0.005919768552961617,0.5926666666666667,0.0012933028572888491
queryseq,patient,budget,1,3,-0.0007742382754276634,-0.008910605443598311,0.007980121864710345,0.4293333333333333,0.002281327655951597
