a,b,axis,condition,n_seeds,delta,ci_lo,ci_hi,p_sign,n_reps
queryseq,uniform,avail,SWIax,3,-0.008089461120741635,-0.013003504693455997,-0.0030482264884913284,0.0,2000
queryseq,uniform,avail,FLAIRsag,3,0.00041741740967700234,-0.0043458827560617945,0.00510996418911225,0.582,2000
queryseq,uniform,avail,FLAIRax,3,0.00175904833330708,-0.0021831265209779943,0.0055932450557977615,0.8065,2000
queryseq,uniform,avail,T2ax,3,-0.002299486391793473,-0.005752623746172515,0.0009601304841486659,0.083,2000
queryseq,uniform,avail,T1ax,3,-0.0057332810120461234,-0.009307914849984092,-0.002373847051909264,0.001,2000
queryseq,uniform,avail,FLAIRsag+SWIax,3,-0.003695271638001716,-0.00909408605465814,0.0018509570182835698,0.104,2000
queryseq,uniform,avail,FLAIRax+SWIax,3,-0.0009362291800394536,-0.00603435645431713,0.004256571874527144,0.3575,2000
queryseq,uniform,avail,FLAIRax+FLAIRsag,3,0.0012446101157029454,-0.003220311480074838,0.005703907281527429,0.7135,2000
queryseq,uniform,avail,T2ax+SWIax,3,-0.0015415060796938951,-0.0061868685030584325,0.00296959561146596,0.2725,2000
queryseq,uniform,avail,T2ax+FLAIRsag,3,-0.0021354442030285525,-0.006865277903699874,0.0025495348118304405,0.1905,2000
queryseq,uniform,avail,T2ax+FLAIRax,3,0.0005172815370835835,-0.0031305483341748344,0.004328304444998704,0.588,2000
queryseq,uniform,avail,T1ax+SWIax,3,-0.005911615698709074,-0.011008418391852797,-0.0009632835935237224,0.0075,2000
queryseq,uniform,avail,T1ax+FLAIRsag,3,-0.004037814732529562,-0.00822710799106516,-1.6697636263097683e-06,0.025,2000
queryseq,uniform,avail,T1ax+FLAIRax,3,-0.0006538551662922202,-0.004935890569765969,0.003598189186514367,0.3665,2000
queryseq,uniform,avail,T1ax+T2ax,3,-0.0027210408743254346,-0.00650532055023462,0.000949100621788526,0.069,2000
queryseq,uniform,avail,FLAIRax+FLAIRsag+SWIax,3,-0.0010919067320829506,-0.006185405059470367,0.004060300885492235,0.3545,2000
queryseq,uniform,avail,T2ax+FLAIRsag+SWIax,3,-0.0018135169155634983,-0.006930031364354374,0.003123125912791595,0.2585,2000
queryseq,uniform,avail,T2ax+FLAIRax+SWIax,3,-0.0006840029321090521,-0.005260257375272934,0.0038044991473652726,0.3855,2000
queryseq,uniform,avail,T2ax+FLAIRax+FLAIRsag,3,0.000129709682902814,-0.00359002052212499,0.0040310854117455,0.516,2000
queryseq,uniform,avail,T1ax+FLAIRsag+SWIax,3,-0.005576081544267132,-0.011080582632860702,-0.00028912892966441407,0.0195,2000
queryseq,uniform,avail,T1ax+FLAIRax+SWIax,3,-0.0022472279214508875,-0.007301036998402028,0.0024976231712978874,0.199,2000
queryseq,uniform,avail,T1ax+FLAIRax+FLAIRsag,3,-0.0012400655423266311,-0.005187254326642214,0.0028777253436764504,0.266,2000
queryseq,uniform,avail,T1ax+T2ax+SWIax,3,-0.002221543463201016,-0.006939661846892077,0.0022123437356128465,0.173,2000
queryseq,uniform,avail,T1ax+T2ax+FLAIRsag,3,-0.0024690141693585435,-0.006557236540199163,0.0015721510090737512,0.1075,2000
queryseq,uniform,avail,T1ax+T2ax+FLAIRax,3,7.609804792545374e-05,-0.003731878669563946,0.0038642087119579067,0.4975,2000
queryseq,uniform,avail,T2ax+FLAIRax+FLAIRsag+SWIax,3,-0.0005629744585751223,-0.005266281766889236,0.003850937286877234,0.42,2000
