a,b,axis,condition,n_seeds,delta,ci_lo,ci_hi,p_sign,seed_sd
queryseq,uniform,avail,T2cor,3,-0.0006892203639380789,-0.0016710213739568093,0.00029215276433592935,0.23666666666666666,0.0006243085350026733
queryseq,uniform,avail,FLAIRax,3,-0.00037563584814890487,-0.0013684120287894518,0.0005901375512104213,0.334,0.0006734657152766306
queryseq,uniform,avail,T2ax,3,0.0001580378248533494,-0.0007476178994502602,0.0009899334002643478,0.608,0.0006199702631509015
queryseq,uniform,avail,T1ax,3,-0.0010959318787478471,-0.002151538610746883,-4.6892597176080834e-05,0.06333333333333334,0.0005917605521710627
queryseq,uniform,avail,FLAIRax+T2cor,3,4.831146332092466e-05,-0.0010969542454645207,0.0011982852068378334,0.5186666666666667,0.0005140612459802862
queryseq,uniform,avail,T2ax+T2cor,3,0.00027116065969945663,-0.0008699042045367108,0.001436400670613724,0.5513333333333333,0.0007531679843805572
queryseq,uniform,avail,T2ax+FLAIRax,3,-7.557624767058598e-05,-0.0009249334550564536,0.0007837450835232519,0.506,0.00048183684848400747
queryseq,uniform,avail,T1ax+T2cor,3,-0.0005991557067460317,-0.0015927548655507346,0.00045809264606329943,0.3133333333333333,0.0007601093359830526
queryseq,uniform,avail,T1ax+FLAIRax,3,5.023261954858433e-05,-0.0011897099473598238,0.001381848336014743,0.5339999999999999,0.0006530925401059595
queryseq,uniform,avail,T1ax+T2ax,3,0.00048639242458874723,-0.0007545124764417811,0.001812206594975728,0.6859999999999999,0.0008391053607544682
queryseq,uniform,avail,T2ax+FLAIRax+T2cor,3,1.20137453022119e-06,-0.0010762747970630647,0.001042505815421857,0.5006666666666667,0.0006646877682244488
queryseq,uniform,avail,T1ax+FLAIRax+T2cor,3,-0.00023713418530833512,-0.0013451563440969132,0.000782679244710288,0.3993333333333333,0.0005082650174306781
queryseq,uniform,avail,T1ax+T2ax+T2cor,3,2.0372182955365034e-05,-0.001017469386007692,0.001060216581112233,0.49466666666666664,0.000733486628530801
