a,b,axis,condition,n_seeds,delta,ci_lo,ci_hi,p_sign,n_reps
queryseq,uniform,avail,SWIax,3,-0.0013933827544183658,-0.002364004839540064,-0.00041045660930746816,0.004,2000
queryseq,uniform,avail,FLAIRsag,3,-1.6461409585752634e-05,-0.0011556873588978885,0.001168951375844207,0.5165,2000
queryseq,uniform,avail,FLAIRax,3,0.0020701263506003845,0.001016578347986834,0.003187494022280484,1.0,2000
queryseq,uniform,avail,T2ax,3,2.9152747352853856e-05,-0.0007833901636184873,0.000847230879205245,0.5215,2000
queryseq,uniform,avail,T1ax,3,-0.0009062082529272573,-0.0018942901887083056,0.0001654189484199975,0.0495,2000
queryseq,uniform,avail,FLAIRsag+SWIax,3,-0.0005686443863698784,-0.0019552571144894155,0.0008554327070602954,0.227,2000
queryseq,uniform,avail,FLAIRax+SWIax,3,0.0027452348780504666,0.00128380311167969,0.004264196609828503,1.0,2000
queryseq,uniform,avail,FLAIRax+FLAIRsag,3,0.001506936563452959,0.00030363332636976556,0.0028052990020068663,0.995,2000
queryseq,uniform,avail,T2ax+SWIax,3,3.442058886650599e-05,-0.0012122225575572534,0.0013253289003034366,0.5255,2000
queryseq,uniform,avail,T2ax+FLAIRsag,3,-0.0005643706014946559,-0.0017075897611469229,0.0005945318224317098,0.188,2000
queryseq,uniform,avail,T2ax+FLAIRax,3,0.0013340222097813954,0.0003609788852863155,0.0023495166146590236,0.996,2000
queryseq,uniform,avail,T1ax+SWIax,3,-0.0004335992310641437,-0.0016506461083423021,0.0008377559111088563,0.266,2000
queryseq,uniform,avail,T1ax+FLAIRsag,3,-4.524262109206756e-05,-0.0012157559433329792,0.0011656211842523173,0.4835,2000
queryseq,uniform,avail,T1ax+FLAIRax,3,0.0019188541373962125,0.000827552894040962,0.0030332931692229085,1.0,2000
queryseq,uniform,avail,T1ax+T2ax,3,-0.00017409768863896953,-0.0011113492198019084,0.0007862856116860539,0.3545,2000
queryseq,uniform,avail,FLAIRax+FLAIRsag+SWIax,3,0.0013573312054600984,6.465234245396294e-05,0.002736702798714083,0.9785,2000
queryseq,uniform,avail,T2ax+FLAIRsag+SWIax,3,1.7523913707073644e-06,-0.0012104830962457321,0.0012997110114383304,0.511,2000
queryseq,uniform,avail,T2ax+FLAIRax+SWIax,3,0.001372761511100113,0.00020489840992341703,0.0026168873234516414,0.9905,2000
queryseq,uniform,avail,T2ax+FLAIRax+FLAIRsag,3,0.0007666463106842473,-0.00031034892625540945,0.0019664508735058265,0.906,2000
queryseq,uniform,avail,T1ax+FLAIRsag+SWIax,3,3.2015916071918386e-05,-0.0011477222323021386,0.001313778930040806,0.5465,2000
queryseq,uniform,avail,T1ax+FLAIRax+SWIax,3,0.00185258797448632,0.0006279822514773996,0.003136437104262667,0.9985,2000
