method,seed,axis,macro_full,macro_avg_subset,macro_worst_subset,val_best,budget,macro_auroc,macro_auprc,worst_finding
uniform,0,availability,0.7975255814643228,0.7924606952026795,0.7814662140746441,0.7806646807062845,,,,
uniform,0,budget,,,,,1.0,0.7828934205785879,0.2253052606157987,0.5949390815370197
uniform,0,budget,,,,,2.0,0.7931593538547246,0.22939781618007155,0.6362386754139331
uniform,0,budget,,,,,3.0,0.7963624705511466,0.2385745553077301,0.6432052483598876
uniform,0,budget,,,,,4.0,0.7975255814643228,0.2414738129837496,0.6467316548053346
patient,0,availability,0.8005742473557749,0.7954151494993688,0.7821306445862531,0.7837484433952502,,,,
patient,0,budget,,,,,1.0,0.7954368081036879,0.22929887072265187,0.6497219065845344
patient,0,budget,,,,,2.0,0.801323627502296,0.24058138045907507,0.6571377309969499
patient,0,budget,,,,,3.0,0.7990549135315137,0.24437559024622546,0.6444291609353507
patient,0,budget,,,,,4.0,0.7993349251999355,0.2500016947257209,0.6431732551880868
finding,0,availability,0.7983748735086259,0.7935131318466696,0.7826153636824793,0.7839402153720856,,,,
finding,0,budget,,,,,1.0,0.7891636317602082,0.23283906721827513,0.6593876913464541
finding,0,budget,,,,,2.0,0.7969997828373853,0.23712816379268437,0.6708216182442986
finding,0,budget,,,,,3.0,0.7982534627813397,0.23662077424075137,0.6600681777405657
finding,0,budget,,,,,4.0,0.7982251828497782,0.24181061031703732,0.6551342623048861
label_id,0,availability,0.801284769963654,0.7951383181181814,0.7813637051298257,0.7856850035280297,,,,
label_id,0,budget,,,,,1.0,0.7967835814912427,0.2282011006015545,0.668197438300531
label_id,0,budget,,,,,2.0,0.7993980523211827,0.2389623004983621,0.6613539860056217
label_id,0,budget,,,,,3.0,0.7997815271169636,0.24324071203360342,0.6609353507565336
label_id,0,budget,,,,,4.0,0.7987706142789431,0.2495107097480759,0.6442198433108068
queryseq,0,availability,0.8020402090638431,0.7963109038144961,0.7851269596097568,0.7858152505589312,,,,
queryseq,0,budget,,,,,1.0,0.7914397277990427,0.22452249422380113,0.6769930028108366
queryseq,0,budget,,,,,2.0,0.8004003098098047,0.2333789730300476,0.6683810776867412
queryseq,0,budget,,,,,3.0,0.8023074033539953,0.24087076273783917,0.6643442377848214
queryseq,0,budget,,,,,4.0,0.8000411653673548,0.24993098332302563,0.6589019795466778
uniform,1,availability,0.7952188154792742,0.7907194371486448,0.7790328093233702,0.784260395349763,,,,
uniform,1,budget,,,,,1.0,0.7790328093233702,0.23697221061022244,0.5550140581068417
uniform,1,budget,,,,,2.0,0.7895853168988548,0.24237662818693068,0.6050921587004061
uniform,1,budget,,,,,3.0,0.7924152489737744,0.24997012190370338,0.6116526085598251
uniform,1,budget,,,,,4.0,0.7952188154792742,0.24975416774486003,0.6294595438925337
patient,1,availability,0.7957923575230935,0.7914213997642826,0.7804389247943593,0.7840558213327122,,,,
patient,1,budget,,,,,1.0,0.7923473660586199,0.22204501079028557,0.65743675617487
patient,1,budget,,,,,2.0,0.7930084738761972,0.22435144453396125,0.6495723939955744
patient,1,budget,,,,,3.0,0.7952827309992399,0.23492287055828984,0.6433825728126308
