method,seed,axis,macro_full,macro_avg_subset,macro_worst_subset,val_best,budget,macro_auroc,macro_auprc,worst_finding
uniform,0,availability,0.7795606195215073,0.7745543335031159,0.7561005503555617,0.8109932386994197,,,,
uniform,0,budget,,,,,1.0,0.7586643773041456,0.25318024905796266,0.568939393939394
uniform,0,budget,,,,,2.0,0.7726407426357503,0.26603014450092494,0.5856060606060607
uniform,0,budget,,,,,3.0,0.7779313943407663,0.2773589480884538,0.6009740259740259
uniform,0,budget,,,,,4.0,0.7788392218795606,0.2771995353032965,0.571482683982684
uniform,0,budget,,,,,5.0,0.7795614353631949,0.2753989531590422,0.5790584415584416
finding,0,availability,0.7826742301528119,0.7765724950397758,0.7554276410697777,0.8134138530580708,,,,
finding,0,budget,,,,,1.0,0.7830974000883556,0.26842101424519776,0.6221861471861472
finding,0,budget,,,,,2.0,0.7880037181407419,0.27135536219752726,0.6434652522779819
finding,0,budget,,,,,3.0,0.7871103220033026,0.2767549016725697,0.6435064935064936
finding,0,budget,,,,,4.0,0.7855726997693878,0.2756713836823958,0.6457251082251082
finding,0,budget,,,,,5.0,0.7823997247561613,0.2741138077100102,0.6156385281385282
patient,0,availability,0.7879269576225258,0.7811341166344912,0.7593829796744931,0.8125844630871537,,,,
patient,0,budget,,,,,1.0,0.7756302837964206,0.25775906379811797,0.5987554112554112
patient,0,budget,,,,,2.0,0.7844396788187716,0.27535283541090916,0.6189582483340133
patient,0,budget,,,,,3.0,0.7868405077089416,0.28323493613487494,0.6243710050319597
patient,0,budget,,,,,4.0,0.7862451658678132,0.2860507851691753,0.612987012987013
patient,0,budget,,,,,5.0,0.7860845762090419,0.2855280832601716,0.5876082251082252
label_id,0,availability,0.7833190815571993,0.7771326725570629,0.7497538125418823,0.8123227149780451,,,,
label_id,0,budget,,,,,1.0,0.7761754661231626,0.25482747321501537,0.5909424724602202
label_id,0,budget,,,,,2.0,0.7848103417693563,0.27274661183400284,0.6175982592139263
label_id,0,budget,,,,,3.0,0.7869548279439623,0.282714349070801,0.6091450216450216
label_id,0,budget,,,,,4.0,0.7864232629117107,0.2805010148477239,0.6180194805194805
label_id,0,budget,,,,,5.0,0.7823178807701701,0.2765452039756002,0.602922077922078
queryseq,0,availability,0.7851210657128106,0.7788324187123485,0.7519234874458157,0.8157071212256506,,,,
queryseq,0,budget,,,,,1.0,0.7823851038152569,0.2692676430784827,0.629810961512308
queryseq,0,budget,,,,,2.0,0.7880575167117357,0.27842806138777587,0.6275974025974026
queryseq,0,budget,,,,,3.0,0.7900921637356025,0.2821931247955533,0.6371212121212121
queryseq,0,budget,,,,,4.0,0.7864142204955077,0.28008956613407493,0.6170454545454546
queryseq,0,budget,,,,,5.0,0.78379886167918,0.27439445316318656,0.5995129870129869
uniform,1,availability,0.7903090137196416,0.7830221747990175,0.7551456495702764,0.812097469743617,,,,
uniform,1,budget,,,,,1.0,0.7713319170975965,0.2705808399102629,0.6114239086087311
uniform,1,budget,,,,,2.0,0.7828583220904662,0.2796581449830152,0.618876648986808
uniform,1,budget,,,,,3.0,0.7884602165017939,0.2913275646497266,0.6238814089487283
uniform,1,budget,,,,,4.0,0.7901363359639838,0.29145152580040157,0.6376444988440092
uniform,1,budget,,,,,5.0,0.7903090137196416,0.2882520520705515,0.639249286005712
finding,1,availability,0.781243641636812,0.7742329414980776,0.7433341755692546,0.8107324476796455,,,,
finding,1,budget,,,,,1.0,0.7709618499262983,0.2710380881839916,0.6114718614718615
finding,1,budget,,,,,2.0,0.780645897069196,0.27256846236599597,0.612267101863185
finding,1,budget,,,,,3.0,0.7822811509220363,0.2706927678873627,0.6146606827145382
finding,1,budget,,,,,4.0,0.7839656314064105,0.27296631320898807,0.6314429484564124
finding,1,budget,,,,,5.0,0.7811168883541219,0.2724577938484213,0.6310893512851897
patient,1,availability,0.7873504151577126,0.7801160837685319,0.7501562306024425,0.8105657377955893,,,,
patient,1,budget,,,,,1.0,0.7815653212897665,0.2803469076332147,0.5975248198014416
patient,1,budget,,,,,2.0,0.7842929632739627,0.2870490901454201,0.6065007479940161
patient,1,budget,,,,,3.0,0.786274344614371,0.29122219704650637,0.6235822113423093
patient,1,budget,,,,,4.0,0.7852646190374015,0.28783466258290297,0.6181694546443628
patient,1,budget,,,,,5.0,0.7857106494890802,0.28149633060693796,0.6292941656466748
label_id,1,availability,0.7903419663891746,0.7829081852951808,0.7529273432904042,0.8093937163264531,,,,
label_id,1,budget,,,,,1.0,0.774608249841113,0.2787764761695072,0.5899360805113559
label_id,1,budget,,,,,2.0,0.7880231790141279,0.28255722027708113,0.6176798585611315
label_id,1,budget,,,,,3.0,0.7919382477663829,0.29174601454585075,0.6237182102543181
label_id,1,budget,,,,,4.0,0.7896588071643541,0.29968653508855786,0.6187678498572011
label_id,1,budget,,,,,5.0,0.7889543017002678,0.29309375733645077,0.6213790289677683
queryseq,1,availability,0.7817848039729435,0.7748924362326872,0.7427509070040993,0.8071239301935321,,,,
queryseq,1,budget,,,,,1.0,0.7706450808954289,0.2640659651378581,0.5796273629810962
queryseq,1,budget,,,,,2.0,0.7803608586954298,0.2777340602197137,0.6128654970760234
queryseq,1,budget,,,,,3.0,0.7806453915088606,0.2754157956312259,0.6140078879368964
queryseq,1,budget,,,,,4.0,0.7823306116968697,0.2838016775032946,0.6103087175302597
queryseq,1,budget,,,,,5.0,0.7796687660550831,0.27543614904121677,0.6112607099143207
uniform,2,availability,0.7881195430872939,0.7816734168539928,0.7556323348050339,0.812753885152482,,,,
uniform,2,budget,,,,,1.0,0.7721774870721894,0.26251350479188523,0.6069631442948457
uniform,2,budget,,,,,2.0,0.7799640675071803,0.2796601783917605,0.6184686522507821
uniform,2,budget,,,,,3.0,0.7853837602809993,0.2890797413254211,0.6184142526859785
uniform,2,budget,,,,,4.0,0.7888790516505392,0.29015714428310974,0.6307629538963688
uniform,2,budget,,,,,5.0,0.7881195430872939,0.28677261597726306,0.63734530123759
finding,2,availability,0.7898832156975186,0.783503974121435,0.7598340984597626,0.8143609126008791,,,,
finding,2,budget,,,,,1.0,0.785466886130616,0.28023270846601034,0.6314973480212159
finding,2,budget,,,,,2.0,0.7963001259761885,0.2899951953273391,0.6390316877464981
finding,2,budget,,,,,3.0,0.7938125668727611,0.29035895083945445,0.6406364749082007
finding,2,budget,,,,,4.0,0.7915775641300994,0.29315512928712134,0.6353597171222631
finding,2,budget,,,,,5.0,0.789586306535022,0.29066110742162127,0.6338637290901673
patient,2,availability,0.7854396393717985,0.779259683503009,0.7527005641482636,0.8117401627619408,,,,
patient,2,budget,,,,,1.0,0.780711594163623,0.28799987594289034,0.599483204134367
patient,2,budget,,,,,2.0,0.7858413554922873,0.2952151358455926,0.5987760097919217
patient,2,budget,,,,,3.0,0.7834568437886519,0.28960807948871714,0.6106895144838841
patient,2,budget,,,,,4.0,0.7858634017290527,0.29061155117463405,0.623500611995104
patient,2,budget,,,,,5.0,0.7843545289583952,0.2871456586284213,0.6275261797905617
label_id,2,availability,0.7867948798543428,0.7800999224871914,0.7540117456069216,0.8098812396630111,,,,
label_id,2,budget,,,,,1.0,0.7768002049817285,0.2704133352684803,0.6049242424242425
label_id,2,budget,,,,,2.0,0.7849761114270183,0.2851371479954396,0.632014143886849
label_id,2,budget,,,,,3.0,0.788879958618999,0.28922318903578476,0.6406908744730042
label_id,2,budget,,,,,4.0,0.7852710844584992,0.287243612036933,0.6273085815313477
label_id,2,budget,,,,,5.0,0.7849678771878691,0.28710345475318794,0.6289405684754522
queryseq,2,availability,0.7873417573272352,0.7797321917400801,0.7522192977828288,0.8076500800904179,,,,
queryseq,2,budget,,,,,1.0,0.7769643471476106,0.27526442750083785,0.6254045967632259
queryseq,2,budget,,,,,2.0,0.7831014889858824,0.2790920443635498,0.6301645586835305
queryseq,2,budget,,,,,3.0,0.7863746553591834,0.2875508200135024,0.6385964912280702
queryseq,2,budget,,,,,4.0,0.7873309669411922,0.2847461016254992,0.6279613763089895
queryseq,2,budget,,,,,5.0,0.7849588583579205,0.285145388520094,0.610551948051948
