method,seed,axis,macro_full,macro_avg_subset,macro_worst_subset,val_best,budget,macro_auroc,macro_auprc,worst_finding
queryseq,0,availability,0.7851210657128106,0.7788324187123485,0.7519234874458157,0.8157071212256506,,,,
queryseq,0,budget,,,,,1.0,0.7823851038152569,0.2692676430784827,0.629810961512308
queryseq,0,budget,,,,,2.0,0.7880575167117357,0.27842806138777587,0.6275974025974026
queryseq,0,budget,,,,,3.0,0.7900921637356025,0.2821931247955533,0.6371212121212121
queryseq,0,budget,,,,,4.0,0.7864142204955077,0.28008956613407493,0.6170454545454546
queryseq,0,budget,,,,,5.0,0.78379886167918,0.27439445316318656,0.5995129870129869
queryseq,1,availability,0.7817848039729435,0.7748924362326872,0.7427509070040993,0.8071239301935321,,,,
queryseq,1,budget,,,,,1.0,0.7706450808954289,0.2640659651378581,0.5796273629810962
queryseq,1,budget,,,,,2.0,0.7803608586954298,0.2777340602197137,0.6128654970760234
queryseq,1,budget,,,,,3.0,0.7806453915088606,0.2754157956312259,0.6140078879368964
queryseq,1,budget,,,,,4.0,0.7823306116968697,0.2838016775032946,0.6103087175302597
queryseq,1,budget,,,,,5.0,0.7796687660550831,0.27543614904121677,0.6112607099143207
queryseq,2,availability,0.7873417573272352,0.7797321917400801,0.7522192977828288,0.8076500800904179,,,,
queryseq,2,budget,,,,,1.0,0.7769643471476106,0.27526442750083785,0.6254045967632259
queryseq,2,budget,,,,,2.0,0.7831014889858824,0.2790920443635498,0.6301645586835305
queryseq,2,budget,,,,,3.0,0.7863746553591834,0.2875508200135024,0.6385964912280702
queryseq,2,budget,,,,,4.0,0.7873309669411922,0.2847461016254992,0.6279613763089895
queryseq,2,budget,,,,,5.0,0.7849588583579205,0.285145388520094,0.610551948051948
