method,seed,axis,macro_full,macro_avg_subset,macro_worst_subset,val_best,budget,macro_auroc,macro_auprc,worst_finding
uniform,0,availability,0.8092072638372306,0.801650148297182,0.7845726251429977,0.7931712313073747,,,,
uniform,0,budget,,,,,1.0,0.7845726251429977,0.23095512743795363,0.5905342080599812
uniform,0,budget,,,,,2.0,0.8010940143547653,0.23924095054256672,0.6316151202749141
uniform,0,budget,,,,,3.0,0.8069271402725378,0.2451306807795305,0.6420668620297829
uniform,0,budget,,,,,4.0,0.8092072638372306,0.24669642497179525,0.6517552777943902
patient,0,availability,0.8095284875638227,0.8017762827443945,0.7837366828006354,0.793415505419701,,,,
patient,0,budget,,,,,1.0,0.805610581673465,0.23658985252482753,0.6850984067478914
patient,0,budget,,,,,2.0,0.8073219889095448,0.2401098248484682,0.6345912325817834
patient,0,budget,,,,,3.0,0.8072908534014959,0.24596129476673492,0.6287602416123438
patient,0,budget,,,,,4.0,0.809188907406979,0.24720488663016285,0.6513964475808862
finding,0,availability,0.809448721183364,0.8017782300745162,0.7843549565233662,0.7933614976133302,,,,
finding,0,budget,,,,,1.0,0.8010166139858715,0.23570331180014714,0.6593876913464543
finding,0,budget,,,,,2.0,0.8101838864691366,0.24196595170382593,0.6652413133185814
finding,0,budget,,,,,3.0,0.8066694327439047,0.2414279482833094,0.6644173695720087
finding,0,budget,,,,,4.0,0.8092577987707605,0.24690374338207102,0.6513366425453023
label_id,0,availability,0.8094555574055542,0.8017714074094314,0.7839803415568856,0.7934220642665613,,,,
label_id,0,budget,,,,,1.0,0.7991554126811565,0.2305103682388884,0.6562636676038738
label_id,0,budget,,,,,2.0,0.807368063549656,0.23983722454833392,0.6344716225106154
label_id,0,budget,,,,,3.0,0.8094005054174659,0.24425515101688441,0.6465223371807907
label_id,0,budget,,,,,4.0,0.8092370076502226,0.24720991929064431,0.6511273249207583
queryseq,0,availability,0.8085641470600333,0.8007864190983358,0.7826538649463541,0.7935520162038467,,,,
queryseq,0,budget,,,,,1.0,0.8002090926848364,0.22727275981136466,0.6639487660106217
queryseq,0,budget,,,,,2.0,0.8076425445590113,0.23885170930942126,0.655911727767478
queryseq,0,budget,,,,,3.0,0.8064140774505181,0.243967843723193,0.6603373004006938
queryseq,0,budget,,,,,4.0,0.8080852173225674,0.24631400747499582,0.6535793313797023
uniform,1,availability,0.8127805414490908,0.8049402231785417,0.7863733257041436,0.7923355302984292,,,,
uniform,1,budget,,,,,1.0,0.7863733257041436,0.22917881501667992,0.5816619806310528
uniform,1,budget,,,,,2.0,0.8043205506478041,0.24077951960121446,0.6490784129959387
uniform,1,budget,,,,,3.0,0.8098318199683977,0.24757078090727402,0.6497219065845344
uniform,1,budget,,,,,4.0,0.8127805414490908,0.24876917623455228,0.6596196399736858
patient,1,availability,0.8131619030143165,0.8053854976761845,0.7859341081392575,0.7924698074195384,,,,
patient,1,budget,,,,,1.0,0.8074358888838529,0.23786314504429076,0.6789665689851085
patient,1,budget,,,,,2.0,0.8115131145484553,0.24396619733659944,0.6417080318162789
patient,1,budget,,,,,3.0,0.8075638868287155,0.24947681458219642,0.6385981699659111
patient,1,budget,,,,,4.0,0.8128780371326243,0.2495408301157452,0.6593206147957658
finding,1,availability,0.8131897699408087,0.8052332848289699,0.7863095751407884,0.7925120507211506,,,,
finding,1,budget,,,,,1.0,0.8063751002898096,0.24010129302578914,0.6775013456133006
finding,1,budget,,,,,2.0,0.8146582632335182,0.24628260203458663,0.672597332695413
finding,1,budget,,,,,3.0,0.8129924372653279,0.2455666339746263,0.6726870402487889
finding,1,budget,,,,,4.0,0.8128810197729021,0.24895861136734881,0.6596794450092698
label_id,1,availability,0.8131266421228937,0.8052268627741845,0.7859214631655197,0.7925332229131962,,,,
label_id,1,budget,,,,,1.0,0.8040095054812472,0.23203300015986217,0.6766042700795407
label_id,1,budget,,,,,2.0,0.8113382012638374,0.2441727787355257,0.6413192990849829
label_id,1,budget,,,,,3.0,0.8103371760156812,0.24733783427436837,0.6646731654805335
label_id,1,budget,,,,,4.0,0.8127355248884859,0.24905482639130114,0.6587524669577178
queryseq,1,availability,0.8128034039854827,0.8049713247215935,0.7858974343891921,0.7920728543148507,,,,
queryseq,1,budget,,,,,1.0,0.8074622316678185,0.23369328758728328,0.6665271215836374
queryseq,1,budget,,,,,2.0,0.8119832329408677,0.24532155110509885,0.6450571138089828
queryseq,1,budget,,,,,3.0,0.8093230399540606,0.2494707171845886,0.6595897374558938
queryseq,1,budget,,,,,4.0,0.8122505140088999,0.24894655019745274,0.6577955863883739
uniform,2,availability,0.8116244354854032,0.8036881205016544,0.7851848109292429,0.792658768094646,,,,
uniform,2,budget,,,,,1.0,0.7866950595293685,0.2311321520748688,0.58815995001562
uniform,2,budget,,,,,2.0,0.8045532374799166,0.2442176737156693,0.6392064979693846
uniform,2,budget,,,,,3.0,0.8099997672300799,0.2489008795859783,0.6477782429280545
uniform,2,budget,,,,,4.0,0.8116244354854032,0.25159150147712983,0.6591411996890137
patient,2,availability,0.8122904595712234,0.8043128571959256,0.7851821575868012,0.7932304195341526,,,,
patient,2,budget,,,,,1.0,0.8062559595279541,0.24261122022657008,0.6673851921274602
patient,2,budget,,,,,2.0,0.8115565894614477,0.24546457913668054,0.6473895101967585
patient,2,budget,,,,,3.0,0.8088861593732397,0.24786898058665452,0.6423359846899109
patient,2,budget,,,,,4.0,0.8118999548195265,0.25181363814301017,0.6588720770288857
finding,2,availability,0.8120284490161127,0.8039569650989493,0.7852232712364685,0.792878225982173,,,,
finding,2,budget,,,,,1.0,0.8065003995730672,0.2393832863978599,0.6592939706341768
finding,2,budget,,,,,2.0,0.8131840384639537,0.24325725563566836,0.6675438071885653
finding,2,budget,,,,,3.0,0.8116282066845051,0.24843776988353697,0.671610549608277
finding,2,budget,,,,,4.0,0.8117239039886194,0.251583302684531,0.6591411996890137
label_id,2,availability,0.8121755779041808,0.8041031924913805,0.7851897504747753,0.7932909116816881,,,,
label_id,2,budget,,,,,1.0,0.8037115210173487,0.23673265570936544,0.65845048422368
label_id,2,budget,,,,,2.0,0.8113809540838172,0.2453557147971484,0.6472998026433825
label_id,2,budget,,,,,3.0,0.8105276350640966,0.2481259237698047,0.6609652532743258
label_id,2,budget,,,,,4.0,0.8118369659696899,0.2517182926705225,0.6591711022068057
queryseq,2,availability,0.8122403759535443,0.8041665609168087,0.785307918856107,0.7928740812822898,,,,
queryseq,2,budget,,,,,1.0,0.8018695232666685,0.22728514740991174,0.6393939393939394
queryseq,2,budget,,,,,2.0,0.8111449815365823,0.24548720209198152,0.6454458465402787
queryseq,2,budget,,,,,3.0,0.8116973379097462,0.2488169401314389,0.6609353507565338
queryseq,2,budget,,,,,4.0,0.8116682998971161,0.2519812534912807,0.657496561210454
