method,seed,axis,macro_full,macro_avg_subset,macro_worst_subset,val_best,budget,macro_auroc,macro_auprc,worst_finding
uniform,0,availability,0.787394824089379,0.779370303709634,0.746848956503499,0.8187511223259157,,,,
uniform,0,budget,,,,,1.0,0.7836591048726281,0.28026489262696724,0.6413708690330477
uniform,0,budget,,,,,2.0,0.7805110711219195,0.2702655859353997,0.6194478444172447
uniform,0,budget,,,,,3.0,0.7866394695001052,0.2824586435440122,0.6156670746634028
uniform,0,budget,,,,,4.0,0.7872820625353386,0.2907748377140406,0.6169372294372295
uniform,0,budget,,,,,5.0,0.787394824089379,0.28831218958821325,0.5964285714285715
patient,0,availability,0.7886755390399972,0.7798774596549708,0.7453027566593091,0.8191178826845429,,,,
patient,0,budget,,,,,1.0,0.7845926002663862,0.27789771059170015,0.6464285714285715
patient,0,budget,,,,,2.0,0.7809814197117767,0.281691903714746,0.5856060606060606
patient,0,budget,,,,,3.0,0.7885832438573656,0.293526388743216,0.6202380952380953
patient,0,budget,,,,,4.0,0.7881811288907006,0.2943994504099648,0.5753787878787879
patient,0,budget,,,,,5.0,0.7879654605039365,0.29166810087755624,0.5956709956709956
finding,0,availability,0.788323685414804,0.7801598562696918,0.7465361237450107,0.8192163321931589,,,,
finding,0,budget,,,,,1.0,0.7830515189775745,0.2775295801070075,0.6416666666666666
finding,0,budget,,,,,2.0,0.7876308197353395,0.28785230739175754,0.591396103896104
finding,0,budget,,,,,3.0,0.792227170577402,0.28994835217412446,0.6119588744588744
finding,0,budget,,,,,4.0,0.7900575041508904,0.29150092208500794,0.6257575757575757
finding,0,budget,,,,,5.0,0.788020869985797,0.2886028671999478,0.5967532467532468
label_id,0,availability,0.7882959798831917,0.7799840096138314,0.7461381285721066,0.8194856691478958,,,,
label_id,0,budget,,,,,1.0,0.7848322020090154,0.2815128243764293,0.6419692642458861
label_id,0,budget,,,,,2.0,0.7831984786103297,0.2818923953596246,0.5858225108225108
label_id,0,budget,,,,,3.0,0.7899313110777455,0.29227248911374853,0.6068181818181818
label_id,0,budget,,,,,4.0,0.7884298756063135,0.2959918013027588,0.575
label_id,0,budget,,,,,5.0,0.7877288792843782,0.2904256290554856,0.5906385281385281
queryseq,0,availability,0.7886840763714987,0.7802474449472884,0.7449784230729387,0.8196082822654269,,,,
queryseq,0,budget,,,,,1.0,0.7841928092237502,0.281099571625214,0.6134638922888617
queryseq,0,budget,,,,,2.0,0.7886527083232272,0.2885272099449,0.59491341991342
queryseq,0,budget,,,,,3.0,0.7881757394136971,0.2943991011578895,0.5838203463203464
queryseq,0,budget,,,,,4.0,0.7890471721740089,0.2953771309218241,0.5796536796536796
queryseq,0,budget,,,,,5.0,0.7880191119105421,0.28859713883996857,0.5985930735930736
uniform,1,availability,0.7843054769098098,0.776494549988282,0.7424956408066539,0.8194343508834774,,,,
uniform,1,budget,,,,,1.0,0.7779861373074929,0.27615376602337527,0.6337821297429621
uniform,1,budget,,,,,2.0,0.7744634102966019,0.2625707308566719,0.6035087719298246
uniform,1,budget,,,,,3.0,0.7803345931879889,0.2777837447222637,0.6134366925064599
uniform,1,budget,,,,,4.0,0.7823567403634932,0.28417832628462153,0.6243982048143615
uniform,1,budget,,,,,5.0,0.7843054769098098,0.2860659354791904,0.6312229437229437
patient,1,availability,0.7840878469201091,0.7761651137557443,0.7409150568091416,0.8195033597459866,,,,
patient,1,budget,,,,,1.0,0.776360285392567,0.2748728116939038,0.6343261253909969
patient,1,budget,,,,,2.0,0.7801234497291297,0.2842527129646167,0.6047619047619047
patient,1,budget,,,,,3.0,0.7841190575411626,0.28333732674254436,0.6293831168831169
patient,1,budget,,,,,4.0,0.7836070166834149,0.2892684048502285,0.6070887445887446
