finding,n_pos,auroc,auprc,method,seed,axis,subset,k,budget
Cerebral infarction,42,0.9151153144184503,0.2610178319890842,uniform,0,availability,T2cor,1,-1
Demyelinating disease of central nervous system,21,0.7346611721611721,0.1679631928264966,uniform,0,availability,T2cor,1,-1
Lacunar infarct,21,0.9071166928309786,0.12290431672576654,uniform,0,availability,T2cor,1,-1
Gliosis,451,0.7618590699463614,0.6180535037931383,uniform,0,availability,T2cor,1,-1
Cerebral atrophy,213,0.9371248588577881,0.723605998784507,uniform,0,availability,T2cor,1,-1
Encephalomalacia,25,0.8356198347107437,0.16148746120109345,uniform,0,availability,T2cor,1,-1
Arachnoid cyst,69,0.6633419795783926,0.09455122708483638,uniform,0,availability,T2cor,1,-1
Empty sella syndrome,82,0.6793251158318035,0.12071772817320289,uniform,0,availability,T2cor,1,-1
Cerebral edema,23,0.7934035045750852,0.1687151821454892,uniform,0,availability,T2cor,1,-1
Mastoiditis,23,0.609622630225465,0.028536953011263376,uniform,0,availability,T2cor,1,-1
Chronic mastoiditis,37,0.7363926426426427,0.056439263004513865,uniform,0,availability,T2cor,1,-1
Ventriculomegaly,131,0.8635028299853681,0.41153480897651806,uniform,0,availability,T2cor,1,-1
Cerebellar degeneration,43,0.8823910998670169,0.321257351851658,uniform,0,availability,T2cor,1,-1
Mega cisterna magna,23,0.7167932539919861,0.03220829133474021,uniform,0,availability,T2cor,1,-1
Structure of cave of septum pellucidum,22,0.6857232114964074,0.061564865013666654,uniform,0,availability,T2cor,1,-1
Cerebral infarction,42,0.9108345777335324,0.2806025455798283,uniform,0,availability,FLAIRax,1,-1
Demyelinating disease of central nervous system,21,0.7207613814756672,0.07643002405069224,uniform,0,availability,FLAIRax,1,-1
Lacunar infarct,21,0.8972069597069596,0.09445112547451433,uniform,0,availability,FLAIRax,1,-1
Gliosis,451,0.755377912630801,0.598972122351631,uniform,0,availability,FLAIRax,1,-1
Cerebral atrophy,213,0.9500876567421405,0.7802671556471764,uniform,0,availability,FLAIRax,1,-1
Encephalomalacia,25,0.8728650137741047,0.24800039326084564,uniform,0,availability,FLAIRax,1,-1
Arachnoid cyst,69,0.6701457509881423,0.09931221561330729,uniform,0,availability,FLAIRax,1,-1
Empty sella syndrome,82,0.6804266107177199,0.12944586546511927,uniform,0,availability,FLAIRax,1,-1
Cerebral edema,23,0.8501584833442976,0.20897969434923183,uniform,0,availability,FLAIRax,1,-1
Mastoiditis,23,0.624005741283416,0.037290661703270146,uniform,0,availability,FLAIRax,1,-1
Chronic mastoiditis,37,0.7362800300300301,0.052329387326877176,uniform,0,availability,FLAIRax,1,-1
Ventriculomegaly,131,0.8836473350498507,0.43457459406875687,uniform,0,availability,FLAIRax,1,-1
Cerebellar degeneration,43,0.8984301514709221,0.3278829662553264,uniform,0,availability,FLAIRax,1,-1
Mega cisterna magna,23,0.7567729202798876,0.05928968318848309,uniform,0,availability,FLAIRax,1,-1
Structure of cave of septum pellucidum,22,0.6467041549515777,0.05045853579859845,uniform,0,availability,FLAIRax,1,-1
Cerebral infarction,42,0.9051932968309275,0.24337211266271352,uniform,0,availability,T2ax,1,-1
Demyelinating disease of central nervous system,21,0.7287087912087912,0.08218869603916203,uniform,0,availability,T2ax,1,-1
Lacunar infarct,21,0.9089154892726321,0.11101358830996613,uniform,0,availability,T2ax,1,-1
Gliosis,451,0.7649602572580749,0.5973892299529733,uniform,0,availability,T2ax,1,-1
Cerebral atrophy,213,0.9396542758661675,0.7221132407284747,uniform,0,availability,T2ax,1,-1
Encephalomalacia,25,0.8723140495867769,0.1694607670726959,uniform,0,availability,T2ax,1,-1
Arachnoid cyst,69,0.6655035408432148,0.09443816075784438,uniform,0,availability,T2ax,1,-1
Empty sella syndrome,82,0.6853046594982078,0.15087290002274414,uniform,0,availability,T2ax,1,-1
Cerebral edema,23,0.8248310507744752,0.15545170970142858,uniform,0,availability,T2ax,1,-1
Mastoiditis,23,0.6638059924645655,0.029829617529052967,uniform,0,availability,T2ax,1,-1
Chronic mastoiditis,37,0.7314189189189189,0.054797617782822584,uniform,0,availability,T2ax,1,-1
Ventriculomegaly,131,0.8613817587877,0.41937104039030354,uniform,0,availability,T2ax,1,-1
Cerebellar degeneration,43,0.876974473743959,0.32633528596259315,uniform,0,availability,T2ax,1,-1
Mega cisterna magna,23,0.7551282818013276,0.04545167839849474,uniform,0,availability,T2ax,1,-1
Structure of cave of septum pellucidum,22,0.6477975632614807,0.042544169137731264,uniform,0,availability,T2ax,1,-1
Cerebral infarction,42,0.9067529450804712,0.2949633126876018,uniform,0,availability,T1ax,1,-1
Demyelinating disease of central nervous system,21,0.7303767660910518,0.1490451282970035,uniform,0,availability,T1ax,1,-1
Lacunar infarct,21,0.888507326007326,0.11726297013783618,uniform,0,availability,T1ax,1,-1
Gliosis,451,0.761830975566534,0.5901187426463671,uniform,0,availability,T1ax,1,-1
Cerebral atrophy,213,0.9361740060616867,0.7183947838737674,uniform,0,availability,T1ax,1,-1
Encephalomalacia,25,0.8688980716253444,0.2014893884283367,uniform,0,availability,T1ax,1,-1
Arachnoid cyst,69,0.6484683794466403,0.07792531872534925,uniform,0,availability,T1ax,1,-1
Empty sella syndrome,82,0.6804528367864323,0.1340690741322157,uniform,0,availability,T1ax,1,-1
Cerebral edema,23,0.7709168111955027,0.1278966729130273,uniform,0,availability,T1ax,1,-1
Mastoiditis,23,0.6638059924645655,0.038627141452532696,uniform,0,availability,T1ax,1,-1
Chronic mastoiditis,37,0.7375375375375376,0.05534360341040783,uniform,0,availability,T1ax,1,-1
Ventriculomegaly,131,0.8679661536018511,0.42594787411439955,uniform,0,availability,T1ax,1,-1
Cerebellar degeneration,43,0.9008465505497714,0.3528390508849079,uniform,0,availability,T1ax,1,-1
Mega cisterna magna,23,0.7859278751270856,0.05109697337536302,uniform,0,availability,T1ax,1,-1
Structure of cave of septum pellucidum,22,0.5949390815370197,0.04455887415786444,uniform,0,availability,T1ax,1,-1
Cerebral infarction,42,0.9191803550688569,0.2970551929469942,uniform,0,availability,FLAIRax+T2cor,2,-1
Demyelinating disease of central nervous system,21,0.7371140763997908,0.16810348967530944,uniform,0,availability,FLAIRax+T2cor,2,-1
Lacunar infarct,21,0.9085884353741497,0.11916805100844148,uniform,0,availability,FLAIRax+T2cor,2,-1
Gliosis,451,0.7654270561844375,0.6183491875918244,uniform,0,availability,FLAIRax+T2cor,2,-1
Cerebral atrophy,213,0.9531296428359185,0.7829193794016323,uniform,0,availability,FLAIRax+T2cor,2,-1
Encephalomalacia,25,0.8642148760330579,0.26374844136484604,uniform,0,availability,FLAIRax+T2cor,2,-1
Arachnoid cyst,69,0.674417407773386,0.09687909375987491,uniform,0,availability,FLAIRax+T2cor,2,-1
Empty sella syndrome,82,0.6827607308331148,0.13379561101289766,uniform,0,availability,FLAIRax+T2cor,2,-1
Cerebral edema,23,0.8413073380778662,0.21229607921993804,uniform,0,availability,FLAIRax+T2cor,2,-1
Mastoiditis,23,0.6220022725913521,0.03989544992140222,uniform,0,availability,FLAIRax+T2cor,2,-1
Chronic mastoiditis,37,0.7500750750750751,0.05765659635307595,uniform,0,availability,FLAIRax+T2cor,2,-1
Ventriculomegaly,131,0.885178589657793,0.44615787894203973,uniform,0,availability,FLAIRax+T2cor,2,-1
Cerebellar degeneration,43,0.9013492912977199,0.3358930902175264,uniform,0,availability,FLAIRax+T2cor,2,-1
Mega cisterna magna,23,0.7429878595777765,0.0457755284514907,uniform,0,availability,FLAIRax+T2cor,2,-1
Structure of cave of septum pellucidum,22,0.6628241174632927,0.05541739768467836,uniform,0,availability,FLAIRax+T2cor,2,-1
Cerebral infarction,42,0.9157458105193297,0.2847775272954748,uniform,0,availability,T2ax+T2cor,2,-1
Demyelinating disease of central nervous system,21,0.7446690214547357,0.1626163237473678,uniform,0,availability,T2ax+T2cor,2,-1
Lacunar infarct,21,0.9131998953427525,0.12630306681272,uniform,0,availability,T2ax+T2cor,2,-1
Gliosis,451,0.7695526078067798,0.616555207165987,uniform,0,availability,T2ax+T2cor,2,-1
Cerebral atrophy,213,0.9458905330718488,0.7489329630321006,uniform,0,availability,T2ax+T2cor,2,-1
Encephalomalacia,25,0.8623415977961433,0.17024815980391822,uniform,0,availability,T2ax+T2cor,2,-1
Arachnoid cyst,69,0.6711030138339922,0.09682128670832757,uniform,0,availability,T2ax+T2cor,2,-1
Empty sella syndrome,82,0.6843780050703733,0.14479945088917992,uniform,0,availability,T2ax+T2cor,2,-1
Cerebral edema,23,0.829107110818731,0.168761912753721,uniform,0,availability,T2ax+T2cor,2,-1
Mastoiditis,23,0.6471203875366306,0.032337537481029334,uniform,0,availability,T2ax+T2cor,2,-1
Chronic mastoiditis,37,0.7434684684684685,0.05685875127403205,uniform,0,availability,T2ax+T2cor,2,-1
Ventriculomegaly,131,0.8693953245692638,0.42985680185058156,uniform,0,availability,T2ax+T2cor,2,-1
Cerebellar degeneration,43,0.8817261846842464,0.34603063255122646,uniform,0,availability,T2ax+T2cor,2,-1
Mega cisterna magna,23,0.7473536271754082,0.039731302339303026,uniform,0,availability,T2ax+T2cor,2,-1
Structure of cave of septum pellucidum,22,0.6667916276163699,0.048998923096423945,uniform,0,availability,T2ax+T2cor,2,-1
Cerebral infarction,42,0.9129583540733366,0.2653311023338988,uniform,0,availability,T2ax+FLAIRax,2,-1
Demyelinating disease of central nervous system,21,0.7223966509680795,0.12480244994391781,uniform,0,availability,T2ax+FLAIRax,2,-1
Lacunar infarct,21,0.907443746729461,0.11195885097472422,uniform,0,availability,T2ax+FLAIRax,2,-1
Gliosis,451,0.7657360943625385,0.6067502508478615,uniform,0,availability,T2ax+FLAIRax,2,-1
Cerebral atrophy,213,0.9520822190527128,0.7735986191515003,uniform,0,availability,T2ax+FLAIRax,2,-1
Encephalomalacia,25,0.8800275482093664,0.22434188576372954,uniform,0,availability,T2ax+FLAIRax,2,-1
Arachnoid cyst,69,0.6731822299077733,0.09907617896058893,uniform,0,availability,T2ax+FLAIRax,2,-1
Empty sella syndrome,82,0.6838971938106478,0.14145463277133596,uniform,0,availability,T2ax+FLAIRax,2,-1
Cerebral edema,23,0.8466000837270498,0.18679369346149288,uniform,0,availability,T2ax+FLAIRax,2,-1
Mastoiditis,23,0.6476885353746786,0.03217415569107452,uniform,0,availability,T2ax+FLAIRax,2,-1
Chronic mastoiditis,37,0.7408220720720721,0.055151203125371515,uniform,0,availability,T2ax+FLAIRax,2,-1
Ventriculomegaly,131,0.8797171148894661,0.4391471275582082,uniform,0,availability,T2ax+FLAIRax,2,-1
Cerebellar degeneration,43,0.8960299698355552,0.3520955774739859,uniform,0,availability,T2ax+FLAIRax,2,-1
Mega cisterna magna,23,0.7614676155732313,0.05181685120322582,uniform,0,availability,T2ax+FLAIRax,2,-1
Structure of cave of septum pellucidum,22,0.6489534520462356,0.04799006019289309,uniform,0,availability,T2ax+FLAIRax,2,-1
Cerebral infarction,42,0.9158453625352581,0.3050434134083696,uniform,0,availability,T1ax+T2cor,2,-1
Demyelinating disease of central nervous system,21,0.7561159079016221,0.17049520120383743,uniform,0,availability,T1ax+T2cor,2,-1
Lacunar infarct,21,0.9029631083202512,0.1308472834537404,uniform,0,availability,T1ax+T2cor,2,-1
Gliosis,451,0.7701836507998254,0.6167298273934699,uniform,0,availability,T1ax+T2cor,2,-1
Cerebral atrophy,213,0.9467819575681939,0.7596260461311868,uniform,0,availability,T1ax+T2cor,2,-1
Encephalomalacia,25,0.8632506887052341,0.2059610820203476,uniform,0,availability,T1ax+T2cor,2,-1
Arachnoid cyst,69,0.6657814558629775,0.08784241406560914,uniform,0,availability,T1ax+T2cor,2,-1
Empty sella syndrome,82,0.6840807762916339,0.13802094028044193,uniform,0,availability,T1ax+T2cor,2,-1
Cerebral edema,23,0.8037796782489086,0.17011892204046766,uniform,0,availability,T1ax+T2cor,2,-1
Mastoiditis,23,0.6491537587464864,0.03551628077910439,uniform,0,availability,T1ax+T2cor,2,-1
Chronic mastoiditis,37,0.7499249249249249,0.05660376929755378,uniform,0,availability,T1ax+T2cor,2,-1
Ventriculomegaly,131,0.8755827274480225,0.4413938136088666,uniform,0,availability,T1ax+T2cor,2,-1
Cerebellar degeneration,43,0.8978463235055626,0.3775866155260622,uniform,0,availability,T1ax+T2cor,2,-1
Mega cisterna magna,23,0.7569224328688475,0.03995701394499134,uniform,0,availability,T1ax+T2cor,2,-1
Structure of cave of septum pellucidum,22,0.648890971571384,0.05288591886663875,uniform,0,availability,T1ax+T2cor,2,-1
Cerebral infarction,42,0.9131574581051933,0.322160454548581,uniform,0,availability,T1ax+FLAIRax,2,-1
Demyelinating disease of central nervous system,21,0.7361983254840397,0.13498947277441936,uniform,0,availability,T1ax+FLAIRax,2,-1
Lacunar infarct,21,0.8978937728937728,0.11515518119565214,uniform,0,availability,T1ax+FLAIRax,2,-1
Gliosis,451,0.764346503114154,0.6035939671463935,uniform,0,availability,T1ax+FLAIRax,2,-1
Cerebral atrophy,213,0.9515882213109883,0.7740005555414924,uniform,0,availability,T1ax+FLAIRax,2,-1
Encephalomalacia,25,0.8797796143250689,0.24699041768699098,uniform,0,availability,T1ax+FLAIRax,2,-1
Arachnoid cyst,69,0.6702692687747036,0.09003171139785825,uniform,0,availability,T1ax+FLAIRax,2,-1
Empty sella syndrome,82,0.6830579596118542,0.13370492646415466,uniform,0,availability,T1ax+FLAIRax,2,-1
Cerebral edema,23,0.8223790443155314,0.1606599064969951,uniform,0,availability,T1ax+FLAIRax,2,-1
Mastoiditis,23,0.6382393397524071,0.040974787367686547,uniform,0,availability,T1ax+FLAIRax,2,-1
Chronic mastoiditis,37,0.7626313813813814,0.05657030228898739,uniform,0,availability,T1ax+FLAIRax,2,-1
Ventriculomegaly,131,0.8834204825153409,0.4429562798724274,uniform,0,availability,T1ax+FLAIRax,2,-1
Cerebellar degeneration,43,0.9085822710907853,0.3598591988164528,uniform,0,availability,T1ax+FLAIRax,2,-1
Mega cisterna magna,23,0.7739967705280784,0.05896398190186173,uniform,0,availability,T1ax+FLAIRax,2,-1
Structure of cave of septum pellucidum,22,0.6279287722586693,0.04680530788579269,uniform,0,availability,T1ax+FLAIRax,2,-1
Cerebral infarction,42,0.9099883855981418,0.2731222654532939,uniform,0,availability,T1ax+T2ax,2,-1
Demyelinating disease of central nervous system,21,0.7377681841967557,0.1502253371131472,uniform,0,availability,T1ax+T2ax,2,-1
Lacunar infarct,21,0.9027341705913134,0.12030164464468653,uniform,0,availability,T1ax+T2ax,2,-1
Gliosis,451,0.7686449432277418,0.6011127560098943,uniform,0,availability,T1ax+T2ax,2,-1
Cerebral atrophy,213,0.9437771141617639,0.7403944135149532,uniform,0,availability,T1ax+T2ax,2,-1
Encephalomalacia,25,0.8800550964187328,0.1857876222772309,uniform,0,availability,T1ax+T2ax,2,-1
Arachnoid cyst,69,0.6624361824769432,0.08677528263733536,uniform,0,availability,T1ax+T2ax,2,-1
Empty sella syndrome,82,0.6829705393828132,0.149743962105839,uniform,0,availability,T1ax+T2ax,2,-1
Cerebral edema,23,0.8093116440404282,0.14718259341218098,uniform,0,availability,T1ax+T2ax,2,-1
Mastoiditis,23,0.6697864960229651,0.03477664147446376,uniform,0,availability,T1ax+T2ax,2,-1
Chronic mastoiditis,37,0.7547297297297297,0.055391731979094506,uniform,0,availability,T1ax+T2ax,2,-1
Ventriculomegaly,131,0.8694974082097933,0.43587495399966864,uniform,0,availability,T1ax+T2ax,2,-1
Cerebellar degeneration,43,0.8915377379909831,0.36615765350890933,uniform,0,availability,T1ax+T2ax,2,-1
Mega cisterna magna,23,0.7779140003588303,0.049914417266685954,uniform,0,availability,T1ax+T2ax,2,-1
Structure of cave of septum pellucidum,22,0.6362386754139331,0.04420596730368922,uniform,0,availability,T1ax+T2ax,2,-1
Cerebral infarction,42,0.9178198108511697,0.28439960459038,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Demyelinating disease of central nervous system,21,0.7358058608058606,0.15634018348662546,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Lacunar infarct,21,0.9107796964939823,0.1216129078101015,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Gliosis,451,0.7692824695392089,0.6167418729746141,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Cerebral atrophy,213,0.9530033576989363,0.774436122635368,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Encephalomalacia,25,0.870909090909091,0.23294858910982139,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Arachnoid cyst,69,0.6738615777338604,0.0976426682118215,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Empty sella syndrome,82,0.684098260337442,0.14332819693157792,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Cerebral edema,23,0.844596615034986,0.2066999734051195,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Mastoiditis,23,0.6394952454996711,0.035019989968826465,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Chronic mastoiditis,37,0.7471096096096097,0.056754938008815044,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Ventriculomegaly,131,0.8808627201887412,0.4423832036327957,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Cerebellar degeneration,43,0.8954785767571599,0.35525127387905264,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Mega cisterna magna,23,0.7542611087853597,0.04774097339678308,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Structure of cave of septum pellucidum,22,0.6610121836925961,0.05192015743165451,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Cerebral infarction,42,0.9176870748299318,0.3141073106635498,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Demyelinating disease of central nervous system,21,0.7485609628466772,0.16999646207791622,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Lacunar infarct,21,0.9049908424908424,0.12301140443582821,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Gliosis,451,0.7689258870260154,0.6163144686304802,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Cerebral atrophy,213,0.9535307838592738,0.7813198653756622,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Encephalomalacia,25,0.8738567493112948,0.2634547540095344,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Arachnoid cyst,69,0.6714838603425559,0.09195137399919151,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Empty sella syndrome,82,0.6847539120552495,0.13902896279402113,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Cerebral edema,23,0.827611984929131,0.19855525901830262,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Mastoiditis,23,0.6372226541474793,0.04121270908237353,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Chronic mastoiditis,37,0.7627815315315316,0.05826146350578726,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Ventriculomegaly,131,0.8842201376994885,0.44927130028185225,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Cerebellar degeneration,43,0.9059712626901495,0.37820188366702867,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Mega cisterna magna,23,0.7589558040787034,0.050188088247378033,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Structure of cave of septum pellucidum,22,0.6499843798812871,0.05191877696724718,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Cerebral infarction,42,0.9155632984901277,0.2795643451870759,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Demyelinating disease of central nervous system,21,0.7525510204081632,0.16280903743249137,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Lacunar infarct,21,0.9079016221873364,0.12750906494666697,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Gliosis,451,0.7714500589981976,0.6145861575419831,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Cerebral atrophy,213,0.9478293813513995,0.7581621044846425,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Encephalomalacia,25,0.8712947658402204,0.1925939435336309,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Arachnoid cyst,69,0.6689929183135706,0.09201795384929819,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Empty sella syndrome,82,0.6843954891161814,0.1490837980918979,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Cerebral edema,23,0.8201363554811315,0.16623351481499365,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Mastoiditis,23,0.6582740266730459,0.035809173401587666,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Chronic mastoiditis,37,0.7553115615615617,0.0567024343291637,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Ventriculomegaly,131,0.8731043635085013,0.4366959430137194,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Cerebellar degeneration,43,0.8921053485128604,0.36831061471739635,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Mega cisterna magna,23,0.7625142036959511,0.042533252568245306,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Structure of cave of septum pellucidum,22,0.6546391752577321,0.048476766021498335,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Cerebral infarction,42,0.913704994192799,0.287989674635719,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Demyelinating disease of central nervous system,21,0.7340070643642073,0.15617953441467347,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Lacunar infarct,21,0.903748037676609,0.11518857225359422,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Gliosis,451,0.7681457277092708,0.6075293746733657,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Cerebral atrophy,213,0.9519410768407917,0.7716047289420619,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Encephalomalacia,25,0.8820385674931129,0.22363408948983993,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Arachnoid cyst,69,0.6714735671936759,0.09118895974472543,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Empty sella syndrome,82,0.6845178774368389,0.14302986029010764,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Cerebral edema,23,0.830363016565995,0.17527766572811443,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Mastoiditis,23,0.6503797619759584,0.03567037086619972,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Chronic mastoiditis,37,0.7583333333333334,0.05673686649180344,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Ventriculomegaly,131,0.8799609813640643,0.44641658870174294,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Cerebellar degeneration,43,0.9012357691933444,0.3675699357274985,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Mega cisterna magna,23,0.7723820345673106,0.05443917944799113,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Structure of cave of septum pellucidum,22,0.6432052483598876,0.0461629282085137,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Cerebral infarction,42,0.9169238427078148,0.29122970777274626,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Demyelinating disease of central nervous system,21,0.744832548403977,0.16085594036260215,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Lacunar infarct,21,0.9078689167974882,0.1248108557383774,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Gliosis,451,0.770574811011268,0.6155574503643667,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Cerebral atrophy,213,0.9529625007428537,0.7761664622689053,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Encephalomalacia,25,0.8762809917355372,0.231960057293222,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Arachnoid cyst,69,0.6719470520421608,0.09316466020996833,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Empty sella syndrome,82,0.6844829093452225,0.14312620878721133,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Cerebral edema,23,0.8324262902936427,0.17720571885746075,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Mastoiditis,23,0.6467316548053346,0.035657089801714975,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Chronic mastoiditis,37,0.7591403903903904,0.0577669881060799,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Ventriculomegaly,131,0.8809988317094473,0.4472625761930837,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Cerebellar degeneration,43,0.899500502740748,0.36751699664615706,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Mega cisterna magna,23,0.7639794270677591,0.050294752440031676,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Structure of cave of septum pellucidum,22,0.6542330521711965,0.04953172991431587,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Cerebral infarction,42,0.9067529450804712,0.2949633126876018,uniform,0,budget,all4,1,1
Demyelinating disease of central nervous system,21,0.7303767660910518,0.1490451282970035,uniform,0,budget,all4,1,1
Lacunar infarct,21,0.888507326007326,0.11726297013783618,uniform,0,budget,all4,1,1
Gliosis,451,0.761830975566534,0.5901187426463671,uniform,0,budget,all4,1,1
Cerebral atrophy,213,0.9361740060616867,0.7183947838737674,uniform,0,budget,all4,1,1
Encephalomalacia,25,0.8688980716253444,0.2014893884283367,uniform,0,budget,all4,1,1
Arachnoid cyst,69,0.6484683794466403,0.07792531872534925,uniform,0,budget,all4,1,1
