finding,n_pos,auroc,auprc,method,seed,axis,subset,k,budget
Cerebral infarction,26,0.812891056312109,0.1445387130335801,uniform,0,availability,SWIax,1,-1
Cerebral hemorrhage,20,0.8839667458432303,0.15221797657886996,uniform,0,availability,SWIax,1,-1
Gliosis,284,0.6984380330425459,0.5227174226970766,uniform,0,availability,SWIax,1,-1
Cerebral atrophy,102,0.8594814241486067,0.4569403826395268,uniform,0,availability,SWIax,1,-1
Arachnoid cyst,43,0.6797569355708891,0.09192259612581419,uniform,0,availability,SWIax,1,-1
Empty sella syndrome,45,0.6230382156942744,0.1002437988307499,uniform,0,availability,SWIax,1,-1
Cyst of pineal gland,21,0.7382367929335825,0.058554473557457624,uniform,0,availability,SWIax,1,-1
Cerebral edema,43,0.9001902490274584,0.4866143606641321,uniform,0,availability,SWIax,1,-1
Mastoiditis,22,0.6172619047619048,0.07142565767253996,uniform,0,availability,SWIax,1,-1
Ventriculomegaly,64,0.842124843358396,0.34561535497178525,uniform,0,availability,SWIax,1,-1
Cerebellar degeneration,39,0.8016948624482039,0.15630957887109742,uniform,0,availability,SWIax,1,-1
Mega cisterna magna,22,0.6161255411255411,0.040106918930127196,uniform,0,availability,SWIax,1,-1
Cerebral infarction,26,0.8139492086860508,0.24598072889267275,uniform,0,availability,FLAIRsag,1,-1
Cerebral hemorrhage,20,0.8506532066508313,0.1704263548621386,uniform,0,availability,FLAIRsag,1,-1
Gliosis,284,0.7051330474194649,0.5464101968337123,uniform,0,availability,FLAIRsag,1,-1
Cerebral atrophy,102,0.9098813209494324,0.6335410298194107,uniform,0,availability,FLAIRsag,1,-1
Arachnoid cyst,43,0.6873668966692222,0.09588363813444288,uniform,0,availability,FLAIRsag,1,-1
Empty sella syndrome,45,0.629810961512308,0.07477795955623483,uniform,0,availability,FLAIRsag,1,-1
Cyst of pineal gland,21,0.7599796161032784,0.05997337867687282,uniform,0,availability,FLAIRsag,1,-1
Cerebral edema,43,0.8878098645540505,0.3825524522223004,uniform,0,availability,FLAIRsag,1,-1
Mastoiditis,22,0.7094155844155845,0.059767138822677854,uniform,0,availability,FLAIRsag,1,-1
Ventriculomegaly,64,0.8677749060150375,0.39077047059044606,uniform,0,availability,FLAIRsag,1,-1
Cerebellar degeneration,39,0.8033149515531046,0.3107288812114483,uniform,0,availability,FLAIRsag,1,-1
Mega cisterna magna,22,0.5226190476190475,0.04017118881953341,uniform,0,availability,FLAIRsag,1,-1
Cerebral infarction,26,0.8260949576739051,0.28968582926604936,uniform,0,availability,FLAIRax,1,-1
Cerebral hemorrhage,20,0.8690617577197151,0.16041304270049375,uniform,0,availability,FLAIRax,1,-1
Gliosis,284,0.7059554559189045,0.5691023198853046,uniform,0,availability,FLAIRax,1,-1
Cerebral atrophy,102,0.9340815273477813,0.6923325795351585,uniform,0,availability,FLAIRax,1,-1
Arachnoid cyst,43,0.7026436096203538,0.1018354733390098,uniform,0,availability,FLAIRax,1,-1
Empty sella syndrome,45,0.6060655514755882,0.07483975889669472,uniform,0,availability,FLAIRax,1,-1
Cyst of pineal gland,21,0.7353490742313572,0.10148118161846324,uniform,0,availability,FLAIRax,1,-1
Cerebral edema,43,0.9099014680410029,0.4985333181108894,uniform,0,availability,FLAIRax,1,-1
Mastoiditis,22,0.640530303030303,0.06990982764944187,uniform,0,availability,FLAIRax,1,-1
Ventriculomegaly,64,0.8858865914786967,0.4088393377688159,uniform,0,availability,FLAIRax,1,-1
Cerebellar degeneration,39,0.8626351372402404,0.2895825074849332,uniform,0,availability,FLAIRax,1,-1
Mega cisterna magna,22,0.6472402597402597,0.03962411225497886,uniform,0,availability,FLAIRax,1,-1
Cerebral infarction,26,0.840449024659551,0.21146603692032678,uniform,0,availability,T2ax,1,-1
Cerebral hemorrhage,20,0.8474465558194775,0.15147083494114372,uniform,0,availability,T2ax,1,-1
Gliosis,284,0.7197841025391101,0.5441368233402529,uniform,0,availability,T2ax,1,-1
Cerebral atrophy,102,0.9102296181630548,0.6321154548425226,uniform,0,availability,T2ax,1,-1
Arachnoid cyst,43,0.6905187835420394,0.09042402185200098,uniform,0,availability,T2ax,1,-1
Empty sella syndrome,45,0.6281789745682034,0.08709751980904931,uniform,0,availability,T2ax,1,-1
Cyst of pineal gland,21,0.7556197270822717,0.058523138729276544,uniform,0,availability,T2ax,1,-1
Cerebral edema,43,0.8616577221228384,0.3620016221531218,uniform,0,availability,T2ax,1,-1
Mastoiditis,22,0.6561147186147186,0.06653364667960646,uniform,0,availability,T2ax,1,-1
Ventriculomegaly,64,0.8893914473684211,0.38580110226862296,uniform,0,availability,T2ax,1,-1
Cerebellar degeneration,39,0.834969000218089,0.3166441780243927,uniform,0,availability,T2ax,1,-1
Mega cisterna magna,22,0.623538961038961,0.03422418903634067,uniform,0,availability,T2ax,1,-1
Cerebral infarction,26,0.8446816341553184,0.28120218592708723,uniform,0,availability,T1ax,1,-1
Cerebral hemorrhage,20,0.8460807600950119,0.18339736828102987,uniform,0,availability,T1ax,1,-1
Gliosis,284,0.699412739412252,0.5396498275529997,uniform,0,availability,T1ax,1,-1
Cerebral atrophy,102,0.8964654282765738,0.5904204935142262,uniform,0,availability,T1ax,1,-1
Arachnoid cyst,43,0.6775420961467473,0.08289823097707161,uniform,0,availability,T1ax,1,-1
Empty sella syndrome,45,0.6187406500747994,0.07651053514863822,uniform,0,availability,T1ax,1,-1
Cyst of pineal gland,21,0.707547703980522,0.0725145727650823,uniform,0,availability,T1ax,1,-1
Cerebral edema,43,0.877615924127552,0.4553431714511989,uniform,0,availability,T1ax,1,-1
Mastoiditis,22,0.6646645021645021,0.056806637452314054,uniform,0,availability,T1ax,1,-1
Ventriculomegaly,64,0.8849467418546366,0.39774440632406205,uniform,0,availability,T1ax,1,-1
Cerebellar degeneration,39,0.8173349534224382,0.26918985883519997,uniform,0,availability,T1ax,1,-1
Mega cisterna magna,22,0.568939393939394,0.03248570046664147,uniform,0,availability,T1ax,1,-1
Cerebral infarction,26,0.8288093485461907,0.19306491021994213,uniform,0,availability,FLAIRsag+SWIax,2,-1
Cerebral hemorrhage,20,0.8840261282660333,0.16506344671742093,uniform,0,availability,FLAIRsag+SWIax,2,-1
Gliosis,284,0.7097933622496223,0.5457809049984481,uniform,0,availability,FLAIRsag+SWIax,2,-1
Cerebral atrophy,102,0.90828173374613,0.5924937948018687,uniform,0,availability,FLAIRsag+SWIax,2,-1
Arachnoid cyst,43,0.6908311326915978,0.0990132668260413,uniform,0,availability,FLAIRsag+SWIax,2,-1
Empty sella syndrome,45,0.6376444988440092,0.08140849113635681,uniform,0,availability,FLAIRsag+SWIax,2,-1
Cyst of pineal gland,21,0.7562425683709869,0.06612161586766185,uniform,0,availability,FLAIRsag+SWIax,2,-1
Cerebral edema,43,0.9113496322798648,0.4745015162653055,uniform,0,availability,FLAIRsag+SWIax,2,-1
Mastoiditis,22,0.6707792207792207,0.06482189950766779,uniform,0,availability,FLAIRsag+SWIax,2,-1
Ventriculomegaly,64,0.8684406328320802,0.3945856644571061,uniform,0,availability,FLAIRsag+SWIax,2,-1
Cerebellar degeneration,39,0.8210736205875938,0.25331438668125317,uniform,0,availability,FLAIRsag+SWIax,2,-1
Mega cisterna magna,22,0.5502164502164502,0.03114790204277839,uniform,0,availability,FLAIRsag+SWIax,2,-1
Cerebral infarction,26,0.8323978652926022,0.2793864501496917,uniform,0,availability,FLAIRax+SWIax,2,-1
Cerebral hemorrhage,20,0.8832541567695962,0.1529479390377004,uniform,0,availability,FLAIRax+SWIax,2,-1
Gliosis,284,0.7150567766460353,0.5677721233026597,uniform,0,availability,FLAIRax+SWIax,2,-1
