finding,n_pos,auroc,auprc,method,seed,axis,subset,k,budget
Cerebral infarction,42,0.9089430894308943,0.3136715348192134,uniform,0,availability,T2cor,1,-1
Demyelinating disease of central nervous system,21,0.7405481423338566,0.13337867491999372,uniform,0,availability,T2cor,1,-1
Lacunar infarct,21,0.9109759288330717,0.18897735772321242,uniform,0,availability,T2cor,1,-1
Gliosis,451,0.7651893345089751,0.6021381602220056,uniform,0,availability,T2cor,1,-1
Cerebral atrophy,213,0.9373960004754264,0.7150246648470944,uniform,0,availability,T2cor,1,-1
Encephalomalacia,25,0.8417906336088155,0.10218218541615438,uniform,0,availability,T2cor,1,-1
Arachnoid cyst,69,0.7307312252964426,0.11203501358198716,uniform,0,availability,T2cor,1,-1
Empty sella syndrome,82,0.6968616137774281,0.13971644172230765,uniform,0,availability,T2cor,1,-1
Cerebral edema,23,0.7841038215417738,0.17442218356264397,uniform,0,availability,T2cor,1,-1
Mastoiditis,23,0.6414090066383589,0.0381804112573673,uniform,0,availability,T2cor,1,-1
Chronic mastoiditis,37,0.7336148648648648,0.057757024008769295,uniform,0,availability,T2cor,1,-1
Ventriculomegaly,131,0.868011524108753,0.43313819329194403,uniform,0,availability,T2cor,1,-1
Cerebellar degeneration,43,0.8734228536213551,0.26641592357632427,uniform,0,availability,T2cor,1,-1
Mega cisterna magna,23,0.6784881287004366,0.040052472051746224,uniform,0,availability,T2cor,1,-1
Structure of cave of septum pellucidum,22,0.7098094345517026,0.055100581864998936,uniform,0,availability,T2cor,1,-1
Cerebral infarction,42,0.9122448979591836,0.2879414150188586,uniform,0,availability,FLAIRax,1,-1
Demyelinating disease of central nervous system,21,0.7459772370486656,0.11790324431698507,uniform,0,availability,FLAIRax,1,-1
Lacunar infarct,21,0.9016875981161696,0.14734338652472384,uniform,0,availability,FLAIRax,1,-1
Gliosis,451,0.7615651595112443,0.5943519339446693,uniform,0,availability,FLAIRax,1,-1
Cerebral atrophy,213,0.9518519343911571,0.7762223515411264,uniform,0,availability,FLAIRax,1,-1
Encephalomalacia,25,0.8788705234159779,0.17776146673875637,uniform,0,availability,FLAIRax,1,-1
Arachnoid cyst,69,0.7110301383399209,0.13189117172586576,uniform,0,availability,FLAIRax,1,-1
Empty sella syndrome,82,0.6952006294256491,0.14524272831624982,uniform,0,availability,FLAIRax,1,-1
Cerebral edema,23,0.8224687518689073,0.17955423545175836,uniform,0,availability,FLAIRax,1,-1
Mastoiditis,23,0.5888104778422343,0.05257279780086703,uniform,0,availability,FLAIRax,1,-1
Chronic mastoiditis,37,0.7314564564564564,0.060509880457932354,uniform,0,availability,FLAIRax,1,-1
Ventriculomegaly,131,0.8923981715685718,0.4754300764844227,uniform,0,availability,FLAIRax,1,-1
Cerebellar degeneration,43,0.8937108754175992,0.2505589550480072,uniform,0,availability,FLAIRax,1,-1
Mega cisterna magna,23,0.7713653489623826,0.05570507281860308,uniform,0,availability,FLAIRax,1,-1
Structure of cave of septum pellucidum,22,0.6946266791627617,0.03810960719601878,uniform,0,availability,FLAIRax,1,-1
Cerebral infarction,42,0.9034677285548366,0.2789111752150128,uniform,0,availability,T2ax,1,-1
Demyelinating disease of central nervous system,21,0.7731227106227107,0.11646426684397086,uniform,0,availability,T2ax,1,-1
Lacunar infarct,21,0.915652799581371,0.16187070130050063,uniform,0,availability,T2ax,1,-1
Gliosis,451,0.7608347056357326,0.5781257743813862,uniform,0,availability,T2ax,1,-1
Cerebral atrophy,213,0.9392085636179948,0.7208341218024994,uniform,0,availability,T2ax,1,-1
Encephalomalacia,25,0.8753719008264462,0.11002973247349762,uniform,0,availability,T2ax,1,-1
Arachnoid cyst,69,0.7035778985507246,0.11872891104770944,uniform,0,availability,T2ax,1,-1
Empty sella syndrome,82,0.6998950957251507,0.16068247607032393,uniform,0,availability,T2ax,1,-1
Cerebral edema,23,0.8325459003648108,0.20376308255329856,uniform,0,availability,T2ax,1,-1
Mastoiditis,23,0.6673643920818133,0.0528079328271431,uniform,0,availability,T2ax,1,-1
Chronic mastoiditis,37,0.7367304804804805,0.05871253398575685,uniform,0,availability,T2ax,1,-1
Ventriculomegaly,131,0.8727130428864718,0.46612999646353015,uniform,0,availability,T2ax,1,-1
Cerebellar degeneration,43,0.8764068632220816,0.3073280215316781,uniform,0,availability,T2ax,1,-1
Mega cisterna magna,23,0.7700496381795346,0.055927672887144224,uniform,0,availability,T2ax,1,-1
Structure of cave of septum pellucidum,22,0.6594189315838801,0.04189916732422663,uniform,0,availability,T2ax,1,-1
Cerebral infarction,42,0.9073170731707316,0.3548264170015223,uniform,0,availability,T1ax,1,-1
Demyelinating disease of central nervous system,21,0.7219060701203559,0.04494696351215222,uniform,0,availability,T1ax,1,-1
Lacunar infarct,21,0.8854330193615908,0.15055719510642848,uniform,0,availability,T1ax,1,-1
Gliosis,451,0.7640633982097397,0.5861236300878582,uniform,0,availability,T1ax,1,-1
Cerebral atrophy,213,0.9473279550722054,0.7599812618408937,uniform,0,availability,T1ax,1,-1
Encephalomalacia,25,0.8569972451790634,0.28619903166092886,uniform,0,availability,T1ax,1,-1
Arachnoid cyst,69,0.684957592226614,0.1084750027803881,uniform,0,availability,T1ax,1,-1
Empty sella syndrome,82,0.6987324066789055,0.13646872163911208,uniform,0,availability,T1ax,1,-1
Cerebral edema,23,0.7715746665869266,0.11129073044263336,uniform,0,availability,T1ax,1,-1
Mastoiditis,23,0.6443095508641828,0.0325212519944927,uniform,0,availability,T1ax,1,-1
Chronic mastoiditis,37,0.7403528528528528,0.06070695536002462,uniform,0,availability,T1ax,1,-1
Ventriculomegaly,131,0.8698263443848326,0.4488532300428454,uniform,0,availability,T1ax,1,-1
Cerebellar degeneration,43,0.9009438552106647,0.2819933364004727,uniform,0,availability,T1ax,1,-1
Mega cisterna magna,23,0.7843131391663178,0.05269019254154925,uniform,0,availability,T1ax,1,-1
Structure of cave of septum pellucidum,22,0.5905342080599812,0.048692991158002456,uniform,0,availability,T1ax,1,-1
Cerebral infarction,42,0.9158951385432222,0.32714023335037457,uniform,0,availability,FLAIRax+T2cor,2,-1
Demyelinating disease of central nervous system,21,0.7610544217687075,0.14955218793682593,uniform,0,availability,FLAIRax+T2cor,2,-1
Lacunar infarct,21,0.9134615384615384,0.17900441969128475,uniform,0,availability,FLAIRax+T2cor,2,-1
Gliosis,451,0.7726613589899854,0.610091519110406,uniform,0,availability,FLAIRax+T2cor,2,-1
Cerebral atrophy,213,0.9549719201283652,0.773931693147117,uniform,0,availability,FLAIRax+T2cor,2,-1
Encephalomalacia,25,0.8717355371900827,0.15622805920866595,uniform,0,availability,FLAIRax+T2cor,2,-1
Arachnoid cyst,69,0.7386260704874835,0.13589588994513596,uniform,0,availability,FLAIRax+T2cor,2,-1
Empty sella syndrome,82,0.7042835912230091,0.15000363120733823,uniform,0,availability,FLAIRax+T2cor,2,-1
Cerebral edema,23,0.8199868428921715,0.17533386670462056,uniform,0,availability,FLAIRax+T2cor,2,-1
Mastoiditis,23,0.6353986005621673,0.04861378435273708,uniform,0,availability,FLAIRax+T2cor,2,-1
Chronic mastoiditis,37,0.7525713213213213,0.06003779440047176,uniform,0,availability,FLAIRax+T2cor,2,-1
Ventriculomegaly,131,0.8930900717988272,0.47648512827731626,uniform,0,availability,FLAIRax+T2cor,2,-1
Cerebellar degeneration,43,0.8925107845999156,0.27012553167567205,uniform,0,availability,FLAIRax+T2cor,2,-1
Mega cisterna magna,23,0.7414628311703846,0.05156590256959833,uniform,0,availability,FLAIRax+T2cor,2,-1
Structure of cave of septum pellucidum,22,0.712152452358638,0.0605408224734241,uniform,0,availability,FLAIRax+T2cor,2,-1
Cerebral infarction,42,0.910917537746806,0.3224607460250819,uniform,0,availability,T2ax+T2cor,2,-1
Demyelinating disease of central nervous system,21,0.7743328100470958,0.1413375620503775,uniform,0,availability,T2ax+T2cor,2,-1
Lacunar infarct,21,0.9193485086342229,0.19763527131435998,uniform,0,availability,T2ax+T2cor,2,-1
Gliosis,451,0.7704537890673963,0.6008271975951862,uniform,0,availability,T2ax+T2cor,2,-1
Cerebral atrophy,213,0.9453742497177156,0.7425942941495728,uniform,0,availability,T2ax+T2cor,2,-1
Encephalomalacia,25,0.8700275482093663,0.11591857631314906,uniform,0,availability,T2ax+T2cor,2,-1
Arachnoid cyst,69,0.726655138339921,0.12226866888829957,uniform,0,availability,T2ax+T2cor,2,-1
Empty sella syndrome,82,0.7049305009179124,0.15443646795868082,uniform,0,availability,T2ax+T2cor,2,-1
Cerebral edema,23,0.826475689253035,0.1990458092301812,uniform,0,availability,T2ax+T2cor,2,-1
Mastoiditis,23,0.6654805334609174,0.07360862230873619,uniform,0,availability,T2ax+T2cor,2,-1
Chronic mastoiditis,37,0.746996996996997,0.0602719178082779,uniform,0,availability,T2ax+T2cor,2,-1
Ventriculomegaly,131,0.8799723239907898,0.46807625431862265,uniform,0,availability,T2ax+T2cor,2,-1
Cerebellar degeneration,43,0.8802828322143297,0.30316106604200915,uniform,0,availability,T2ax+T2cor,2,-1
Mega cisterna magna,23,0.733359248848753,0.056501122334034454,uniform,0,availability,T2ax+T2cor,2,-1
Structure of cave of septum pellucidum,22,0.685941893158388,0.05774189543312665,uniform,0,availability,T2ax+T2cor,2,-1
Cerebral infarction,42,0.9139040982246557,0.2973457487747536,uniform,0,availability,T2ax+FLAIRax,2,-1
Demyelinating disease of central nervous system,21,0.7752485609628467,0.13110472271223195,uniform,0,availability,T2ax+FLAIRax,2,-1
Lacunar infarct,21,0.914606227106227,0.16294859178881538,uniform,0,availability,T2ax+FLAIRax,2,-1
Gliosis,451,0.7686298154847576,0.5970472444180304,uniform,0,availability,T2ax+FLAIRax,2,-1
Cerebral atrophy,213,0.9542327806501457,0.7735630297877616,uniform,0,availability,T2ax+FLAIRax,2,-1
Encephalomalacia,25,0.8862258953168044,0.1432086253466187,uniform,0,availability,T2ax+FLAIRax,2,-1
Arachnoid cyst,69,0.7227849143610013,0.12592606164012565,uniform,0,availability,T2ax+FLAIRax,2,-1
