finding,n_pos,auroc,auprc,method,seed,axis,subset,k,budget
Cerebral infarction,26,0.8218623481781376,0.14391054098063027,uniform,0,availability,SWIax,1,-1
Cerebral hemorrhage,20,0.8697743467933492,0.1465980318387446,uniform,0,availability,SWIax,1,-1
Gliosis,284,0.6908353233588382,0.5089252305459818,uniform,0,availability,SWIax,1,-1
Cerebral atrophy,102,0.851328689370485,0.4075566731126289,uniform,0,availability,SWIax,1,-1
Arachnoid cyst,43,0.6930743674929721,0.09049307282676274,uniform,0,availability,SWIax,1,-1
Empty sella syndrome,45,0.5835169318645451,0.08104973186423207,uniform,0,availability,SWIax,1,-1
Cyst of pineal gland,21,0.6843327104920446,0.05109464154539807,uniform,0,availability,SWIax,1,-1
Cerebral edema,43,0.8992248062015504,0.4896749560969877,uniform,0,availability,SWIax,1,-1
Mastoiditis,22,0.6006493506493507,0.046948988478794855,uniform,0,availability,SWIax,1,-1
Ventriculomegaly,64,0.8304746240601504,0.3139208681056573,uniform,0,availability,SWIax,1,-1
Cerebellar degeneration,39,0.8035641960307817,0.14641476436531706,uniform,0,availability,SWIax,1,-1
Mega cisterna magna,22,0.6335497835497835,0.04907015120250386,uniform,0,availability,SWIax,1,-1
Cerebral infarction,26,0.8278892160471107,0.27415096081837276,uniform,0,availability,FLAIRsag,1,-1
Cerebral hemorrhage,20,0.8526128266033254,0.1733426121662962,uniform,0,availability,FLAIRsag,1,-1
Gliosis,284,0.7268141722306156,0.5635091327204378,uniform,0,availability,FLAIRsag,1,-1
Cerebral atrophy,102,0.9231682146542828,0.6949737095197248,uniform,0,availability,FLAIRsag,1,-1
Arachnoid cyst,43,0.7107362921316409,0.10128038392130607,uniform,0,availability,FLAIRsag,1,-1
Empty sella syndrome,45,0.5575139398884809,0.0654522441779784,uniform,0,availability,FLAIRsag,1,-1
Cyst of pineal gland,21,0.6928826227280449,0.04373292764517006,uniform,0,availability,FLAIRsag,1,-1
Cerebral edema,43,0.8937728937728937,0.4117940785440661,uniform,0,availability,FLAIRsag,1,-1
Mastoiditis,22,0.7228896103896104,0.06782982411231031,uniform,0,availability,FLAIRsag,1,-1
Ventriculomegaly,64,0.8675399436090225,0.465307542495375,uniform,0,availability,FLAIRsag,1,-1
Cerebellar degeneration,39,0.816929931146213,0.33081351388002267,uniform,0,availability,FLAIRsag,1,-1
Mega cisterna magna,22,0.6530303030303031,0.05564516606269392,uniform,0,availability,FLAIRsag,1,-1
Cerebral infarction,26,0.8359403754140595,0.2961682135786188,uniform,0,availability,FLAIRax,1,-1
Cerebral hemorrhage,20,0.8744061757719715,0.1528879585511774,uniform,0,availability,FLAIRax,1,-1
Gliosis,284,0.7144597689945903,0.5746368756148998,uniform,0,availability,FLAIRax,1,-1
Cerebral atrophy,102,0.9368808049535604,0.7155203972989633,uniform,0,availability,FLAIRax,1,-1
Arachnoid cyst,43,0.7076979867677542,0.11258490306680712,uniform,0,availability,FLAIRax,1,-1
Empty sella syndrome,45,0.6413708690330477,0.08402711613101785,uniform,0,availability,FLAIRax,1,-1
Cyst of pineal gland,21,0.6962233169129721,0.04787749289026137,uniform,0,availability,FLAIRax,1,-1
Cerebral edema,43,0.9144163330209841,0.5238161300121857,uniform,0,availability,FLAIRax,1,-1
Mastoiditis,22,0.658495670995671,0.0799815751707183,uniform,0,availability,FLAIRax,1,-1
Ventriculomegaly,64,0.8955983709273183,0.4295717160763209,uniform,0,availability,FLAIRax,1,-1
Cerebellar degeneration,39,0.8666230488830731,0.3010077195538937,uniform,0,availability,FLAIRax,1,-1
Mega cisterna magna,22,0.6617965367965368,0.04509861357874295,uniform,0,availability,FLAIRax,1,-1
Cerebral infarction,26,0.8466139124033861,0.2223623996658837,uniform,0,availability,T2ax,1,-1
Cerebral hemorrhage,20,0.838479809976247,0.14073758018843127,uniform,0,availability,T2ax,1,-1
Gliosis,284,0.7259734879867441,0.5586289663759814,uniform,0,availability,T2ax,1,-1
Cerebral atrophy,102,0.9215041279669762,0.6650158820988996,uniform,0,availability,T2ax,1,-1
Arachnoid cyst,43,0.7075844052588238,0.09982288055413607,uniform,0,availability,T2ax,1,-1
Empty sella syndrome,45,0.6784169726642186,0.09740840312863483,uniform,0,availability,T2ax,1,-1
Cyst of pineal gland,21,0.6916935620859521,0.041890564595059965,uniform,0,availability,T2ax,1,-1
Cerebral edema,43,0.8720220348127325,0.4093336599993575,uniform,0,availability,T2ax,1,-1
Mastoiditis,22,0.6401515151515152,0.07662615721710016,uniform,0,availability,T2ax,1,-1
Ventriculomegaly,64,0.8905075187969925,0.39910996252144093,uniform,0,availability,T2ax,1,-1
Cerebellar degeneration,39,0.843131756862012,0.3073382588655446,uniform,0,availability,T2ax,1,-1
Mega cisterna magna,22,0.5108766233766233,0.027669156928441078,uniform,0,availability,T2ax,1,-1
Cerebral infarction,26,0.8522727272727273,0.28310652615169274,uniform,0,availability,T1ax,1,-1
Cerebral hemorrhage,20,0.8491686460807601,0.19149581413565955,uniform,0,availability,T1ax,1,-1
Gliosis,284,0.7076551001510795,0.5556814238780214,uniform,0,availability,T1ax,1,-1
Cerebral atrophy,102,0.9113648090815274,0.6400091158879628,uniform,0,availability,T1ax,1,-1
Arachnoid cyst,43,0.6633728029076866,0.0856245450831778,uniform,0,availability,T1ax,1,-1
Empty sella syndrome,45,0.6550251597987216,0.09367738511898997,uniform,0,availability,T1ax,1,-1
Cyst of pineal gland,21,0.7252703697412377,0.05511181452672707,uniform,0,availability,T1ax,1,-1
