pattern,subset,n_inputs,n_studies,frac_of_test,vendor_top,mean_prevalence
1111,T1ax+T2ax+FLAIRax+T2cor,4,1477,0.5519431988041853,Siemens,0.024373730534867976
1110,T1ax+T2ax+FLAIRax,3,538,0.20104633781763825,Philips,0.031347332462574096
1101,T1ax+T2ax+T2cor,3,318,0.11883408071748879,Siemens,0.02830188679245283
0100,T2ax,1,223,0.08333333333333333,Siemens,0.024724275845352077
0001,T2cor,1,30,0.011210762331838564,Siemens,0.07747747747747748
1100,T1ax+T2ax,2,29,0.010837070254110613,Philips,0.035414725069897485
0101,T2ax+T2cor,2,23,0.0085949177877429,Siemens,0.01645123384253819
1000,T1ax,1,16,0.005979073243647235,Siemens,0.028716216216216218
1001,T1ax+T2cor,2,13,0.004857997010463378,GE,0.04158004158004158
1010,T1ax+FLAIRax,2,6,0.002242152466367713,Philips,0.04054054054054054
1011,T1ax+FLAIRax+T2cor,3,2,0.0007473841554559044,GE,0.013513513513513514
0111,T2ax+FLAIRax+T2cor,3,1,0.0003736920777279522,Siemens,0.05405405405405406
