pattern,subset,n_inputs,n_studies,frac_of_test,vendor_top,mean_prevalence
11100,T1ax+T2ax+FLAIRax,3,946,0.35351270553064273,Siemens,0.024055768241814754
11111,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,862,0.3221225710014948,Siemens,0.027779519658870006
01011,T2ax+FLAIRsag+SWIax,3,201,0.07511210762331838,Siemens,0.023127605217157458
11011,T1ax+T2ax+FLAIRsag+SWIax,4,191,0.07137518684603886,Siemens,0.026744021508419414
11110,T1ax+T2ax+FLAIRax+FLAIRsag,4,166,0.06203288490284006,Siemens,0.026864213611201563
11001,T1ax+T2ax+SWIax,3,116,0.043348281016442454,Siemens,0.032851817334575956
01010,T2ax+FLAIRsag,2,43,0.016068759342301942,Siemens,0.028912633563796353
11101,T1ax+T2ax+FLAIRax+SWIax,4,41,0.015321375186846039,Siemens,0.04152933421226104
10000,T1ax,1,28,0.01046337817638266,GE,0.03571428571428571
11010,T1ax+T2ax+FLAIRsag,3,25,0.009342301943198805,Siemens,0.032432432432432434
00010,FLAIRsag,1,21,0.007847533632286996,Siemens,0.07979407979407979
11000,T1ax+T2ax,2,15,0.005605381165919282,Siemens,0.01981981981981982
00000,none,0,9,0.0033632286995515697,Siemens,0.07207207207207207
10111,T1ax+FLAIRax+FLAIRsag+SWIax,4,3,0.0011210762331838565,Philips,0.02702702702702703
10100,T1ax+FLAIRax,2,3,0.0011210762331838565,GE,0.036036036036036036
01000,T2ax,1,2,0.0007473841554559044,GE,0.0
10110,T1ax+FLAIRax+FLAIRsag,3,2,0.0007473841554559044,Philips,0.04054054054054054
10010,T1ax+FLAIRsag,2,1,0.0003736920777279522,GE,0.0
01111,T2ax+FLAIRax+FLAIRsag+SWIax,4,1,0.0003736920777279522,Siemens,0.05405405405405406
