group,method,seed,n,n_findings,macro_auroc,macro_auprc,worst_auroc
complete,uniform,0,1477,15,0.8092072638372306,0.24669642497179525,0.6517552777943902
complete,uniform,1,1477,15,0.8127805414490908,0.24876917623455228,0.6596196399736858
complete,uniform,2,1477,15,0.8116244354854032,0.25159150147712983,0.6591411996890137
complete,patient,0,1477,15,0.8095284875638227,0.2472492335714292,0.6499611267268703
complete,patient,1,1477,15,0.8131619030143165,0.24910515074326275,0.6570779259613659
complete,patient,2,1477,15,0.8122904595712234,0.25050927107956916,0.656121045392022
complete,finding,0,1477,15,0.809448721183364,0.2470222563003953,0.6521141080078943
complete,finding,1,1477,15,0.8131897699408087,0.24932759968101578,0.6609054482387416
complete,finding,2,1477,15,0.8120284490161127,0.25143613882919463,0.6601877878117337
complete,label_id,0,1477,15,0.8094555574055542,0.24716560162463613,0.6502302493869985
complete,label_id,1,1477,15,0.8131266421228937,0.24906054101841119,0.6582142216374619
complete,label_id,2,1477,15,0.8121755779041808,0.25114646526293555,0.6582441241552539
complete,queryseq,0,1477,15,0.8085641470600333,0.2459748937039684,0.6545362119490461
complete,queryseq,1,1477,15,0.8128034039854827,0.24908265679015792,0.6579450989773339
complete,queryseq,2,1477,15,0.8122403759535443,0.2508352954779817,0.6587524669577178
incomplete,uniform,0,1199,16,0.7514265429716984,0.229071169402751,0.4986429177268872
incomplete,uniform,1,1199,16,0.7584363383199018,0.23368170415008693,0.5111111111111111
incomplete,uniform,2,1199,16,0.758698395951757,0.23117809922741905,0.509245122985581
incomplete,patient,0,1199,16,0.7521071356882045,0.23105237693330896,0.5002120441051738
incomplete,patient,1,1199,16,0.7583930509954627,0.23411070864249064,0.5157760814249365
incomplete,patient,2,1199,16,0.7591197117054573,0.23284329419214228,0.5111959287531807
incomplete,finding,0,1199,16,0.7517222890641734,0.22917872364918657,0.4989821882951654
incomplete,finding,1,1199,16,0.7586866974928628,0.23371595951756002,0.5118744698897371
incomplete,finding,2,1199,16,0.7588088576668637,0.2314392098224884,0.5094995759117896
incomplete,label_id,0,1199,16,0.7518144302238977,0.23033594596559825,0.5000424088210348
incomplete,label_id,1,1199,16,0.7579068285186114,0.23331732405852473,0.5125106022052587
incomplete,label_id,2,1199,16,0.7588698048998097,0.23168385896077043,0.5096692111959287
incomplete,queryseq,0,1199,16,0.7523885400599362,0.23157422709367725,0.5011874469889737
incomplete,queryseq,1,1199,16,0.7592018404964103,0.2321452354652364,0.5176844783715013
incomplete,queryseq,2,1199,16,0.7583134751247991,0.23311670370104956,0.5079728583545378
all,uniform,0,2676,20,0.7852718660810222,0.1934970060521426,0.6234183366501597
all,uniform,1,2676,20,0.7894335352682339,0.19532086532679496,0.6166350531107739
all,uniform,2,2676,20,0.7857879152825145,0.19402890026740782,0.591407435508346
all,patient,0,2676,20,0.78596101178771,0.19423430860016794,0.6241773499328921
all,patient,1,2676,20,0.7900789180494086,0.1964018439227701,0.6174981031866464
all,patient,2,2676,20,0.7864869642459287,0.19459020970071178,0.5945561456752656
all,finding,0,2676,20,0.7855024556995264,0.19360283767837344,0.6235942055815245
all,finding,1,2676,20,0.7897208784552274,0.19545908997722045,0.6168057663125949
all,finding,2,2676,20,0.7860376099546602,0.19414319955435944,0.5915496965098634
all,label_id,0,2676,20,0.7857124512492464,0.1940314116001262,0.6240292497801638
all,label_id,1,2676,20,0.7898277090577883,0.1957594902839165,0.6177257207890743
all,label_id,2,2676,20,0.7863834299822491,0.194301656435975,0.5945182094081942
all,queryseq,0,2676,20,0.785901187935085,0.19406352722763928,0.6225297357337899
all,queryseq,1,2676,20,0.7896369031446773,0.19561115416777244,0.615686646433991
all,queryseq,2,2676,20,0.7862729796498703,0.1948135691739159,0.5918721547799697
