group,method,seed,n,n_findings,macro_auroc,macro_auprc,worst_auroc
complete,uniform,0,862,12,0.787394824089379,0.28831218958821325,0.5964285714285715
complete,uniform,1,862,12,0.7843054769098098,0.2860659354791904,0.6312229437229437
complete,uniform,2,862,12,0.7835336681344826,0.28248412096535347,0.6107142857142858
complete,patient,0,862,12,0.7886755390399972,0.2932804178188642,0.5959415584415584
complete,patient,1,862,12,0.7840878469201091,0.28727977083770023,0.6244047619047619
complete,patient,2,862,12,0.7829793859394458,0.28368481915404037,0.6075757575757575
complete,finding,0,862,12,0.788323685414804,0.29002490597911396,0.5968614718614719
complete,finding,1,862,12,0.78423607139097,0.2873129367042514,0.6304653679653679
complete,finding,2,862,12,0.7833365302795667,0.2833717817080189,0.6093614718614718
complete,label_id,0,862,12,0.7882959798831917,0.2912449660377917,0.5919372294372294
complete,label_id,1,862,12,0.783699019114411,0.28628941042302974,0.6279220779220779
complete,label_id,2,862,12,0.783051574251027,0.2829367884542939,0.608008658008658
complete,queryseq,0,862,12,0.7886840763714987,0.29004894974533346,0.5981060606060605
complete,queryseq,1,862,12,0.7853303671181288,0.2876941000659306,0.6237012987012986
complete,queryseq,2,862,12,0.7838246457222399,0.28399229782148694,0.6113636363636363
incomplete,uniform,0,1814,16,0.7320807646232397,0.19416317986203163,0.4644639476854242
incomplete,uniform,1,1814,16,0.7385595533357852,0.2002079399839702,0.49698847014283254
incomplete,uniform,2,1814,16,0.7394034168510413,0.1937352081037328,0.5175098950266737
incomplete,patient,0,1814,16,0.7327260865588373,0.1945040032025125,0.48081225262433314
incomplete,patient,1,1814,16,0.7386543089967016,0.20119567139937528,0.49610652211323353
incomplete,patient,2,1814,16,0.7412799276405675,0.19543869947876752,0.5300077439339184
incomplete,finding,0,1814,16,0.7322958147983294,0.19470862349392926,0.46734641197728444
incomplete,finding,1,1814,16,0.7380045244113103,0.2008668962827177,0.49703149199793495
incomplete,finding,2,1814,16,0.7402079103267797,0.19379019867629232,0.5235544656685596
incomplete,label_id,0,1814,16,0.7331736173416157,0.19495166544394182,0.47390724488039926
incomplete,label_id,1,1814,16,0.737895984943284,0.20083545326778907,0.4950739975907761
incomplete,label_id,2,1814,16,0.7409151925415768,0.19509274183694184,0.5306530717604543
incomplete,queryseq,0,1814,16,0.7328363010253265,0.19518393034315853,0.4680777835140252
incomplete,queryseq,1,1814,16,0.7376289189353751,0.20061057521415263,0.48859920839786614
incomplete,queryseq,2,1814,16,0.7392418540849226,0.1936545408709157,0.5210376871450697
all,uniform,0,2676,20,0.7596521045008957,0.17565065963785248,0.5088865705614567
all,uniform,1,2676,20,0.7621425576463579,0.17872289493541174,0.5305576631259484
all,uniform,2,2676,20,0.7642347163320418,0.17486089959499732,0.5433137329286798
all,patient,0,2676,20,0.7598890003873098,0.17603704121081945,0.5193949165402124
all,patient,1,2676,20,0.7623637603570625,0.17961715362784597,0.5297610015174506
all,patient,2,2676,20,0.765066631844085,0.1754867891470735,0.550445751138088
all,finding,0,2676,20,0.7600226468663202,0.17606490355750604,0.5108971927162367
all,finding,1,2676,20,0.7616712751065111,0.17915532183644328,0.5309559939301973
all,finding,2,2676,20,0.764505282717373,0.1753110343640486,0.5463676024279212
all,label_id,0,2676,20,0.7604034243469544,0.17599137189464936,0.516236722306525
all,label_id,1,2676,20,0.7615428009650963,0.17875321650406606,0.5295808042488619
all,label_id,2,2676,20,0.7648759947132313,0.1755069966745752,0.5502940060698027
all,queryseq,0,2676,20,0.7602662395547288,0.17612739932768914,0.5094461305007587
all,queryseq,1,2676,20,0.7623107120762498,0.17865613545956222,0.5239567526555386
all,queryseq,2,2676,20,0.7646255483176294,0.17572278446423517,0.5483782245827011
