fold,finding_idx,subset_idx,seed
0,0,10,0
0,1,4,0
0,2,1,0
0,3,7,0
0,4,6,0
0,5,8,0
0,6,2,0
0,7,9,0
0,8,14,0
0,9,8,0
0,10,3,0
0,11,10,0
0,12,13,0
0,13,5,0
0,14,14,0
0,15,9,0
0,16,1,0
0,17,1,0
0,19,7,0
0,21,3,0
0,22,1,0
0,23,13,0
0,24,2,0
0,25,10,0
0,26,14,0
0,27,3,0
0,28,5,0
0,29,10,0
0,30,7,0
0,32,3,0
0,34,6,0
0,35,11,0
0,36,9,0
1,0,10,0
1,1,2,0
1,2,1,0
1,3,7,0
1,4,6,0
1,5,13,0
1,6,2,0
1,7,10,0
1,8,14,0
1,9,8,0
1,10,3,0
1,11,10,0
1,12,14,0
1,13,8,0
1,14,5,0
1,15,13,0
1,16,13,0
1,17,1,0
1,19,0,0
1,21,9,0
1,22,13,0
1,23,13,0
1,24,10,0
1,25,10,0
1,26,5,0
1,27,8,0
1,28,5,0
1,29,10,0
1,30,7,0
1,32,9,0
1,34,6,0
1,35,4,0
1,36,9,0
2,0,10,0
2,1,12,0
2,2,1,0
2,3,7,0
2,4,6,0
2,5,1,0
2,6,2,0
2,7,9,0
2,8,14,0
2,9,8,0
2,10,3,0
2,11,10,0
2,12,13,0
2,13,1,0
2,14,14,0
2,15,14,0
2,16,13,0
2,17,1,0
2,19,14,0
2,21,9,0
2,22,11,0
2,23,9,0
2,24,2,0
2,25,14,0
2,26,10,0
2,27,8,0
2,28,5,0
2,29,10,0
2,30,7,0
2,32,3,0
2,34,6,0
2,35,11,0
2,36,9,0
3,0,10,0
3,1,5,0
3,2,1,0
3,3,11,0
3,4,6,0
3,5,1,0
3,6,2,0
3,7,4,0
3,8,14,0
3,9,8,0
3,10,3,0
3,11,10,0
3,12,13,0
3,13,8,0
3,14,14,0
3,15,14,0
3,16,13,0
3,17,1,0
3,19,0,0
3,21,3,0
3,22,7,0
3,23,13,0
3,24,2,0
3,25,14,0
3,26,12,0
3,27,8,0
3,28,5,0
3,29,10,0
3,30,7,0
3,32,3,0
3,34,9,0
3,35,11,0
3,36,9,0
4,0,10,0
4,1,0,0
4,2,1,0
4,3,8,0
4,4,10,0
4,5,8,0
4,6,2,0
4,7,13,0
4,8,14,0
4,9,8,0
4,10,1,0
4,11,10,0
4,12,13,0
4,13,14,0
4,14,10,0
4,15,13,0
4,16,13,0
4,17,1,0
4,19,0,0
4,21,9,0
4,22,7,0
4,23,13,0
4,24,5,0
4,25,14,0
4,26,12,0
4,27,3,0
4,28,5,0
4,29,10,0
4,30,3,0
4,32,9,0
4,34,6,0
4,35,11,0
4,36,9,0
0,0,6,1
0,1,11,1
0,2,1,1
0,3,3,1
0,4,10,1
0,5,8,1
0,6,2,1
0,7,13,1
0,8,14,1
0,9,8,1
0,10,3,1
0,11,10,1
0,12,14,1
0,13,1,1
0,14,10,1
0,15,13,1
0,16,6,1
0,17,6,1
0,19,12,1
0,21,13,1
0,22,11,1
0,23,2,1
0,24,10,1
0,25,14,1
0,26,12,1
0,27,3,1
0,28,10,1
0,29,13,1
0,30,2,1
0,32,3,1
0,34,13,1
0,35,4,1
0,36,2,1
1,0,1,1
1,1,8,1
1,2,1,1
1,3,8,1
1,4,10,1
1,5,8,1
1,6,2,1
1,7,13,1
1,8,14,1
1,9,8,1
1,10,3,1
1,11,10,1
1,12,6,1
1,13,12,1
1,14,6,1
1,15,13,1
1,16,6,1
1,17,6,1
1,19,4,1
1,21,13,1
1,22,7,1
1,23,2,1
1,24,10,1
1,25,14,1
1,26,12,1
1,27,3,1
1,28,10,1
1,29,13,1
1,30,9,1
1,32,3,1
1,34,9,1
1,35,0,1
1,36,2,1
2,0,10,1
2,1,3,1
2,2,1,1
2,3,3,1
2,4,10,1
2,5,8,1
2,6,2,1
2,7,13,1
2,8,14,1
2,9,8,1
2,10,3,1
2,11,10,1
2,12,14,1
2,13,12,1
2,14,6,1
2,15,13,1
2,16,13,1
2,17,10,1
2,19,4,1
2,21,13,1
2,22,11,1
2,23,2,1
2,24,10,1
2,25,14,1
2,26,12,1
2,27,3,1
2,28,10,1
2,29,13,1
2,30,2,1
2,32,3,1
2,34,9,1
2,35,4,1
2,36,2,1
3,0,1,1
3,1,11,1
3,2,1,1
3,3,3,1
3,4,10,1
3,5,8,1
3,6,2,1
3,7,13,1
3,8,4,1
3,9,8,1
3,10,3,1
3,11,10,1
3,12,14,1
3,13,1,1
3,14,6,1
3,15,13,1
3,16,13,1
3,17,6,1
3,19,12,1
3,21,13,1
3,22,10,1
3,23,2,1
3,24,10,1
3,25,14,1
3,26,12,1
3,27,3,1
3,28,10,1
3,29,13,1
3,30,5,1
3,32,3,1
3,34,9,1
3,35,0,1
3,36,2,1
4,0,1,1
4,1,11,1
4,2,8,1
4,3,8,1
4,4,10,1
4,5,8,1
4,6,9,1
4,7,13,1
4,8,4,1
4,9,8,1
4,10,3,1
4,11,10,1
4,12,14,1
4,13,12,1
4,14,10,1
4,15,13,1
4,16,6,1
4,17,6,1
4,19,4,1
4,21,13,1
4,22,13,1
4,23,2,1
4,24,10,1
4,25,14,1
4,26,12,1
4,27,3,1
4,28,10,1
4,29,10,1
4,30,2,1
4,32,3,1
4,34,9,1
4,35,0,1
4,36,9,1
0,0,10,2
0,1,2,2
0,2,6,2
0,3,3,2
0,4,6,2
0,5,1,2
0,6,2,2
0,7,10,2
0,8,14,2
0,9,9,2
0,10,3,2
0,11,10,2
0,12,14,2
0,13,8,2
0,14,14,2
0,15,9,2
0,16,13,2
0,17,1,2
0,19,0,2
0,21,3,2
0,22,7,2
0,23,13,2
0,24,2,2
0,25,14,2
0,26,9,2
0,27,3,2
0,28,10,2
0,29,10,2
0,30,10,2
0,32,3,2
0,34,3,2
0,35,4,2
0,36,9,2
1,0,6,2
1,1,13,2
1,2,1,2
1,3,3,2
1,4,6,2
1,5,8,2
1,6,2,2
1,7,13,2
1,8,14,2
1,9,8,2
1,10,3,2
1,11,10,2
1,12,14,2
1,13,8,2
1,14,14,2
1,15,9,2
1,16,13,2
1,17,6,2
1,19,0,2
1,21,3,2
1,22,1,2
1,23,9,2
1,24,2,2
1,25,14,2
1,26,9,2
1,27,8,2
1,28,10,2
1,29,10,2
1,30,4,2
1,32,9,2
1,34,3,2
1,35,11,2
1,36,9,2
2,0,6,2
2,1,2,2
2,2,1,2
2,3,3,2
2,4,10,2
2,5,1,2
2,6,2,2
2,7,13,2
2,8,14,2
2,9,9,2
2,10,3,2
2,11,10,2
2,12,14,2
2,13,8,2
2,14,14,2
2,15,9,2
2,16,13,2
2,17,1,2
2,19,0,2
2,21,9,2
2,22,2,2
2,23,13,2
2,24,10,2
2,25,14,2
2,26,9,2
2,27,8,2
2,28,2,2
2,29,10,2
2,30,4,2
2,32,9,2
2,34,6,2
2,35,11,2
2,36,9,2
3,0,6,2
3,1,2,2
3,2,6,2
3,3,8,2
3,4,6,2
3,5,11,2
3,6,2,2
3,7,13,2
3,8,14,2
3,9,9,2
3,10,3,2
3,11,10,2
3,12,14,2
3,13,5,2
3,14,14,2
3,15,9,2
3,16,2,2
3,17,6,2
3,19,0,2
3,21,3,2
3,22,2,2
3,23,2,2
3,24,12,2
3,25,14,2
3,26,12,2
3,27,4,2
3,28,2,2
3,29,10,2
3,30,4,2
3,32,1,2
3,34,3,2
3,35,4,2
3,36,9,2
4,0,6,2
4,1,6,2
4,2,6,2
4,3,3,2
4,4,10,2
4,5,11,2
4,6,2,2
4,7,10,2
4,8,14,2
4,9,9,2
4,10,3,2
4,11,10,2
4,12,14,2
4,13,5,2
4,14,14,2
4,15,13,2
4,16,13,2
4,17,6,2
4,19,0,2
4,21,13,2
4,22,1,2
4,23,2,2
4,24,14,2
4,25,14,2
4,26,9,2
4,27,9,2
4,28,5,2
4,29,10,2
4,30,4,2
4,32,9,2
4,34,3,2
4,35,4,2
4,36,9,2
