fold,finding_idx,subset_idx,seed
0,0,10,0
0,1,26,0
0,2,25,0
0,3,12,0
0,4,24,0
0,5,16,0
0,6,8,0
0,7,6,0
0,8,0,0
0,9,0,0
0,10,6,0
0,11,28,0
0,12,18,0
0,13,12,0
0,14,10,0
0,15,18,0
0,16,14,0
0,17,3,0
0,18,18,0
0,19,4,0
0,20,27,0
0,22,17,0
0,23,19,0
0,24,3,0
0,25,4,0
0,26,25,0
0,27,14,0
0,28,13,0
0,29,24,0
0,30,8,0
0,31,23,0
0,33,12,0
0,34,4,0
0,35,17,0
0,36,7,0
1,0,30,0
1,1,19,0
1,2,15,0
1,3,23,0
1,4,24,0
1,5,12,0
1,6,12,0
1,7,17,0
1,8,20,0
1,9,0,0
1,10,7,0
1,11,25,0
1,12,18,0
1,13,24,0
1,14,21,0
1,15,13,0
1,16,14,0
1,17,3,0
1,18,7,0
1,19,3,0
1,20,11,0
1,22,15,0
1,23,4,0
1,24,10,0
1,25,24,0
1,26,30,0
1,27,10,0
1,28,14,0
1,29,24,0
1,30,16,0
1,31,3,0
1,33,11,0
1,34,4,0
1,35,17,0
1,36,4,0
2,0,30,0
2,1,25,0
2,2,15,0
2,3,23,0
2,4,24,0
2,5,4,0
2,6,5,0
2,7,3,0
2,8,0,0
2,9,0,0
2,10,7,0
2,11,18,0
2,12,26,0
2,13,20,0
2,14,13,0
2,15,18,0
2,16,17,0
2,17,14,0
2,18,8,0
2,19,11,0
2,20,8,0
2,22,15,0
2,23,4,0
2,24,3,0
2,25,3,0
2,26,26,0
2,27,26,0
2,28,7,0
2,29,18,0
2,30,9,0
2,31,14,0
2,33,11,0
2,34,8,0
2,35,6,0
2,36,14,0
3,0,25,0
3,1,19,0
3,2,26,0
3,3,11,0
3,4,29,0
3,5,30,0
3,6,30,0
3,7,26,0
3,8,11,0
3,9,0,0
3,10,15,0
3,11,25,0
3,12,18,0
3,13,7,0
3,14,18,0
3,15,30,0
3,16,14,0
3,17,2,0
3,18,7,0
3,19,6,0
3,20,27,0
3,22,13,0
3,23,11,0
3,24,3,0
3,25,24,0
3,26,30,0
3,27,3,0
3,28,3,0
3,29,26,0
3,30,8,0
3,31,3,0
3,33,21,0
3,34,11,0
3,35,8,0
3,36,4,0
4,0,18,0
4,1,5,0
4,2,15,0
4,3,24,0
4,4,24,0
4,5,1,0
4,6,22,0
4,7,3,0
4,8,20,0
4,9,8,0
4,10,7,0
4,11,18,0
4,12,19,0
4,13,1,0
4,14,29,0
4,15,3,0
4,16,1,0
4,17,3,0
4,18,6,0
4,19,11,0
4,20,19,0
4,22,15,0
4,23,4,0
4,24,10,0
4,25,28,0
4,26,30,0
4,27,14,0
4,28,3,0
4,29,24,0
4,30,1,0
4,31,12,0
4,33,21,0
4,34,4,0
4,35,15,0
4,36,27,0
0,0,10,1
0,1,26,1
0,2,15,1
0,3,22,1
0,4,25,1
0,5,7,1
0,6,5,1
0,7,3,1
0,8,11,1
0,9,0,1
0,10,0,1
0,11,25,1
0,12,18,1
0,13,9,1
0,14,13,1
0,15,3,1
0,16,14,1
0,17,0,1
0,18,4,1
0,19,9,1
0,20,19,1
0,22,13,1
0,23,4,1
0,24,3,1
0,25,24,1
0,26,30,1
0,27,28,1
0,28,3,1
0,29,10,1
0,30,8,1
0,31,4,1
0,33,21,1
0,34,11,1
0,35,8,1
0,36,3,1
1,0,28,1
1,1,16,1
1,2,15,1
1,3,29,1
1,4,29,1
1,5,7,1
1,6,8,1
1,7,15,1
1,8,17,1
1,9,0,1
1,10,7,1
1,11,29,1
1,12,18,1
1,13,7,1
1,14,26,1
1,15,28,1
1,16,14,1
1,17,3,1
1,18,9,1
1,19,10,1
1,20,10,1
1,22,2,1
1,23,7,1
1,24,3,1
1,25,28,1
1,26,15,1
1,27,29,1
1,28,2,1
1,29,24,1
1,30,1,1
1,31,18,1
1,33,21,1
1,34,11,1
1,35,20,1
1,36,27,1
2,0,24,1
2,1,19,1
2,2,15,1
2,3,7,1
2,4,24,1
2,5,12,1
2,6,1,1
2,7,24,1
2,8,0,1
2,9,0,1
2,10,25,1
2,11,25,1
2,12,18,1
2,13,21,1
2,14,10,1
2,15,30,1
2,16,14,1
2,17,3,1
2,18,2,1
2,19,11,1
2,20,3,1
2,22,2,1
2,23,4,1
2,24,18,1
2,25,20,1
2,26,30,1
2,27,3,1
2,28,8,1
2,29,24,1
2,30,1,1
2,31,14,1
2,33,12,1
2,34,4,1
2,35,4,1
2,36,24,1
3,0,30,1
3,1,25,1
3,2,15,1
3,3,13,1
3,4,24,1
3,5,1,1
3,6,11,1
3,7,15,1
3,8,0,1
3,9,0,1
3,10,7,1
3,11,25,1
3,12,7,1
3,13,13,1
3,14,29,1
3,15,18,1
3,16,23,1
3,17,3,1
3,18,15,1
3,19,18,1
3,20,11,1
3,22,29,1
3,23,16,1
3,24,10,1
3,25,24,1
3,26,21,1
3,27,13,1
3,28,3,1
3,29,24,1
3,30,1,1
3,31,14,1
3,33,21,1
3,34,14,1
3,35,6,1
3,36,12,1
4,0,30,1
4,1,6,1
4,2,15,1
4,3,24,1
4,4,10,1
4,5,29,1
4,6,5,1
4,7,6,1
4,8,17,1
