fold,finding_idx,subset_idx,seed
0,0,10,0
0,1,7,0
0,2,4,0
0,3,12,0
0,4,10,0
0,5,0,0
0,6,0,0
0,7,1,0
0,8,5,0
0,9,9,0
0,10,4,0
0,11,10,0
0,12,10,0
0,13,4,0
0,14,6,0
0,15,10,0
0,16,9,0
0,17,2,0
0,18,1,0
0,19,6,0
0,20,2,0
0,22,11,0
0,23,3,0
0,24,2,0
0,25,9,0
0,26,14,0
0,27,14,0
0,28,9,0
0,29,9,0
0,30,0,0
0,31,5,0
0,33,11,0
0,34,8,0
0,35,6,0
0,36,0,0
1,0,13,0
1,1,1,0
1,2,4,0
1,3,12,0
1,4,13,0
1,5,4,0
1,6,0,0
1,7,1,0
1,8,0,0
1,9,9,0
1,10,4,0
1,11,4,0
1,12,10,0
1,13,4,0
1,14,14,0
1,15,10,0
1,16,9,0
1,17,2,0
1,18,1,0
1,19,2,0
1,20,2,0
1,22,11,0
1,23,3,0
1,24,2,0
1,25,9,0
1,26,14,0
1,27,14,0
1,28,9,0
1,29,9,0
1,30,0,0
1,31,9,0
1,33,11,0
1,34,3,0
1,35,6,0
1,36,0,0
2,0,4,0
2,1,7,0
2,2,4,0
2,3,12,0
2,4,13,0
2,5,11,0
2,6,0,0
2,7,4,0
2,8,5,0
2,9,3,0
2,10,4,0
2,11,4,0
2,12,10,0
2,13,4,0
2,14,6,0
2,15,10,0
2,16,5,0
2,17,2,0
2,18,1,0
2,19,0,0
2,20,3,0
2,22,11,0
2,23,3,0
2,24,2,0
2,25,9,0
2,26,11,0
2,27,14,0
2,28,9,0
2,29,9,0
2,30,0,0
2,31,9,0
2,33,11,0
2,34,9,0
2,35,6,0
2,36,0,0
3,0,4,0
3,1,7,0
3,2,4,0
3,3,12,0
3,4,10,0
3,5,0,0
3,6,0,0
3,7,14,0
3,8,5,0
3,9,9,0
3,10,4,0
3,11,4,0
3,12,10,0
3,13,4,0
3,14,10,0
3,15,14,0
3,16,9,0
3,17,2,0
3,18,1,0
3,19,6,0
3,20,2,0
3,22,11,0
3,23,3,0
3,24,10,0
3,25,9,0
3,26,14,0
3,27,14,0
3,28,9,0
3,29,9,0
3,30,0,0
3,31,9,0
3,33,11,0
3,34,8,0
3,35,6,0
3,36,0,0
4,0,1,0
4,1,7,0
4,2,4,0
4,3,12,0
