seed,condition,macro_auroc,macro_auprc,worst_auroc,routing_cos_vs_base,query_head,ckpt_tag
0,both correct,0.8020402090638431,0.2433425990365795,0.6646133604449493,1.0,True,(none)
0,gate shuffled,0.8010883965593173,0.24229011819581603,0.6684707852401173,0.9417043924331665,True,(none)
0,readout shuffled,0.6350699027969717,0.1217897755965263,0.3096704742539322,1.0,True,(none)
0,both shuffled,0.6373962977819876,0.12391808469047723,0.3036301656599486,0.9417043924331665,True,(none)
1,both correct,0.7972453975581874,0.23035080664492613,0.6536989414508702,1.0,True,(none)
1,gate shuffled,0.7950298327518085,0.22899377384074598,0.6513665450630943,0.9677155017852783,True,(none)
1,readout shuffled,0.6813858903656939,0.1491885737304934,0.31085595666699106,1.0,True,(none)
1,both shuffled,0.6789878059533311,0.14951260656349077,0.31007751937984496,0.9677155017852783,True,(none)
2,both correct,0.7961479662877355,0.2396518876146814,0.6627093144950288,1.0,True,(none)
2,gate shuffled,0.797255946603653,0.24288825455887433,0.6656599485676694,0.9457788467407227,True,(none)
2,readout shuffled,0.5844115138818761,0.12355460014088361,0.34175587584474615,1.0,True,(none)
2,both shuffled,0.5829352162487446,0.12219916601386518,0.3331738532384427,0.9457788467407227,True,(none)
