seed,variant,routing_cos_vs_base,routing_cos_min
0,para:name,0.9890527725219727,0.9294676184654236
0,para:term,0.9937540292739868,0.9294676184654236
0,para:sentence,1.0,0.9999998807907104
0,para:question,0.9870111346244812,0.9419101476669312
0,para:definition,0.9847022294998169,0.8417918086051941
0,shuffled,0.9369931817054749,0.7423755526542664
0,counterfactual,0.9301635026931763,0.7854478359222412
1,para:name,0.9798097610473633,0.824048638343811
1,para:term,0.986328661441803,0.824048638343811
1,para:sentence,1.0,0.9999998807907104
1,para:question,0.9790008068084717,0.8760102391242981
1,para:definition,0.9744604825973511,0.831356406211853
1,shuffled,0.9317338466644287,0.8101400136947632
1,counterfactual,0.9143586158752441,0.6479073166847229
2,para:name,0.9899688959121704,0.9377113580703735
2,para:term,0.9950917363166809,0.9746341705322266
2,para:sentence,1.0,0.9999998211860657
2,para:question,0.987936794757843,0.9540793299674988
2,para:definition,0.9822010397911072,0.8482006192207336
2,shuffled,0.9316797852516174,0.7869853377342224
2,counterfactual,0.932645857334137,0.8532364964485168
