seed,delta,finding,n_pos_test,n_pos_train,subset,k,train_lcb,test_delta,test_lcb,kept_promise
0,0.005,Cerebral infarction,42,339,T2ax+FLAIRax+T2cor,3,-0.003249438673387081,-0.004452768804908727,-0.019198153267920858,True
0,0.01,Cerebral infarction,42,339,T2ax+FLAIRax+T2cor,3,-0.003249438673387081,-0.004452768804908727,-0.019198153267920858,True
0,0.02,Cerebral infarction,42,339,FLAIRax+T2cor,2,-0.011071351681055832,-0.007946667618941071,-0.02642722133178127,True
0,0.005,Demyelinating disease of central nervous system,21,294,T2ax+FLAIRax,2,0.0070618159105147625,-0.014921367774839505,-0.060155019884651065,False
0,0.01,Demyelinating disease of central nervous system,21,294,T2ax+FLAIRax,2,0.0070618159105147625,-0.014921367774839505,-0.060155019884651065,False
0,0.02,Demyelinating disease of central nervous system,21,294,FLAIRax,1,-0.016177076898388033,-0.017912586795803823,-0.09777096163280763,True
0,0.005,Lacunar infarct,21,189,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
0,0.01,Lacunar infarct,21,189,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
0,0.02,Lacunar infarct,21,189,T1ax,1,-0.018209222269902653,-0.05055394090830875,-0.09880103055370978,False
0,0.005,Gliosis,451,3854,T2ax+FLAIRax,2,-0.004241712772998639,-0.0008116259685474126,-0.009804093747743929,True
0,0.01,Gliosis,451,3854,T2ax+FLAIRax,2,-0.004241712772998639,-0.0008116259685474126,-0.009804093747743929,True
0,0.02,Gliosis,451,3854,FLAIRax,1,-0.011121449110582793,-0.0021316333032545967,-0.013700251371802242,True
0,0.005,Cerebral atrophy,213,2012,T2ax+FLAIRax,2,-0.0033057802521345224,0.00044647458091809475,-0.004017763151177367,True
0,0.01,Cerebral atrophy,213,2012,T2ax,1,-0.0059684237754127675,-0.0029218789914824007,-0.008589856904493886,True
0,0.02,Cerebral atrophy,213,2012,T2ax,1,-0.0059684237754127675,-0.0029218789914824007,-0.008589856904493886,True
0,0.005,Encephalomalacia,25,248,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
0,0.01,Encephalomalacia,25,248,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
0,0.02,Encephalomalacia,25,248,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
0,0.005,Arachnoid cyst,69,572,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
0,0.01,Arachnoid cyst,69,572,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
0,0.02,Arachnoid cyst,69,572,T2ax+FLAIRax+T2cor,3,-0.018619704994946296,0.0008967091929425275,-0.02090547054896418,True
