seed,delta,finding,n_pos_test,n_pos_train,subset,k,train_lcb,test_delta,test_lcb,kept_promise
0,0.005,Cerebral infarction,26,424,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
0,0.01,Cerebral infarction,26,424,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
0,0.02,Cerebral infarction,26,424,T2ax+FLAIRax+FLAIRsag,3,-0.014950487439391398,-0.005597811808624422,-0.03641526107047689,True
0,0.005,Cerebral hemorrhage,20,294,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
0,0.01,Cerebral hemorrhage,20,294,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
0,0.02,Cerebral hemorrhage,20,294,FLAIRax+FLAIRsag+SWIax,3,-0.019420752386492508,-0.025939410880111025,-0.05738703134475043,False
0,0.005,Gliosis,284,3534,T2ax+FLAIRax+FLAIRsag+SWIax,4,-0.0031478634216685814,-0.0008485510634471055,-0.008311880535189048,True
0,0.01,Gliosis,284,3534,FLAIRax+FLAIRsag,2,-0.009249841420885434,0.00728562835352186,-0.009289696410451964,True
0,0.02,Gliosis,284,3534,FLAIRax,1,-0.017300993325463532,-0.006777392867516585,-0.025529988055731433,True
0,0.005,Cerebral atrophy,102,1310,FLAIRax+FLAIRsag,2,-0.0026849659145498682,-0.011505229427475607,-0.020566525012273584,False
0,0.01,Cerebral atrophy,102,1310,FLAIRax+FLAIRsag,2,-0.0026849659145498682,-0.011505229427475607,-0.020566525012273584,False
0,0.02,Cerebral atrophy,102,1310,FLAIRax,1,-0.010297306819755069,0.004977623943289861,-0.007051315199163172,True
0,0.005,Arachnoid cyst,43,389,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
0,0.01,Arachnoid cyst,43,389,T1ax+T2ax+FLAIRax+FLAIRsag,4,-0.007838713447329382,-0.04466172306836272,-0.0716177240136527,False
0,0.02,Arachnoid cyst,43,389,T1ax+FLAIRax+FLAIRsag,3,-0.013880953906870707,-0.07609420725701628,-0.11820722378652276,False
0,0.005,Empty sella syndrome,45,351,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
0,0.01,Empty sella syndrome,45,351,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
0,0.02,Empty sella syndrome,45,351,T2ax+FLAIRax+FLAIRsag,3,-0.0181185526967215,-0.026587211310571564,-0.07091750626751515,False
0,0.005,Cyst of pineal gland,21,103,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
0,0.01,Cyst of pineal gland,21,103,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
0,0.02,Cyst of pineal gland,21,103,T2ax+FLAIRax,2,-0.011194341071323359,-0.039314769552179225,-0.1377070027248801,False
0,0.005,Cerebral edema,43,533,T1ax+FLAIRax+FLAIRsag,3,-0.004140110311504492,0.01224815254444004,-0.012908540197926588,True
0,0.01,Cerebral edema,43,533,FLAIRax+SWIax,2,-0.006956494503947219,0.011295380988574005,-0.019552622954758157,True
0,0.02,Cerebral edema,43,533,FLAIRax,1,-0.012240184655007489,0.03205464561815405,-0.0054597121893183035,True
0,0.005,Mastoiditis,22,265,T2ax+FLAIRax+FLAIRsag+SWIax,4,-0.003936003090100207,0.04947486293308013,0.0011640466084608622,True
