finding,n_pos,sequence,shapley,shapley_sd_seed
Cerebral infarction,339,T1ax,0.07635402877876941,0.0020905841019599725
Cerebral infarction,339,T2ax,0.08535792436935118,0.0034456964796554185
Cerebral infarction,339,FLAIRax,0.10046168936847984,0.0024169915500409384
Cerebral infarction,339,T2cor,0.08346556590095706,0.002625607945123994
Cerebral hemorrhage,92,T1ax,0.06956841561970638,0.00638705897218979
Cerebral hemorrhage,92,T2ax,0.06350947606891899,0.017223980029094393
Cerebral hemorrhage,92,FLAIRax,0.06165271454843465,0.006478608701597916
Cerebral hemorrhage,92,T2cor,0.057593880870035724,0.014715133490126571
Metastatic malignant neoplasm to brain,50,T1ax,0.03990760214995777,0.005693855596323705
Metastatic malignant neoplasm to brain,50,T2ax,0.062457576084416426,0.007732859355746906
Metastatic malignant neoplasm to brain,50,FLAIRax,0.1280733969692067,0.00399196705281266
Metastatic malignant neoplasm to brain,50,T2cor,0.04813689802081645,0.013526740872379567
Intracranial meningioma,148,T1ax,0.07344262529408076,0.0018009450924779027
Intracranial meningioma,148,T2ax,0.03305051780008975,0.0016810068138991322
Intracranial meningioma,148,FLAIRax,0.04690739081792162,0.0031857126390313533
Intracranial meningioma,148,T2cor,0.044979567079310216,0.013780413783826039
Demyelinating disease of central nervous system,294,T1ax,0.03440878492380979,0.002722940796796124
Demyelinating disease of central nervous system,294,T2ax,0.09813991545344547,0.004318687369958505
Demyelinating disease of central nervous system,294,FLAIRax,0.10709240762010548,0.0014370926274043883
Demyelinating disease of central nervous system,294,T2cor,0.06516178636828555,0.0015203143104977812
Herniation of nucleus pulposus,29,T1ax,0.0732606623281269,0.007002881858664365
Herniation of nucleus pulposus,29,T2ax,0.017759098727306022,0.009087381481046543
Herniation of nucleus pulposus,29,FLAIRax,0.09002616985404847,0.008773017800570455
Herniation of nucleus pulposus,29,T2cor,-0.022442784771979123,0.008572906476257445
Spinal cord compression,22,T1ax,0.02363500827483878,0.015058000053701179
Spinal cord compression,22,T2ax,0.06681886459428833,0.0047387986573647015
Spinal cord compression,22,FLAIRax,-0.05771012179910484,0.014924116713612885
