finding,n_pos,sequence,shapley,shapley_sd_seed
Cerebral infarction,424,T1ax,0.05756143978806103,0.0014987703304250716
Cerebral infarction,424,T2ax,0.06956800435719306,0.0034074940625808026
Cerebral infarction,424,FLAIRax,0.07422862434034956,0.0005064953174913892
Cerebral infarction,424,FLAIRsag,0.06338896783540232,0.0007950059287580734
Cerebral infarction,424,SWIax,0.05155357213397276,0.001479352492171949
Cerebral hemorrhage,294,T1ax,0.06272115842221664,0.0007236765671298475
Cerebral hemorrhage,294,T2ax,0.05252337456700575,0.0029267931257392597
Cerebral hemorrhage,294,FLAIRax,0.07385177135659916,0.0033131235370232165
Cerebral hemorrhage,294,FLAIRsag,0.06765212605905457,0.002386966414493612
Cerebral hemorrhage,294,SWIax,0.07517866581735452,0.002815822533293938
Metastatic malignant neoplasm to brain,373,T1ax,0.06772323212508267,0.00038405173597568437
Metastatic malignant neoplasm to brain,373,T2ax,0.07080161122108422,0.0017789842083657623
Metastatic malignant neoplasm to brain,373,FLAIRax,0.086345376045157,0.0007727247544625981
Metastatic malignant neoplasm to brain,373,FLAIRsag,0.09394397862757571,0.0030428647381633284
Metastatic malignant neoplasm to brain,373,SWIax,0.0806800744646491,0.0017655050658243198
Intracranial meningioma,181,T1ax,0.058056837013242664,0.00044507210664426235
Intracranial meningioma,181,T2ax,0.04309207843240742,0.006999777496558641
Intracranial meningioma,181,FLAIRax,0.05305103047057152,0.003946273028000912
Intracranial meningioma,181,FLAIRsag,0.04562026683640816,0.002241285873895045
Intracranial meningioma,181,SWIax,0.045350031200129426,0.006159694548975044
Demyelinating disease of central nervous system,250,T1ax,0.06311545566128306,0.0036891084813864125
Demyelinating disease of central nervous system,250,T2ax,0.08965453230765487,0.003608255796828231
Demyelinating disease of central nervous system,250,FLAIRax,0.0845066110078141,0.003203758652818228
Demyelinating disease of central nervous system,250,FLAIRsag,0.050483903897334925,0.001492646587721757
Demyelinating disease of central nervous system,250,SWIax,0.05200135501355015,0.0034637262942370036
Herniation of nucleus pulposus,138,T1ax,0.04350016659837438,0.003712146080021628
Herniation of nucleus pulposus,138,T2ax,0.03827735105974836,0.0021461152455119104
Herniation of nucleus pulposus,138,FLAIRax,0.03891930940406499,0.0019021974443005187
Herniation of nucleus pulposus,138,FLAIRsag,0.06490035851274194,0.00854185249785881
Herniation of nucleus pulposus,138,SWIax,0.03446613050698974,0.0035099253882200413
Spinal cord compression,74,T1ax,0.025885936639504625,0.005722105375519772
Spinal cord compression,74,T2ax,-0.0015589014274495858,0.01122977230091909
Spinal cord compression,74,FLAIRax,0.005835800120326369,0.008923082258330946
Spinal cord compression,74,FLAIRsag,0.021624143190298373,0.01466399158274187
Spinal cord compression,74,SWIax,0.037654190299323896,0.003964688487256856
Lacunar infarct,213,T1ax,0.05833715903912137,0.0028737636713352965
Lacunar infarct,213,T2ax,0.06566470679154407,0.004083640255236382
Lacunar infarct,213,FLAIRax,0.07149858137772007,0.0024234363824651058
Lacunar infarct,213,FLAIRsag,0.06805183781621382,0.0038437893393332757
Lacunar infarct,213,SWIax,0.05877614208611629,0.001639111882275911
Silent micro-hemorrhage of brain,195,T1ax,0.04343420531776693,0.003299348038453398
Silent micro-hemorrhage of brain,195,T2ax,0.04131222010978478,0.0018756731774126458
Silent micro-hemorrhage of brain,195,FLAIRax,0.04083153992971344,0.005030049157564751
Silent micro-hemorrhage of brain,195,FLAIRsag,0.03997837229572388,0.005377506401404752
Silent micro-hemorrhage of brain,195,SWIax,0.09037090777197325,0.0029191310387317033
Cavernous hemangioma,78,T1ax,0.024026732149383792,0.00804699241911478
Cavernous hemangioma,78,T2ax,-0.014993959441087718,0.006055641554305016
Cavernous hemangioma,78,FLAIRax,-0.02246486917984501,0.009243673886038596
Cavernous hemangioma,78,FLAIRsag,0.0007180886448197427,0.006570621620217527
Cavernous hemangioma,78,SWIax,0.08044480687797918,0.0023695574674404848
Subdural intracranial hemorrhage,44,T1ax,0.055654746469940564,0.0045128066632736585
Subdural intracranial hemorrhage,44,T2ax,0.04903726942113401,0.005508561852502444
Subdural intracranial hemorrhage,44,FLAIRax,0.06663020190135391,0.0075390220544139085
Subdural intracranial hemorrhage,44,FLAIRsag,0.1121037900666738,0.012013887024734025
Subdural intracranial hemorrhage,44,SWIax,0.081587913577966,0.010404837900024255
Gliosis,3534,T1ax,0.0542615020387778,0.0012272091868539181
Gliosis,3534,T2ax,0.05825297290300343,0.0013626076389432191
Gliosis,3534,FLAIRax,0.06325567401028918,0.00041963820484262334
Gliosis,3534,FLAIRsag,0.056723760107479544,0.0013936405574803707
Gliosis,3534,SWIax,0.0558668452175561,0.00010714671094211953
Cerebral atrophy,1310,T1ax,0.08413016874230118,0.00042652936411660295
Cerebral atrophy,1310,T2ax,0.08461626470365713,9.309260621332671e-05
Cerebral atrophy,1310,FLAIRax,0.08726826803382255,0.0003003282773702283
Cerebral atrophy,1310,FLAIRsag,0.08654964497368638,0.0008305132024117701
Cerebral atrophy,1310,SWIax,0.08063003096478787,0.00019470894134114626
Encephalomalacia,236,T1ax,0.04868918651142542,0.0024707342170437727
Encephalomalacia,236,T2ax,0.04326131953840589,0.003004906154132441
Encephalomalacia,236,FLAIRax,0.06059189639531531,0.002739388387971447
Encephalomalacia,236,FLAIRsag,0.06558005339786159,0.002320474484218209
Encephalomalacia,236,SWIax,0.04000668681528974,0.0013944769920685488
Arachnoid cyst,389,T1ax,0.04161123096009504,0.0052398422775426275
Arachnoid cyst,389,T2ax,0.056130599894603984,0.0009881270898854108
Arachnoid cyst,389,FLAIRax,0.061458669199166434,0.002890315279272968
Arachnoid cyst,389,FLAIRsag,0.0426350428087374,0.0023566873721900176
Arachnoid cyst,389,SWIax,0.02435750967769441,0.005507686936052893
Empty sella syndrome,351,T1ax,0.048937927391563545,0.0009991190435103213
Empty sella syndrome,351,T2ax,0.060910921555690424,0.0033669020033810252
Empty sella syndrome,351,FLAIRax,0.05503527329358638,0.005238154578018698
Empty sella syndrome,351,FLAIRsag,0.05017367511284785,0.0029419408529757335
Empty sella syndrome,351,SWIax,0.01837983977413554,0.0012069738967249914
Intracranial aneurysm,61,T1ax,0.033575746964632704,0.0034200001911366715
Intracranial aneurysm,61,T2ax,0.06527133657657573,0.004054687175139543
Intracranial aneurysm,61,FLAIRax,0.023049994651851122,0.008921740692181502
Intracranial aneurysm,61,FLAIRsag,0.028442402388475483,0.0036002820560493373
Intracranial aneurysm,61,SWIax,-0.0028421214740279193,0.002179858731493341
Chiari malformation,56,T1ax,0.050437280379646766,0.008434224430059626
Chiari malformation,56,T2ax,0.08277172892112111,0.005427724889991473
Chiari malformation,56,FLAIRax,0.055677462382975385,0.005169886332189679
Chiari malformation,56,FLAIRsag,0.011074396155591928,0.0050945786800474175
Chiari malformation,56,SWIax,0.026484291460327658,0.011896669733714654
