finding,n_pos,sequence,shapley,shapley_sd_seed
Cerebral infarction,424,T1ax,0.06951683521250578,0.0011174942668861784
Cerebral infarction,424,T2ax,0.08340208648447377,0.003452581607043115
Cerebral infarction,424,FLAIRax,0.08623686382024459,0.000501732640151513
Cerebral infarction,424,FLAIRsag,0.07570564143837626,0.0008900039355722973
Cerebral hemorrhage,294,T1ax,0.07893397495276824,0.0019350476507828255
Cerebral hemorrhage,294,T2ax,0.0690019178471599,0.002743448169051756
Cerebral hemorrhage,294,FLAIRax,0.0923406503434921,0.0035309004438788265
Cerebral hemorrhage,294,FLAIRsag,0.08296223692735084,0.002876237878996004
Metastatic malignant neoplasm to brain,373,T1ax,0.08736132825013361,0.00045292176840068467
Metastatic malignant neoplasm to brain,373,T2ax,0.08796736904122637,0.0017591037416991122
Metastatic malignant neoplasm to brain,373,FLAIRax,0.10677870875101635,0.0003241047942917866
Metastatic malignant neoplasm to brain,373,FLAIRsag,0.11479115519280954,0.0035209143817922835
Intracranial meningioma,181,T1ax,0.06934211275121703,0.00018032842595546602
Intracranial meningioma,181,T2ax,0.05536192916491076,0.008912441970063049
Intracranial meningioma,181,FLAIRax,0.06248294888269953,0.0033733190478770765
Intracranial meningioma,181,FLAIRsag,0.06233671077066854,0.0030973899564890155
Demyelinating disease of central nervous system,250,T1ax,0.0768742207153013,0.003869771827261102
Demyelinating disease of central nervous system,250,T2ax,0.11015492119046748,0.004130100653368405
Demyelinating disease of central nervous system,250,FLAIRax,0.10123805704424758,0.003420573227628326
Demyelinating disease of central nervous system,250,FLAIRsag,0.062492362098508884,0.002699430136046383
Herniation of nucleus pulposus,138,T1ax,0.05446370547843313,0.0025718955824741625
Herniation of nucleus pulposus,138,T2ax,0.03982534139617267,0.004060054959865829
Herniation of nucleus pulposus,138,FLAIRax,0.047366614729732213,0.0025949226043676184
Herniation of nucleus pulposus,138,FLAIRsag,0.07961094712263288,0.008443638187773153
Spinal cord compression,74,T1ax,0.032147462947441495,0.005532167047805446
Spinal cord compression,74,T2ax,-0.0017348473057240351,0.013061899998776756
Spinal cord compression,74,FLAIRax,0.01018637212166565,0.009268779842504987
Spinal cord compression,74,FLAIRsag,0.029863711227054956,0.015145685165545817
Lacunar infarct,213,T1ax,0.07204959666008641,0.0013782144486754926
Lacunar infarct,213,T2ax,0.08439087177791188,0.003363814838687742
Lacunar infarct,213,FLAIRax,0.07886776298069219,0.0031394050862832766
Lacunar infarct,213,FLAIRsag,0.07777994420975948,0.004115861980957138
Silent micro-hemorrhage of brain,195,T1ax,0.05647932877765447,0.0034747780431063206
Silent micro-hemorrhage of brain,195,T2ax,0.06047576922767182,0.001511680085841728
Silent micro-hemorrhage of brain,195,FLAIRax,0.04863541807986252,0.006542467723100168
Silent micro-hemorrhage of brain,195,FLAIRsag,0.05789768183223284,0.005646729615441596
Cavernous hemangioma,78,T1ax,0.03523849885229379,0.007515527172887137
Cavernous hemangioma,78,T2ax,-0.00853288205005865,0.00769937758465497
Cavernous hemangioma,78,FLAIRax,-0.017090480690856426,0.009815936787298161
Cavernous hemangioma,78,FLAIRsag,0.005189356229345518,0.005209768731875917
Subdural intracranial hemorrhage,44,T1ax,0.07055881442513695,0.0063533218302423665
Subdural intracranial hemorrhage,44,T2ax,0.06665917788430892,0.007245968585872041
Subdural intracranial hemorrhage,44,FLAIRax,0.0808412029699066,0.009915088000423221
Subdural intracranial hemorrhage,44,FLAIRsag,0.13529937167157724,0.010434292697366954
Gliosis,3534,T1ax,0.06721848060733705,0.001281777756234847
Gliosis,3534,T2ax,0.07170109091345803,0.0015230410269173294
Gliosis,3534,FLAIRax,0.07620382986323782,0.0006084303518110009
Gliosis,3534,FLAIRsag,0.06980567404409628,0.0017447678351680412
Cerebral atrophy,1310,T1ax,0.10355577082636182,0.00034002809102771377
Cerebral atrophy,1310,T2ax,0.10520666390901771,0.0005077521565469243
Cerebral atrophy,1310,FLAIRax,0.10786123941838792,0.0006867314647204558
Cerebral atrophy,1310,FLAIRsag,0.10719566017622296,0.0009009004103545106
Encephalomalacia,236,T1ax,0.06243073075314964,0.0032805266139159287
Encephalomalacia,236,T2ax,0.05443484366770341,0.003339104428202312
Encephalomalacia,236,FLAIRax,0.07115695915178759,0.004241647465045327
Encephalomalacia,236,FLAIRsag,0.07602671959973407,0.003076200356623963
Arachnoid cyst,389,T1ax,0.05161349391066917,0.005321367211374997
Arachnoid cyst,389,T2ax,0.06629226627639934,0.0031280907192948065
Arachnoid cyst,389,FLAIRax,0.07276907603729647,0.002166768672249164
Arachnoid cyst,389,FLAIRsag,0.05025169476233926,0.0034134915047613398
Empty sella syndrome,351,T1ax,0.051495517313981796,0.0021037857066432825
Empty sella syndrome,351,T2ax,0.07191723086221602,0.003586561948898215
Empty sella syndrome,351,FLAIRax,0.06415294714497201,0.00407831862252018
Empty sella syndrome,351,FLAIRsag,0.05482992683925366,0.002843537025927467
Intracranial aneurysm,61,T1ax,0.044683930257015635,0.007693786786340536
Intracranial aneurysm,61,T2ax,0.08119041400918321,0.0055108640340493795
Intracranial aneurysm,61,FLAIRax,0.03699264805198557,0.00736008577185076
Intracranial aneurysm,61,FLAIRsag,0.026043191572254293,0.00280257223920381
Chiari malformation,56,T1ax,0.055188326312282106,0.010915802603493351
Chiari malformation,56,T2ax,0.09177424026445392,0.005229409765566615
Chiari malformation,56,FLAIRax,0.0669320651665757,0.008495453559423358
Chiari malformation,56,FLAIRsag,0.009507717843840269,0.008164269586193136
Schwannoma,38,T1ax,0.05307334008457809,0.014058436709489626
Schwannoma,38,T2ax,0.031421691811927825,0.019102526938740982
Schwannoma,38,FLAIRax,0.07627597744584157,0.0034511743095818784
Schwannoma,38,FLAIRsag,0.06058027104997483,0.0138672319195112
Cyst of pineal gland,103,T1ax,0.011064140838822872,0.0021035651567441133
Cyst of pineal gland,103,T2ax,0.034575084505848355,0.009105219097970393
Cyst of pineal gland,103,FLAIRax,0.033665028222805156,0.006308324707877932
Cyst of pineal gland,103,FLAIRsag,0.039628656162511336,0.010550428248562276
Hemangioma of vertebral column,31,T1ax,0.028185463771411762,0.00990338941194364
Hemangioma of vertebral column,31,T2ax,0.06051713094726716,0.013107063871323137
Hemangioma of vertebral column,31,FLAIRax,-0.002443388164922023,0.018646667523404898
Hemangioma of vertebral column,31,FLAIRsag,0.00705097209109657,0.009750170347901935
Cerebral edema,533,T1ax,0.09414736613506088,0.0019165816531709647
Cerebral edema,533,T2ax,0.09267475063186122,0.0012152942744431995
Cerebral edema,533,FLAIRax,0.11102594336848039,0.00038102995985168426
Cerebral edema,533,FLAIRsag,0.10256331435514392,0.003185468694258022
Spinal stenosis,43,T1ax,0.06165105224612749,0.011669190303071206
Spinal stenosis,43,T2ax,0.0035121391756138542,0.015175973614278837
Spinal stenosis,43,FLAIRax,-0.00100567922729347,0.016870922003421676
Spinal stenosis,43,FLAIRsag,0.027284679904378925,0.00673764086879016
Mastoiditis,265,T1ax,0.01188931079434898,0.0054333493839183395
Mastoiditis,265,T2ax,0.09602495351460799,0.004663962810131573
Mastoiditis,265,FLAIRax,0.06896674617873538,0.005560823320864353
Mastoiditis,265,FLAIRsag,0.05405765911141245,0.003587142539667423
Chronic mastoiditis,211,T1ax,0.09202362235612432,0.003485085223502368
Chronic mastoiditis,211,T2ax,0.08373437153925149,0.005747417000496427
Chronic mastoiditis,211,FLAIRax,0.06431125290466305,0.0010064411338686192
Chronic mastoiditis,211,FLAIRsag,0.046758680496412776,0.0033938106505389987
