C,seed,subset,subset_bits,k,finding,finding_idx,n_pos,n,auroc,auprc
0.1,0,T2cor,0001,1,Cerebral infarction,0,339,12412,0.8170786027086453,0.15712440061202623
0.1,0,T2cor,0001,1,Cerebral hemorrhage,1,92,12412,0.7599625917560701,0.03841927879144452
0.1,0,T2cor,0001,1,Metastatic malignant neoplasm to brain,2,50,12412,0.7169729817181686,0.031532398400586165
0.1,0,T2cor,0001,1,Intracranial meningioma,3,148,12412,0.6873165362035225,0.02661226634735417
0.1,0,T2cor,0001,1,Demyelinating disease of central nervous system,4,294,12412,0.7738171023484488,0.175314403102685
0.1,0,T2cor,0001,1,Herniation of nucleus pulposus,5,29,12412,0.515913084401028,0.004131761653437
0.1,0,T2cor,0001,1,Spinal cord compression,6,22,12412,0.6017792941521755,0.0037003758382272963
0.1,0,T2cor,0001,1,Lacunar infarct,7,189,12412,0.8276456000419021,0.11725943304559087
0.1,0,T2cor,0001,1,Silent micro-hemorrhage of brain,8,78,12412,0.8553903531202056,0.06510411255510358
0.1,0,T2cor,0001,1,Cavernous hemangioma,9,67,12412,0.5556095585257188,0.009948174145357723
0.1,0,T2cor,0001,1,Subdural intracranial hemorrhage,10,26,12412,0.7944515520003975,0.13542920358111915
0.1,0,T2cor,0001,1,Gliosis,11,3854,12412,0.7933865568598554,0.6322782662081112
0.1,0,T2cor,0001,1,Cerebral atrophy,12,2012,12412,0.9451921165315799,0.809760978980726
0.1,0,T2cor,0001,1,Encephalomalacia,13,248,12412,0.7860861240466315,0.12450980920413274
0.1,0,T2cor,0001,1,Arachnoid cyst,14,572,12412,0.67299143002268,0.11731893260568654
0.1,0,T2cor,0001,1,Empty sella syndrome,15,670,12412,0.7593318537613414,0.16546404802996514
0.1,0,T2cor,0001,1,Intracranial aneurysm,16,32,12412,0.4454866720516963,0.0022230054826548693
0.1,0,T2cor,0001,1,Chiari malformation,17,62,12412,0.801853206216534,0.036216688249757836
0.1,0,T2cor,0001,1,Cyst of pineal gland,19,244,12412,0.7024704007285975,0.040390519674385554
0.1,0,T2cor,0001,1,Rathke's pouch cyst,21,47,12412,0.6352935103371735,0.007439720301277189
0.1,0,T2cor,0001,1,Cerebral edema,22,187,12412,0.8257043185372309,0.26973644637657357
0.1,0,T2cor,0001,1,Spinal stenosis,23,26,12412,0.7650573227837881,0.010789266814139668
0.1,0,T2cor,0001,1,Mastoiditis,24,281,12412,0.6965628191178683,0.06081828642874951
0.1,0,T2cor,0001,1,Chronic mastoiditis,25,360,12412,0.7535842368256075,0.09772946123788412
0.1,0,T2cor,0001,1,Ventriculomegaly,26,1204,12412,0.908853444146445,0.6214103432901631
