C,seed,subset,subset_bits,k,finding,finding_idx,n_pos,n,auroc,auprc
0.1,0,FLAIRsag,0001,1,Cerebral infarction,0,424,9393,0.7916678938145436,0.20442592133066423
0.1,0,FLAIRsag,0001,1,Cerebral hemorrhage,1,294,9393,0.8012131108075717,0.16992604726479496
0.1,0,FLAIRsag,0001,1,Metastatic malignant neoplasm to brain,2,373,9393,0.8932119864703398,0.27922898942308333
0.1,0,FLAIRsag,0001,1,Intracranial meningioma,3,181,9393,0.7076333295749239,0.04414497842462173
0.1,0,FLAIRsag,0001,1,Demyelinating disease of central nervous system,4,250,9393,0.7763911188887674,0.1626821154572727
0.1,0,FLAIRsag,0001,1,Herniation of nucleus pulposus,5,138,9393,0.743036666431776,0.038437962549865465
0.1,0,FLAIRsag,0001,1,Spinal cord compression,6,74,9393,0.6459413056150903,0.014496515701930307
0.1,0,FLAIRsag,0001,1,Lacunar infarct,7,213,9393,0.8140594474618225,0.11198144159913773
0.1,0,FLAIRsag,0001,1,Silent micro-hemorrhage of brain,8,195,9393,0.7428281510473291,0.06499216696501393
0.1,0,FLAIRsag,0001,1,Cavernous hemangioma,9,78,9393,0.5440852223460919,0.009683325282961373
0.1,0,FLAIRsag,0001,1,Subdural intracranial hemorrhage,10,44,9393,0.8998094108266319,0.07687634540538334
0.1,0,FLAIRsag,0001,1,Gliosis,11,3534,9393,0.7736523932098718,0.6624242720721233
0.1,0,FLAIRsag,0001,1,Cerebral atrophy,12,1310,9393,0.9190195613638272,0.7201764557028709
0.1,0,FLAIRsag,0001,1,Encephalomalacia,13,236,9393,0.7850662547685108,0.12868186508983387
0.1,0,FLAIRsag,0001,1,Arachnoid cyst,14,389,9393,0.6734002254353678,0.09256181835290177
0.1,0,FLAIRsag,0001,1,Empty sella syndrome,15,351,9393,0.6822933307118223,0.07888040769188231
0.1,0,FLAIRsag,0001,1,Intracranial aneurysm,16,61,9393,0.6298915067492077,0.012724155800306804
0.1,0,FLAIRsag,0001,1,Chiari malformation,17,56,9393,0.6506391621658838,0.012006740359008724
0.1,0,FLAIRsag,0001,1,Schwannoma,18,38,9393,0.6920672874061155,0.007813707582490493
0.1,0,FLAIRsag,0001,1,Cyst of pineal gland,19,103,9393,0.6233114216142214,0.01762834817392597
