C,seed,subset,subset_bits,k,finding,finding_idx,n_pos,n,auroc,auprc
0.1,0,FLAIRcor,0000001,1,Cerebral infarction,0,161,2512,0.75431097114747,0.2096816135239845
0.1,0,FLAIRcor,0000001,1,Cerebral hemorrhage,1,127,2512,0.7822413707720497,0.2325160463134541
0.1,0,FLAIRcor,0000001,1,Metastatic malignant neoplasm to brain,2,144,2512,0.7709535707582582,0.22898587685013255
0.1,0,FLAIRcor,0000001,1,Intracranial meningioma,3,62,2512,0.6758986175115207,0.06372738584823573
0.1,0,FLAIRcor,0000001,1,Demyelinating disease of central nervous system,4,66,2512,0.6847543298892441,0.06366444193016407
0.1,0,FLAIRcor,0000001,1,Herniation of nucleus pulposus,5,42,2512,0.6335068440331598,0.028401623743405567
0.1,0,FLAIRcor,0000001,1,Spinal cord compression,6,23,2512,0.6162418991388194,0.014840172228717927
0.1,0,FLAIRcor,0000001,1,Lacunar infarct,7,86,2512,0.8315535190475278,0.16025779273727156
0.1,0,FLAIRcor,0000001,1,Silent micro-hemorrhage of brain,8,77,2512,0.6570735219605855,0.06977652068504486
0.1,0,FLAIRcor,0000001,1,Gliosis,11,1027,2512,0.7254223507388065,0.6554299191729522
0.1,0,FLAIRcor,0000001,1,Cerebral atrophy,12,324,2512,0.8841774437447808,0.602098549459296
0.1,0,FLAIRcor,0000001,1,Encephalomalacia,13,84,2512,0.6549286106534871,0.1416257472001502
0.1,0,FLAIRcor,0000001,1,Arachnoid cyst,14,69,2512,0.6393481523667148,0.06422448323357573
0.1,0,FLAIRcor,0000001,1,Empty sella syndrome,15,72,2512,0.714042577413479,0.06317937134984498
0.1,0,FLAIRcor,0000001,1,Cyst of pineal gland,19,27,2512,0.6252477829942619,0.02068071706320768
0.1,0,FLAIRcor,0000001,1,Cerebral edema,22,197,2512,0.8282356294745153,0.41348245151493684
0.1,0,FLAIRcor,0000001,1,Mastoiditis,24,62,2512,0.6272481895984201,0.05247227173135263
0.1,0,FLAIRcor,0000001,1,Chronic mastoiditis,25,25,2512,0.6503578608765581,0.018424413935544316
0.1,0,FLAIRcor,0000001,1,Ventriculomegaly,26,304,2512,0.8645773741418764,0.4964640889051664
0.1,0,FLAIRcor,0000001,1,Cerebellar degeneration,27,94,2512,0.7469730566847931,0.12187321843231042
0.1,0,FLAIRcor,0000001,1,Mega cisterna magna,28,20,2512,0.6174157303370786,0.010904646337189596
0.1,0,FLAIRcor,0000001,1,Foraminal Spinal Stenosis,33,25,2512,0.6528990751909932,0.023656932261715873
0.1,0,T1sag,0000010,1,Cerebral infarction,0,161,2512,0.6949679137462319,0.15422263289457713
0.1,0,T1sag,0000010,1,Cerebral hemorrhage,1,127,2512,0.7310817279915482,0.1822471291181686
0.1,0,T1sag,0000010,1,Metastatic malignant neoplasm to brain,2,144,2512,0.7123774164789789,0.13461275353369884
0.1,0,T1sag,0000010,1,Intracranial meningioma,3,62,2512,0.5494009216589862,0.031965354303242294
0.1,0,T1sag,0000010,1,Demyelinating disease of central nervous system,4,66,2512,0.7726591342699275,0.11986859926455536
0.1,0,T1sag,0000010,1,Herniation of nucleus pulposus,5,42,2512,0.648582995951417,0.029022723626515527
0.1,0,T1sag,0000010,1,Spinal cord compression,6,23,2512,0.6935909305291107,0.022267773843035125
0.1,0,T1sag,0000010,1,Lacunar infarct,7,86,2512,0.7407254740313272,0.12180567496460681
0.1,0,T1sag,0000010,1,Silent micro-hemorrhage of brain,8,77,2512,0.5995413211018961,0.040476906043044436
0.1,0,T1sag,0000010,1,Gliosis,11,1027,2512,0.7025306620243329,0.6201135444905186
0.1,0,T1sag,0000010,1,Cerebral atrophy,12,324,2512,0.8482576116640711,0.5300643128344299
0.1,0,T1sag,0000010,1,Encephalomalacia,13,84,2512,0.7047197379775633,0.11619860610403245
0.1,0,T1sag,0000010,1,Arachnoid cyst,14,69,2512,0.627542757479222,0.048474105224627514
0.1,0,T1sag,0000010,1,Empty sella syndrome,15,72,2512,0.5680840163934426,0.03387126394510141
0.1,0,T1sag,0000010,1,Cyst of pineal gland,19,27,2512,0.6437439451523959,0.02636223386644572
