finding,n_pos,pair,context,synergy,synergy_sd_seed
Cerebral infarction,339,T1ax|T2ax,none,-0.3119498957546119,0.0017487928509953136
Cerebral infarction,339,T1ax|T2ax,FLAIRax,-0.0046737557928696605,0.0030275494298422244
Cerebral infarction,339,T1ax|T2ax,T2cor,-0.009934647805007302,0.004241847822829838
Cerebral infarction,339,T1ax|T2ax,FLAIRax+T2cor,-0.00021415934090233493,0.0014587590449424263
Cerebral infarction,339,T1ax|FLAIRax,none,-0.31881122059747813,0.0036570569938988093
Cerebral infarction,339,T1ax|FLAIRax,T2ax,-0.011535080635735903,0.0028080479514387925
Cerebral infarction,339,T1ax|FLAIRax,T2cor,-0.014741077325327034,0.00208850349897986
Cerebral infarction,339,T1ax|FLAIRax,T2ax+T2cor,-0.005020588861222068,0.002770077426973618
Cerebral infarction,339,T1ax|T2cor,none,-0.30300683949761203,0.0018206510688025192
Cerebral infarction,339,T1ax|T2cor,T2ax,-0.000991591548007431,0.002990626550019422
Cerebral infarction,339,T1ax|T2cor,FLAIRax,0.0010633037745390779,0.0035034910352151234
Cerebral infarction,339,T1ax|T2cor,T2ax+FLAIRax,0.005522900226506404,0.0006331289287586084
Cerebral infarction,339,T2ax|FLAIRax,none,-0.3120885964039964,0.006390605706537559
Cerebral infarction,339,T2ax|FLAIRax,T1ax,-0.004812456442254143,0.0028704016160688143
Cerebral infarction,339,T2ax|FLAIRax,T2cor,-0.013853653792917068,0.0058666214274148846
Cerebral infarction,339,T2ax|FLAIRax,T1ax+T2cor,-0.004133165328812101,0.001231681202920219
Cerebral infarction,339,T2ax|T2cor,none,-0.2994555164701524,0.004551558552292217
Cerebral infarction,339,T2ax|T2cor,T1ax,0.002559731479452173,0.00201451298049486
Cerebral infarction,339,T2ax|T2cor,FLAIRax,-0.0012205738590731114,0.004667488330596062
Cerebral infarction,339,T2ax|T2cor,T1ax+FLAIRax,0.003239022592894214,0.0033153878847565947
Cerebral infarction,339,FLAIRax|T2cor,none,-0.31296298875384515,0.004579158883571109
Cerebral infarction,339,FLAIRax|T2cor,T1ax,-0.008892845481694037,0.004163055322582426
Cerebral infarction,339,FLAIRax|T2cor,T2ax,-0.01472804614276583,0.004254877091701383
Cerebral infarction,339,FLAIRax|T2cor,T1ax+T2ax,-0.008213554368251996,0.002689577029084262
Cerebral hemorrhage,92,T1ax|T2ax,none,-0.2549598273103707,0.011058511875485979
Cerebral hemorrhage,92,T1ax|T2ax,FLAIRax,-0.015999670619235833,0.007942943838858312
Cerebral hemorrhage,92,T1ax|T2ax,T2cor,-0.00812967603049127,0.00821968878524676
