finding,pair,context,synergy,ci_lo,ci_hi,sig_pos,sig_neg
Cerebral infarction,T1ax|T2ax,FLAIRax,-0.004803466309923699,-0.01556989862554244,0.007134735762272992,False,False
Cerebral infarction,T1ax|T2ax,T2cor,-0.010220192745326014,-0.024204124526372946,0.0035887019770274716,False,False
Cerebral infarction,T1ax|T2ax,FLAIRax+T2cor,-0.0021493922722737183,-0.010229038362384526,0.00680742892482212,False,False
Cerebral infarction,T1ax|FLAIRax,T2ax,-0.015790259592281145,-0.027115812837915008,-0.005342264793572074,False,True
Cerebral infarction,T1ax|FLAIRax,T2cor,-0.015061582442739573,-0.03234647792509185,-0.0010524801347402317,False,True
Cerebral infarction,T1ax|FLAIRax,T2ax+T2cor,-0.006990781969687276,-0.01565115296901321,0.0013066443744012071,False,False
Cerebral infarction,T1ax|T2cor,T2ax,-0.0035172441418368106,-0.017309078552948675,0.010043749499593307,False,False
Cerebral infarction,T1ax|T2cor,FLAIRax,0.0026281594431070785,-0.01026338391581549,0.0153601070211724,False,False
Cerebral infarction,T1ax|T2cor,T2ax+FLAIRax,0.005282233480757058,-0.002553652360608366,0.012309022092226536,False,False
Cerebral infarction,T2ax|FLAIRax,T1ax,-0.0017452645079051052,-0.012695597881151561,0.008444344125586338,False,False
Cerebral infarction,T2ax|FLAIRax,T2cor,-0.010603010995405657,-0.025060103560934518,0.003123552613611791,False,False
Cerebral infarction,T2ax|FLAIRax,T1ax+T2cor,-0.0025322105223533607,-0.010605105305263745,0.004395479196565029,False,False
Cerebral infarction,T2ax|T2cor,T1ax,-0.0004055530896495115,-0.01164502600097731,0.009887001621473346,False,False
Cerebral infarction,T2ax|T2cor,FLAIRax,-0.0038465731417477475,-0.01709421247028698,0.009529016495279978,False,False
Cerebral infarction,T2ax|T2cor,T1ax+FLAIRax,-0.0011924991040977674,-0.008746701524020763,0.006454276244399999,False,False
Cerebral infarction,FLAIRax|T2cor,T1ax,-0.0037724665628625547,-0.016336641269614555,0.00655373673400836,False,False
Cerebral infarction,FLAIRax|T2cor,T2ax,-0.013358890199904678,-0.025474373650231218,-0.000227404274533976,False,True
Cerebral infarction,FLAIRax|T2cor,T1ax+T2ax,-0.004559412577310811,-0.01228099983321158,0.004416535431159379,False,False
Cerebral hemorrhage,T1ax|T2ax,FLAIRax,-0.012342039398346827,-0.04376353321885048,0.020650869178952046,False,False
Cerebral hemorrhage,T1ax|T2ax,T2cor,-0.002240374286493545,-0.03457882059492977,0.026482112389995316,False,False
Cerebral hemorrhage,T1ax|T2ax,FLAIRax+T2cor,0.0025616106253038675,-0.01772768597646133,0.02184773183898259,False,False
Cerebral hemorrhage,T1ax|FLAIRax,T2ax,0.013236483894724087,-0.012093356248834466,0.04100365542881919,False,False
Cerebral hemorrhage,T1ax|FLAIRax,T2cor,0.009759963300217549,-0.025599511242200106,0.04494540283364813,False,False
Cerebral hemorrhage,T1ax|FLAIRax,T2ax+T2cor,0.014561948212014961,-0.00011432797906315564,0.030740013384333888,False,False
Cerebral hemorrhage,T1ax|T2cor,T2ax,0.012348379168353582,-0.01931685936679048,0.04068895754422492,False,False
Cerebral hemorrhage,T1ax|T2cor,FLAIRax,-0.0012298065380062374,-0.03994308296020118,0.03898400849045657,False,False
Cerebral hemorrhage,T1ax|T2cor,T2ax+FLAIRax,0.013673843485644455,-0.011502381332544689,0.03660285382301006,False,False
Cerebral hemorrhage,T2ax|FLAIRax,T1ax,0.00582535549271986,-0.02053739503901097,0.02985697825952353,False,False
Cerebral hemorrhage,T2ax|FLAIRax,T2cor,-0.018856796762938218,-0.05199043324402438,0.010683055353086323,False,False
Cerebral hemorrhage,T2ax|FLAIRax,T1ax+T2cor,-0.014054811851140808,-0.0321806709443129,0.0010517052553580969,False,False
Cerebral hemorrhage,T2ax|T2cor,T1ax,-0.0010087642940155483,-0.02313528603961643,0.0241278668325804,False,False
Cerebral hemorrhage,T2ax|T2cor,FLAIRax,-0.03579258166152691,-0.07184323317407479,0.002230370459997987,False,False
Cerebral hemorrhage,T2ax|T2cor,T1ax+FLAIRax,-0.020888931637876217,-0.044191820791011666,0.0017790479447726572,False,False
Cerebral hemorrhage,FLAIRax|T2cor,T1ax,0.02199578949069059,-0.005848214975457618,0.05145298161228512,False,False
Cerebral hemorrhage,FLAIRax|T2cor,T2ax,0.000790157829539048,-0.03367170730035286,0.030686474308815038,False,False
Cerebral hemorrhage,FLAIRax|T2cor,T1ax+T2ax,0.002115622146829924,-0.018821690386025484,0.020657615347487005,False,False
Metastatic malignant neoplasm to brain,T1ax|T2ax,FLAIRax,0.019437312590477714,-0.012661875220910885,0.048304658380073154,False,False
Metastatic malignant neoplasm to brain,T1ax|T2ax,T2cor,0.00431749320526531,-0.03371935759394738,0.04446570049376597,False,False
Metastatic malignant neoplasm to brain,T1ax|T2ax,FLAIRax+T2cor,0.0008636301310592713,-0.0163989552934075,0.022527476024372307,False,False
Metastatic malignant neoplasm to brain,T1ax|FLAIRax,T2ax,0.014370868757643498,-0.030474262885290822,0.05794447616350807,False,False
Metastatic malignant neoplasm to brain,T1ax|FLAIRax,T2cor,0.021293500112161592,-0.02533241949780583,0.07003039978342077,False,False
Metastatic malignant neoplasm to brain,T1ax|FLAIRax,T2ax+T2cor,0.017839637037955557,-0.009086608775187735,0.04737909690651221,False,False
Metastatic malignant neoplasm to brain,T1ax|T2cor,T2ax,-0.0006542730619471134,-0.04804679900079656,0.05365000632980548,False,False
Metastatic malignant neoplasm to brain,T1ax|T2cor,FLAIRax,0.02138817767778339,-0.007168091888882072,0.04988561625041393,False,False
Metastatic malignant neoplasm to brain,T1ax|T2cor,T2ax+FLAIRax,0.002814495218364942,-0.019090861879898377,0.022930131529270564,False,False
Metastatic malignant neoplasm to brain,T2ax|FLAIRax,T1ax,-0.01910738469499206,-0.05893840343237298,0.015414774462495433,False,False
Metastatic malignant neoplasm to brain,T2ax|FLAIRax,T2cor,-0.03316543833775077,-0.07664177643585528,0.010143133915547357,False,False
Metastatic malignant neoplasm to brain,T2ax|FLAIRax,T1ax+T2cor,-0.03661930141195681,-0.06441352730924571,-0.013307550328052715,False,True
Metastatic malignant neoplasm to brain,T2ax|T2cor,T1ax,0.036168393858416935,-0.0070976224779551724,0.08143905688716306,False,False
Metastatic malignant neoplasm to brain,T2ax|T2cor,FLAIRax,0.03723015960087062,0.008505628454174935,0.07143729221636712,True,False
Metastatic malignant neoplasm to brain,T2ax|T2cor,T1ax+FLAIRax,0.018656477141452184,-0.0035647055711534566,0.04113062864700129,False,False
Metastatic malignant neoplasm to brain,FLAIRax|T2cor,T1ax,-0.03870949520194092,-0.09502439798597023,0.01106363826327798,False,False
Metastatic malignant neoplasm to brain,FLAIRax|T2cor,T2ax,-0.059690180199217714,-0.11328947838447408,-0.014577793310076883,False,True
Metastatic malignant neoplasm to brain,FLAIRax|T2cor,T1ax+T2ax,-0.056221411918905666,-0.0882742961514409,-0.021956632630015665,False,True
Intracranial meningioma,T1ax|T2ax,FLAIRax,-0.01843416579660151,-0.05136622774750328,0.010714882575416489,False,False
Intracranial meningioma,T1ax|T2ax,T2cor,-0.016814432234375627,-0.0481645685143204,0.015093588045801774,False,False
Intracranial meningioma,T1ax|T2ax,FLAIRax+T2cor,-0.009623452232798778,-0.02868875698020907,0.009134538870214539,False,False
Intracranial meningioma,T1ax|FLAIRax,T2ax,-0.003612817132097714,-0.030769912805059727,0.020152588198322934,False,False
Intracranial meningioma,T1ax|FLAIRax,T2cor,-0.004953594369405372,-0.035624135742625296,0.024324480285416457,False,False
Intracranial meningioma,T1ax|FLAIRax,T2ax+T2cor,0.002237385632171478,-0.011778207787928138,0.018852682968492615,False,False
Intracranial meningioma,T1ax|T2cor,T2ax,-0.014154927984285692,-0.05148464123825251,0.017255662973657535,False,False
Intracranial meningioma,T1ax|T2cor,FLAIRax,-0.017115438783819232,-0.04943686878068362,0.014394214242167342,False,False
Intracranial meningioma,T1ax|T2cor,T2ax+FLAIRax,-0.008304725220016499,-0.026416594085265206,0.008962748701090494,False,False
Intracranial meningioma,T2ax|FLAIRax,T1ax,-0.005581351014389339,-0.02747089068489456,0.023301046274959925,False,False
Intracranial meningioma,T2ax|FLAIRax,T2cor,0.0014200836296716828,-0.027361266798390314,0.030845585473105133,False,False
Intracranial meningioma,T2ax|FLAIRax,T1ax+T2cor,0.008611063631248533,-0.008247341852328708,0.02613139952524965,False,False
Intracranial meningioma,T2ax|T2cor,T1ax,-0.0016846082178017536,-0.02833967073339231,0.02867916611076947,False,False
Intracranial meningioma,T2ax|T2cor,FLAIRax,0.0036970928640333842,-0.02956680526203264,0.0374224859896931,False,False
Intracranial meningioma,T2ax|T2cor,T1ax+FLAIRax,0.012507806427836117,-0.007966078851490812,0.03238366391582847,False,False
Intracranial meningioma,FLAIRax|T2cor,T1ax,-0.021556827394892977,-0.04470799170723503,0.0034781820685391798,False,False
Intracranial meningioma,FLAIRax|T2cor,T2ax,-0.013214615513524297,-0.04401123344116321,0.018674277644537544,False,False
Intracranial meningioma,FLAIRax|T2cor,T1ax+T2ax,-0.007364412749255105,-0.021200748562304677,0.008067929832353965,False,False
Demyelinating disease of central nervous system,T1ax|T2ax,FLAIRax,-0.0038058482776941556,-0.01958294515733777,0.013174973054746677,False,False
Demyelinating disease of central nervous system,T1ax|T2ax,T2cor,0.0015815061860669929,-0.016952737580676964,0.021609862499576832,False,False
Demyelinating disease of central nervous system,T1ax|T2ax,FLAIRax+T2cor,0.0038987305130336837,-0.0059393526586612845,0.01574818536259403,False,False
Demyelinating disease of central nervous system,T1ax|FLAIRax,T2ax,0.016555179900319253,0.0030563247210918854,0.029741823838974037,True,False
Demyelinating disease of central nervous system,T1ax|FLAIRax,T2cor,0.009729799535287919,-0.008565878016160475,0.027634431811979672,False,False
Demyelinating disease of central nervous system,T1ax|FLAIRax,T2ax+T2cor,0.01204702386225461,0.0015073513679731865,0.022549920993600453,True,False
Demyelinating disease of central nervous system,T1ax|T2cor,T2ax,0.000988134799573254,-0.014565907545760317,0.016753821909788826,False,False
