finding,pair,context,synergy,ci_lo,ci_hi,sig_pos,sig_neg
Cerebral infarction,T1ax|T2ax,FLAIRax,0.010867130858379431,-0.0016686244149813842,0.022725982531611833,False,False
Cerebral infarction,T1ax|T2ax,FLAIRsag,-0.006246738857224182,-0.021038707485850502,0.008171156236501541,False,False
Cerebral infarction,T1ax|T2ax,SWIax,-0.007501043272981966,-0.021986889632725836,0.006303656324878271,False,False
Cerebral infarction,T1ax|T2ax,FLAIRax+FLAIRsag,0.0028081736905973768,-0.005065419880280103,0.010202568508464804,False,False
Cerebral infarction,T1ax|T2ax,FLAIRax+SWIax,0.0038085738923179058,-0.004826603887954731,0.011826718281521107,False,False
Cerebral infarction,T1ax|T2ax,FLAIRsag+SWIax,0.002631218288483385,-0.006395642754691508,0.01135814882498926,False,False
Cerebral infarction,T1ax|T2ax,FLAIRax+FLAIRsag+SWIax,0.004310596857643545,-0.0017008086539997912,0.009169936592201713,False,False
Cerebral infarction,T1ax|FLAIRax,T2ax,-0.008627066735014347,-0.018565393412534763,0.0018017063682413603,False,False
Cerebral infarction,T1ax|FLAIRax,FLAIRsag,-0.005730285701335479,-0.018260638248268513,0.00818148012785826,False,False
Cerebral infarction,T1ax|FLAIRax,SWIax,-0.014759680449825424,-0.027189621957352632,-0.0031741476795514203,False,True
Cerebral infarction,T1ax|FLAIRax,T2ax+FLAIRsag,0.00332462684648608,-0.00410352123016097,0.010903472349945834,False,False
Cerebral infarction,T1ax|FLAIRax,T2ax+SWIax,-0.0034500632845255517,-0.011087513580025821,0.004935869360735208,False,False
Cerebral infarction,T1ax|FLAIRax,FLAIRsag+SWIax,-0.0019169135052250067,-0.009227528662920745,0.005424593602594658,False,False
Cerebral infarction,T1ax|FLAIRax,T2ax+FLAIRsag+SWIax,-0.00023753493606484748,-0.005289529853277272,0.005535805793001515,False,False
Cerebral infarction,T1ax|FLAIRsag,T2ax,-0.015792232212882836,-0.028415846416815035,-0.0038337744161653707,False,True
Cerebral infarction,T1ax|FLAIRsag,FLAIRax,0.004218418536399646,-0.006208172704151915,0.01413073930389948,False,False
Cerebral infarction,T1ax|FLAIRsag,SWIax,-0.014485600745105263,-0.02732305893455751,-0.0008026793159526561,False,True
Cerebral infarction,T1ax|FLAIRsag,T2ax+FLAIRax,-0.003840538631382409,-0.012240420637167368,0.003625293637126506,False,False
Cerebral infarction,T1ax|FLAIRsag,T2ax+SWIax,-0.0043533391836399135,-0.012382317437531149,0.0042377819779460275,False,False
Cerebral infarction,T1ax|FLAIRsag,FLAIRax+SWIax,-0.0016428338005048482,-0.008957123666892237,0.006000592470534263,False,False
Cerebral infarction,T1ax|FLAIRsag,T2ax+FLAIRax+SWIax,-0.0011408108351792093,-0.006592517410432608,0.005441266775848903,False,False
Cerebral infarction,T1ax|SWIax,T2ax,-0.005139833348218635,-0.01784789851697206,0.007548279436459621,False,False
Cerebral infarction,T1ax|SWIax,FLAIRax,0.007095727068331685,-0.005338175359926469,0.019919173257868777,False,False
Cerebral infarction,T1ax|SWIax,FLAIRsag,-0.0025788974646832803,-0.018085196753476408,0.013133711670948692,False,False
Cerebral infarction,T1ax|SWIax,T2ax+FLAIRax,3.7170102270160193e-05,-0.009124608783996674,0.008884305785040219,False,False
Cerebral infarction,T1ax|SWIax,T2ax+FLAIRsag,0.0062990596810242865,-0.003199200535744939,0.01558987238092499,False,False
Cerebral infarction,T1ax|SWIax,FLAIRax+FLAIRsag,0.0012344747314271924,-0.006817969060738901,0.008997605139488071,False,False
Cerebral infarction,T1ax|SWIax,T2ax+FLAIRax+FLAIRsag,0.00273689789847336,-0.003675221849275781,0.009249693448952236,False,False
Cerebral infarction,T2ax|FLAIRax,T1ax,-0.01193068415885568,-0.022692823483797066,0.0008341496677148898,False,False
Cerebral infarction,T2ax|FLAIRax,FLAIRsag,-0.018081355019667105,-0.029810152825470514,-0.006850465170095975,False,True
Cerebral infarction,T2ax|FLAIRax,SWIax,-0.023831872071819766,-0.03593647982155676,-0.01219196527326984,False,True
Cerebral infarction,T2ax|FLAIRax,T1ax+FLAIRsag,-0.009026442471845551,-0.017520007834503963,-0.0021659976618616135,False,True
Cerebral infarction,T2ax|FLAIRax,T1ax+SWIax,-0.012522254906519897,-0.021019239081925937,-0.0037473405328623008,False,True
Cerebral infarction,T2ax|FLAIRax,FLAIRsag+SWIax,-0.009489604081092826,-0.017802606260144148,-0.002039868171029394,False,True
Cerebral infarction,T2ax|FLAIRax,T1ax+FLAIRsag+SWIax,-0.007810225511932665,-0.014011358574083154,-0.001412359542364169,False,True
Cerebral infarction,T2ax|FLAIRsag,T1ax,-0.006964092055780222,-0.018565933137839098,0.005625352497689041,False,False
Cerebral infarction,T2ax|FLAIRsag,FLAIRax,0.003999106799011961,-0.008801603688018297,0.015709857225678036,False,False
Cerebral infarction,T2ax|FLAIRsag,SWIax,-0.018769770585043755,-0.03320145219389772,-0.005263555523109875,False,True
Cerebral infarction,T2ax|FLAIRsag,T1ax+FLAIRax,-0.004059850368770094,-0.011172105703235163,0.0033710562327487143,False,False
