finding,n_pos,pair,context,synergy,synergy_sd_seed
Cerebral infarction,424,T1ax|T2ax,none,-0.27868607173135135,0.001722291761609205
Cerebral infarction,424,T1ax|T2ax,FLAIRax,0.003926741726043163,0.004783939308100185
Cerebral infarction,424,T1ax|T2ax,FLAIRsag,-0.003208071337261568,0.002933985038308939
Cerebral infarction,424,T1ax|T2ax,SWIax,-0.008160796341837048,0.0019173460924987013
Cerebral infarction,424,T1ax|T2ax,FLAIRax+FLAIRsag,0.0038371599310271787,0.0010956492276869997
Cerebral infarction,424,T1ax|T2ax,FLAIRax+SWIax,-3.602555552987644e-05,0.0027481044736163323
Cerebral infarction,424,T1ax|T2ax,FLAIRsag+SWIax,0.0005791699712005919,0.0017866028431965466
Cerebral infarction,424,T1ax|T2ax,FLAIRax+FLAIRsag+SWIax,0.0037339042025256917,0.0011804910524226874
Cerebral infarction,424,T1ax|FLAIRax,none,-0.2907425366619194,0.003550664397945391
Cerebral infarction,424,T1ax|FLAIRax,T2ax,-0.008129723204524911,0.002694227639314924
Cerebral infarction,424,T1ax|FLAIRax,FLAIRsag,-0.005723417697996706,0.0012158398353737524
Cerebral infarction,424,T1ax|FLAIRax,SWIax,-0.010950497906485687,0.0033875852804332142
Cerebral infarction,424,T1ax|FLAIRax,T2ax+FLAIRsag,0.0013218135702920408,0.001750544035409008
Cerebral infarction,424,T1ax|FLAIRax,T2ax+SWIax,-0.0028257271201785152,0.0009773684037362176
Cerebral infarction,424,T1ax|FLAIRax,FLAIRsag+SWIax,-0.0060305114541983436,0.0029719727916865148
Cerebral infarction,424,T1ax|FLAIRax,T2ax+FLAIRsag+SWIax,-0.0028757772228732437,0.0017834939015546334
Cerebral infarction,424,T1ax|FLAIRsag,none,-0.2875942449569482,0.003597584123672466
Cerebral infarction,424,T1ax|FLAIRsag,T2ax,-0.012116244562858425,0.0030668549630946717
Cerebral infarction,424,T1ax|FLAIRsag,FLAIRax,-0.002575125993025488,0.004544229579552186
Cerebral infarction,424,T1ax|FLAIRsag,SWIax,-0.008310245422563053,0.005004976810624878
Cerebral infarction,424,T1ax|FLAIRsag,T2ax+FLAIRax,-0.0026647077880414725,0.0009395716583490299
