finding,n_pos,pair,context,synergy,synergy_sd_seed
Cerebral infarction,424,T1ax|T2ax,none,-0.27868607173135135,0.001722291761609205
Cerebral infarction,424,T1ax|T2ax,FLAIRax,0.003926741726043163,0.004783939308100185
Cerebral infarction,424,T1ax|T2ax,FLAIRsag,-0.003208071337261568,0.002933985038308939
Cerebral infarction,424,T1ax|T2ax,FLAIRax+FLAIRsag,0.0038371599310271787,0.0010956492276869997
Cerebral infarction,424,T1ax|FLAIRax,none,-0.2907425366619194,0.003550664397945391
Cerebral infarction,424,T1ax|FLAIRax,T2ax,-0.008129723204524911,0.002694227639314924
Cerebral infarction,424,T1ax|FLAIRax,FLAIRsag,-0.005723417697996706,0.0012158398353737524
Cerebral infarction,424,T1ax|FLAIRax,T2ax+FLAIRsag,0.0013218135702920408,0.001750544035409008
Cerebral infarction,424,T1ax|FLAIRsag,none,-0.2875942449569482,0.003597584123672466
Cerebral infarction,424,T1ax|FLAIRsag,T2ax,-0.012116244562858425,0.0030668549630946717
Cerebral infarction,424,T1ax|FLAIRsag,FLAIRax,-0.002575125993025488,0.004544229579552186
Cerebral infarction,424,T1ax|FLAIRsag,T2ax+FLAIRax,-0.0026647077880414725,0.0009395716583490299
Cerebral infarction,424,T2ax|FLAIRax,none,-0.2943581087477412,0.003785114028721536
Cerebral infarction,424,T2ax|FLAIRax,T1ax,-0.011745295290346736,0.0007502944624167915
Cerebral infarction,424,T2ax|FLAIRax,FLAIRsag,-0.01340176961736117,0.0053895879432712835
Cerebral infarction,424,T2ax|FLAIRax,T1ax+FLAIRsag,-0.006356538349072423,0.0027683293285049003
Cerebral infarction,424,T2ax|FLAIRsag,none,-0.2836892412790107,0.005993775146689935
Cerebral infarction,424,T2ax|FLAIRsag,T1ax,-0.008211240884920904,0.0014814441848240167
Cerebral infarction,424,T2ax|FLAIRsag,FLAIRax,-0.002732902148630608,0.004635090716150489
Cerebral infarction,424,T2ax|FLAIRsag,T1ax+FLAIRax,-0.002822483943646592,0.0008439993924707867
Cerebral infarction,424,FLAIRax|FLAIRsag,none,-0.2898345787131216,0.001043543635749446
Cerebral infarction,424,FLAIRax|FLAIRsag,T1ax,-0.004815459749198947,0.0030034334589759096
